Unnamed: 0,1_영인운수차고지,2_대한항공.메이필드호텔,3_강서면허시험장.메이필드호텔,4_강서면허시험장.메이필드호텔,5_외발산신광명마을,6_신월5동주민센터.신월중학교,7_신화중학교,8_강서구청소년상담복지센터,9_화곡역,10_화곡역.현대주유소,11_까치산역4번출구,12_화곡동유림아파트,13_강서한방병원,14_보람쉬움아파트.신영시장,15_서서울호수공원,16_과학수사연구소입구,17_경창빌딩,18_강신중학교,19_서부트럭터미널.신정동일하이빌아파트,20_신정현대아파트.서부트럭터미널,21_개봉1동사거리,22_개봉고가,23_개봉역,24_철산리버빌아파트,25_구일우성아파트,26_디지털단지입구,27_디지털3단지.롯데정보통신,28_디지털3단지운동장,29_디지털3단지.(주)로옴코리아,30_가산디지털단지역,31_가산디지털단지역1호선,32_에이스하이엔드타워5차,33_구일우성아파트,34_철산리버빌아파트,35_개봉역,36_개봉1동사거리.개봉푸르지오아파트,37_신정학마을아파트,38_서부트럭터미널.신정동일하이빌아파트,39_강신중학교,40_신월동남부주유소,41_국립과학수사연구소입구,42_서서울호수공원,43_보람쉬움아파트,44_강서한방병원,45_화곡동유림아파트,46_까치산역2번출구,47_화곡역,48_화곡푸르지오,49_신화중학교,50_신월5동주민센터.신월중학교,51_신월중학교입구,52_외발산신광명마을,53_강서면허시험장.메이필드호텔,54_외발산신광명마을,55_영인운수차고지
2022-03-05 04:00:00,0,0,0,0,0,1,1,0,3,5,10,12,15,16,17,18,17,0,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,0,1,3,2,3,4,9,9,9,10,9,8,9,13,14,13,14,12,8,10,9,8,6,0,5,3,2,1,3,4,9,10,10,0,3,9,6,5,8,7,5,1,0,0,1,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,0,0,2,3,2,2,2,7,6,4,7,6,7,6,8,7,8,10,9,9,4,3,7,5,4,3,4,5,0,5,6,6,7,6,6,8,7,5,10,12,7,6,2,1,0,0,0,0,1,0,0,0
2022-03-05 07:00:00,0,0,0,0,0,5,6,9,3,4,5,5,6,5,9,8,9,12,14,5,13,4,1,0,0,1,0,2,2,4,4,1,3,3,4,3,4,6,5,0,4,8,7,15,16,6,2,0,1,0,0,0,0,0,0
2022-03-05 08:00:00,0,0,0,1,0,3,3,4,3,4,4,2,6,8,10,10,8,10,11,11,13,10,5,5,4,4,2,5,3,5,4,0,1,0,3,4,6,2,7,3,3,6,12,22,18,13,3,0,2,0,1,0,0,0,0
2022-03-05 09:00:00,0,0,0,0,0,0,2,3,5,3,6,11,8,7,9,10,8,9,8,9,11,10,6,7,1,3,3,0,7,6,7,0,2,8,7,8,4,4,3,11,11,11,14,23,18,6,2,0,0,1,0,0,0,0,0
2022-03-05 10:00:00,0,0,0,1,4,2,3,6,6,10,13,9,9,10,10,9,8,7,10,8,11,11,3,0,3,4,5,0,6,6,0,4,4,3,6,5,3,5,6,0,7,8,9,21,20,5,2,0,1,1,0,1,0,0,0
2022-03-05 11:00:00,0,0,1,0,1,4,5,3,5,4,12,13,9,6,7,9,11,15,14,15,13,10,13,0,13,3,10,0,2,4,5,6,6,6,10,11,12,8,9,10,12,10,14,16,16,8,4,3,2,0,0,0,0,0,0
2022-03-05 12:00:00,0,0,0,1,1,2,4,1,2,4,6,8,11,12,11,14,0,14,10,13,12,10,12,0,11,9,10,9,9,3,8,6,14,13,9,9,11,11,11,10,12,14,14,17,19,8,6,3,3,4,2,3,0,0,0
2022-03-05 13:00:00,0,0,2,0,0,7,0,5,5,8,12,10,11,12,11,8,7,6,5,6,7,4,5,4,0,5,3,0,0,2,3,0,4,0,6,6,0,10,9,7,7,10,15,19,18,10,7,6,5,0,4,2,1,0,0
2022-03-05 14:00:00,0,0,1,1,4,4,6,7,7,8,15,11,11,9,6,5,5,5,6,7,8,7,7,6,6,8,4,7,7,5,6,1,0,5,11,10,3,5,8,7,0,8,10,12,12,6,3,2,1,0,0,0,0,0,0
2022-03-05 15:00:00,0,0,1,0,3,4,4,5,4,5,19,20,16,11,9,13,6,15,18,20,0,3,6,7,6,5,0,0,3,3,3,0,2,0,9,12,0,11,11,14,11,12,11,13,12,7,4,3,1,0,0,0,0,0,0
2022-03-05 16:00:00,0,0,0,1,2,5,9,9,7,7,17,15,11,10,10,11,11,14,0,15,13,7,5,3,4,4,0,0,5,11,13,0,0,8,19,21,22,18,20,19,21,23,25,19,17,7,4,2,1,0,0,0,0,0,0
2022-03-05 17:00:00,0,0,0,1,3,6,8,7,4,7,13,16,9,11,8,8,3,4,8,7,8,7,4,3,6,0,0,7,7,9,12,10,15,17,28,28,28,25,22,19,20,16,17,16,13,8,5,3,2,0,1,0,0,0,0
2022-03-05 18:00:00,0,4,0,0,5,5,6,5,5,6,26,18,9,11,13,18,19,21,19,19,16,10,7,1,5,4,5,3,2,6,8,9,5,0,14,13,14,14,12,12,7,8,8,11,9,6,8,7,5,3,2,1,0,0,0
2022-03-05 19:00:00,0,0,1,1,0,2,3,3,2,4,8,9,7,6,7,8,8,11,10,8,9,5,4,3,4,4,2,0,3,2,4,1,3,0,10,9,11,17,16,6,15,4,3,6,4,5,4,3,2,3,1,0,0,0,0
2022-03-05 20:00:00,0,0,0,2,1,4,4,6,6,5,18,14,13,9,10,11,7,9,0,6,7,5,3,1,0,0,0,2,1,4,7,0,3,2,4,3,2,5,6,3,14,10,11,11,6,5,1,0,0,0,0,0,0,0,0
2022-03-05 21:00:00,0,0,0,2,2,2,2,3,5,6,15,12,9,7,5,4,2,5,5,5,8,4,3,2,1,0,0,3,4,6,8,5,7,6,9,9,13,14,11,3,13,12,10,9,5,2,2,1,0,0,0,0,0,0,0
2022-03-05 22:00:00,0,0,0,1,0,0,0,2,3,4,13,12,10,7,6,4,5,8,9,11,10,6,9,8,5,2,0,2,3,7,9,0,10,8,16,13,12,10,9,9,5,6,7,7,5,5,4,0,2,1,1,0,0,0,0
2022-03-05 23:00:00,0,0,0,2,0,3,0,2,2,3,8,6,4,5,4,3,0,0,0,0,3,2,3,1,2,0,0,0,2,4,7,0,5,6,14,16,14,11,9,8,5,3,7,6,2,4,3,0,2,0,1,0,0,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,0,0,0,0,0,1,0,2,2,5,3,2,0,0,1,1,2,1,0,2,1,2,0,3,1,2,0,1,2,0,0,3,1,5,8,0,0,9,0,7,4,3,4,3,1,0,0,0,0,0,0,0,0,0
2022-03-06 06:00:00,0,0,0,0,0,1,1,0,0,0,2,1,1,0,5,0,6,6,0,0,7,4,0,0,0,5,2,0,1,3,0,0,4,3,2,4,5,4,2,3,3,3,4,5,6,3,1,2,1,0,0,0,0,0,0
2022-03-06 07:00:00,0,0,0,0,0,1,0,0,1,0,3,0,3,5,6,9,6,9,7,4,6,4,3,0,2,3,0,0,0,1,0,0,1,0,3,5,0,3,0,2,3,4,6,5,5,2,3,4,2,0,0,1,0,0,0
2022-03-06 08:00:00,0,0,0,0,0,2,4,3,1,2,5,3,5,4,3,3,4,1,5,2,3,1,4,0,3,2,1,4,2,2,2,2,2,2,3,5,3,0,4,3,0,5,6,9,10,3,1,0,0,1,1,0,0,0,0
