Unnamed: 0,1_양천공영차고지,2_신정숲속마을아파트.댓골마을입구,3_서서울생활과학고.궁동도서관,4_예림디자인고.오류고.서울공연예술고,5_수궁119안전센터,6_수궁동주민센터,7_우신고등학교,8_온수역,9_성우아파트,10_차병원카센터,11_구로SKV1.제일풍경채포레스트,12_항동우남퍼스트빌,13_항동복합행정센터,14_푸른수목원,15_별장쉐르빌앞,16_오남중학교,17_천왕역2번출구,18_천왕이펜하우스3단지입구,19_천왕이펜하우스4단지,20_천왕이펜하우스6단지,21_구로우체국.이펜하우스5단지후문,22_연지타운2단지,23_천왕역4번출구,24_천왕역3번출구,25_퀸즈빌,26_푸른수목원,27_항동복합행정센터,28_항동우남퍼스트빌,29_구로SKV1지식산업센터,30_새소망교회,31_성우아파트,32_온수역,33_우신고등학교,34_수궁동주민센터,35_수궁119안전센터,36_예림디자인고.오류고.서울공연예술고,37_서서울생활과학고.궁동도서관,38_신정숲속마을아파트,39_양천공영차고지
2022-03-05 04:00:00,0,0,0,0,0,0,1,0,0,0,0,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,2,0,4,8,7,6,3,1,0,0,3,2,5,0,3,0,0,0,5,0,1,2,0,0,0,0,4,2,6,4,2,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,0,0,2,4,0,3,1,0,0,0,1,3,7,0,0,0,0,0,2,0,3,1,2,0,1,0,2,0,2,0,3,0,4,0,3,0,2,0
2022-03-05 07:00:00,1,2,0,6,8,8,5,2,0,0,0,2,4,9,10,9,1,0,0,1,0,1,0,3,2,2,1,2,3,3,1,2,0,1,0,1,0,0,0
2022-03-05 08:00:00,2,0,0,5,8,10,10,3,4,0,3,4,5,9,10,8,2,0,1,5,0,4,1,3,0,3,0,4,3,5,4,2,0,1,1,1,2,0,0
2022-03-05 09:00:00,1,0,0,3,5,0,10,1,0,0,1,2,4,11,0,10,4,2,1,6,8,7,2,5,2,5,1,2,1,1,0,1,0,1,0,0,0,0,0
2022-03-05 10:00:00,5,6,9,14,15,14,13,1,1,0,0,2,5,6,0,3,7,5,1,3,0,4,1,3,2,3,3,4,5,5,4,6,5,3,0,0,0,0,0
2022-03-05 11:00:00,2,0,0,2,5,5,5,1,0,0,0,1,2,5,0,3,3,1,0,2,3,2,2,5,3,1,1,3,0,3,1,3,2,1,1,0,0,0,0
2022-03-05 12:00:00,2,3,1,7,2,5,3,6,5,0,4,4,7,17,0,16,3,2,1,4,2,2,2,13,13,6,3,3,4,0,0,15,13,10,6,4,1,2,0
2022-03-05 13:00:00,2,1,0,3,2,4,5,3,2,1,1,2,6,8,0,7,3,0,3,7,5,5,6,4,2,3,2,2,3,5,2,2,0,0,1,0,0,0,0
2022-03-05 14:00:00,1,1,0,2,3,4,4,4,0,0,1,4,6,9,2,5,7,6,5,2,1,1,0,13,12,4,2,5,1,2,1,4,0,0,2,0,0,0,0
2022-03-05 15:00:00,0,2,0,5,3,0,0,2,0,0,1,4,5,12,7,10,5,4,2,2,0,3,3,8,1,6,5,2,0,1,2,4,0,2,0,1,0,1,0
2022-03-05 16:00:00,3,2,2,4,6,5,5,8,0,7,6,3,3,9,0,6,5,0,3,5,5,4,3,5,5,2,3,1,0,3,0,11,0,8,7,4,3,0,0
2022-03-05 17:00:00,1,1,0,2,4,0,2,1,0,0,0,1,5,11,0,9,7,4,3,5,4,0,5,10,9,6,2,0,0,1,0,16,15,10,8,3,2,0,0
2022-03-05 18:00:00,3,1,4,3,4,0,2,4,0,1,2,0,1,2,0,0,0,0,0,0,0,1,1,13,11,4,3,2,4,5,3,12,11,9,8,3,1,2,0
2022-03-05 19:00:00,1,3,0,0,2,0,4,2,0,0,0,1,2,4,0,0,3,2,0,5,4,3,0,14,16,6,3,0,3,0,1,7,5,3,1,0,0,0,0
2022-03-05 20:00:00,1,0,0,0,1,0,0,1,0,0,0,1,2,1,0,1,5,1,3,1,0,1,1,6,0,3,3,2,2,0,1,2,1,0,1,0,0,0,0
2022-03-05 21:00:00,1,0,0,1,1,2,1,3,0,0,2,0,1,3,0,0,10,6,1,1,2,0,2,17,15,4,3,0,0,0,0,11,8,6,3,3,0,0,0
2022-03-05 22:00:00,2,0,0,4,5,0,4,4,0,3,2,2,0,4,3,0,2,1,0,0,0,0,0,7,0,4,3,1,2,0,1,1,0,0,0,0,0,0,0
2022-03-05 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,6,1,0,0,2,8,0,4,1,0,1,0,0,14,0,9,5,1,0,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,1,0,0,2,3,0,2,0,0,1,0,2,1,3,0,2,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 06:00:00,1,0,0,1,2,0,0,1,1,0,0,1,0,2,0,0,1,0,0,1,0,0,0,2,0,1,0,3,1,0,0,3,2,0,0,2,0,0,0
2022-03-06 07:00:00,0,2,0,2,3,0,3,1,0,0,0,2,5,9,0,1,2,0,0,1,0,0,0,2,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0
2022-03-06 08:00:00,1,2,0,4,5,7,5,1,0,0,1,3,4,10,0,3,1,0,2,3,0,4,1,2,0,1,0,2,1,2,2,3,1,2,1,1,0,0,0
2022-03-06 09:00:00,1,1,0,3,4,0,6,2,0,0,1,3,4,8,0,5,2,1,0,3,0,1,0,5,0,2,1,3,0,0,0,4,2,1,0,1,0,2,0
2022-03-06 10:00:00,1,2,1,4,5,4,3,3,0,2,0,3,5,7,0,5,2,0,0,2,0,2,0,4,2,2,0,0,0,1,0,1,0,0,0,1,1,0,0
