Unnamed: 0,1_양천공영차고지(기점가상),2_양천공영차고지,3_대일관광고.푸른마을3단지,4_푸른마을1단지.이든채아파트,5_푸른마을2단지아파트,6_신월시영아파트.강월초등학교,7_강월초교사거리,8_신한은행신월동지점,9_신곡시장.금빛새마을금고,10_동방아파트.신월종합사회복지관,11_신정네거리.신정119안전센터,12_신정네거리역,13_경서농협,14_우리은행신정동지점,15_신정1동우체국,16_서울남부지방법원.서울남부지방검찰청,17_진명여고,18_목동역,19_목동7단지,20_하이스트학원.종로학원,21_목동8단지.한전,22_양천구청.양천보건소,23_양천문화회관.양천일자리센터,24_목동10단지상가,25_목동12단지,26_양천구민체육센터.양천일자리센터,27_양천구청,28_목동13단지,29_양천구청역,30_목동아파트1216동앞,31_봉영여중.목동고,32_목동우성아파트입구,33_목동우성아파트,34_양천아파트,35_양천아파트,36_양천구청역,37_양천구청,38_양천공원,39_목동중학교,40_길훈로즈빌아파트,41_목동7단지.종로학원,42_진명여고,43_서울남부지방법원.서울남부지방검찰청,44_신정1동우체국,45_우리은행신정동지점,46_신정4동경서농협,47_신정네거리역,48_신정네거리해누리분수광장,49_동방아파트,50_신곡시장.금빛새마을금고,51_신한은행신월동지점,52_강월초교사거리,53_신월시영아파트.강월초등학교,54_푸른마을2단지아파트,55_푸른마을1단지.이든채아파트,56_대일관광고.푸른마을3단지,57_양천공영차고지
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,0,1,2,2,1,1,3,2,2,1,0,0,0,1,1,0,3,3,2,0,0,0,0,1,0,0,0,0,0,1,5,0,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,0,1,2,3,4,0,3,3,5,0,6,2,6,5,2,0,1,1,0,0,0,0,0,0,0,1,0,0,2,2,0,5,3,2,1,1,2,0,1,2,1,1,2,0,4,0,3,1,0,1,0,2,1,0
2022-03-05 07:00:00,0,1,1,3,6,1,7,8,3,3,2,3,0,3,0,0,1,2,1,1,0,2,0,0,2,0,0,0,3,0,0,4,7,1,9,5,4,0,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-03-05 08:00:00,1,2,1,7,5,8,6,8,11,11,10,8,10,9,8,8,7,9,10,4,8,6,1,0,0,2,3,0,4,3,1,3,10,7,13,8,7,0,6,5,3,4,2,0,4,3,2,4,2,2,1,0,0,0,0,0,0
2022-03-05 09:00:00,0,0,1,6,2,7,4,11,16,17,11,10,7,10,7,7,8,6,5,6,6,6,4,3,3,0,4,0,6,6,4,3,9,12,20,14,11,10,7,6,6,7,0,5,5,2,6,7,6,1,4,0,1,0,0,0,0
2022-03-05 10:00:00,0,1,1,5,5,5,6,9,11,16,13,8,12,11,4,7,10,10,11,8,5,6,5,0,6,2,3,5,7,6,4,2,7,6,9,6,5,5,4,3,4,6,5,0,3,4,2,4,3,3,4,0,3,1,2,0,0
2022-03-05 11:00:00,1,0,2,6,0,4,5,8,13,17,10,10,12,13,12,8,10,7,7,11,9,6,10,5,10,5,9,8,8,7,6,6,19,21,21,20,7,10,10,8,6,3,2,0,4,3,2,5,4,3,3,4,0,1,0,2,0
2022-03-05 12:00:00,1,0,2,6,10,7,12,13,10,8,9,9,10,6,9,10,9,7,5,4,0,4,3,5,5,6,8,5,14,13,6,6,9,6,13,16,6,4,7,6,11,10,11,3,0,4,11,13,3,10,8,7,5,2,1,3,0
2022-03-05 13:00:00,1,0,2,3,9,10,12,15,17,17,18,19,17,14,12,15,12,11,8,9,10,7,7,4,0,8,7,5,11,5,8,7,12,13,17,16,8,8,11,9,11,9,5,8,4,4,4,5,4,5,6,4,3,1,1,1,0
