Unnamed: 0,1_외발산동차고지(가상),2_외발산동기점,3_신월중학교입구,4_서울금융고등학교,5_신월3동주민센터.신월3동우체국,6_양서중학교,7_서서울호수공원,8_과학수사연구소입구,9_경창빌딩,10_강월초교사거리,11_신월시영아파트.강월초등학교,12_신정이펜하우스2단지,13_이펜하우스1단지.어르신요양센터,14_신정이펜하우스3.4단지,15_신정이펜하우스5단지.서남병원,16_푸른마을1단지.이든채아파트,17_푸른마을2단지아파트,18_신월시영아파트.강월초등학교,19_강월초교사거리,20_강신중학교,21_서부트럭터미널.신정동일하이빌아파트,22_신정현대아파트.서부트럭터미널,23_개봉1동사거리,24_경인중학교.개봉사거리,25_개봉역.한마을아파트,26_동양미래대학.구로성심병원,27_구일역.제일제당,28_신도림동.구로역,29_신도림역,30_문래동남성아파트,31_남부지방법원등기국.구로세무서(에이스하이테크시티),32_영등포역,33_전경련회관,34_여의도환승센터,35_파크원타워.LG트윈타워,36_여의나루역,37_여의도공작아파트,38_더현대서울,39_여의도환승센터,40_여의도공원,41_영등포역,42_남부지방법원등기국.구로세무서(에이스하이테크시티),43_문래동남성아파트,44_신도림역,45_신도림동.구로역,46_구일역.중앙유통상가,47_동양미래대학.구로성심병원,48_개봉역.영화아파트,49_경인중학교.개봉사거리,50_개봉치안센터,51_개봉1동사거리.개봉푸르지오아파트,52_신정학마을아파트,53_신정현대아파트.서부트럭터미널,54_양천공영차고지,55_대일관광고.푸른마을3단지,56_푸른마을1단지.이든채아파트,57_푸른마을2단지아파트,58_신정이펜하우스2단지,59_이펜하우스1단지.어르신요양센터,60_신정이펜하우스3.4단지,61_신정이펜하우스5단지.서남병원,62_푸른마을1단지.이든채아파트,63_푸른마을2단지아파트,64_신월시영아파트.강월초등학교,65_금실어린이공원,66_신월시영아파트중문,67_국립과학수사연구소입구,68_서서울호수공원,69_신월1동주민센터.신월보건지소,70_서부여성발전센터,71_메디힐병원,72_신월중학교입구,73_외발산신광명마을,74_강서면허시험장.메이필드호텔,75_외발산신광명마을,76_외발산동차고지(가상)
2022-03-05 04:00:00,0,1,1,2,3,4,2,7,4,6,0,3,0,7,0,0,0,2,4,7,1,9,10,6,10,7,0,4,4,0,0,0,4,2,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,2,1,3,2,0,0,1,0,2,3,3,3,4,3,4,1,5,6,7,9,11,12,13,11,10,8,6,7,7,6,3,2,0,1,1,3,0,4,4,1,1,3,4,3,0,4,3,3,2,0,2,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,1,0,2,0,1,2,3,0,0,1,2,2,6,3,7,8,4,10,11,6,12,11,7,7,8,6,5,3,4,5,3,1,0,0,0,0,1,0,1,0,0,3,4,2,1,0,1,0,1,3,2,1,0,0,1,3,2,2,5,0,2,3,0,3,3,3,2,1,0,0,0,0,0,0
2022-03-05 07:00:00,0,1,0,0,1,1,1,1,0,0,0,0,3,6,7,6,2,1,6,8,2,11,8,11,9,10,12,11,4,0,3,5,3,2,0,0,0,1,1,0,1,0,0,5,5,2,1,0,2,0,1,0,2,1,0,1,0,0,1,3,4,0,0,1,0,4,2,4,5,1,0,3,0,0,0,0
2022-03-05 08:00:00,0,0,0,0,1,2,3,2,2,0,3,3,5,9,10,12,12,10,11,14,16,19,18,15,17,16,13,15,9,7,5,5,5,3,1,2,1,3,4,0,1,1,0,2,0,4,1,5,5,0,4,3,2,0,1,0,5,4,3,0,0,4,0,0,5,6,7,6,4,4,3,3,1,0,0,0
2022-03-05 09:00:00,0,1,2,0,1,2,3,3,0,2,2,2,3,5,6,8,11,13,10,15,19,21,23,23,22,21,27,20,14,0,12,13,13,7,1,0,3,2,1,0,2,0,1,5,6,3,5,4,1,0,5,3,2,0,2,0,3,3,2,8,11,15,1,15,14,11,11,10,9,5,4,3,2,0,0,0
2022-03-05 10:00:00,0,0,1,2,7,8,10,5,3,4,1,4,5,10,8,13,16,17,18,20,21,25,25,24,25,26,28,25,15,14,14,8,7,3,2,0,2,0,3,0,2,4,0,7,9,8,7,6,5,4,2,2,3,2,0,4,3,2,4,6,3,6,3,5,4,6,8,7,5,4,2,3,2,1,0,0
2022-03-05 11:00:00,3,3,2,0,0,3,5,3,4,0,4,5,9,11,12,11,12,8,10,17,21,22,21,20,17,21,19,19,13,8,10,11,8,6,0,0,5,6,6,0,8,3,6,5,3,4,4,5,7,3,5,2,3,4,3,2,1,3,2,9,4,5,7,8,6,4,6,6,4,3,1,2,1,0,0,0
2022-03-05 12:00:00,0,1,1,2,6,6,4,5,0,4,5,3,4,9,10,10,11,12,13,14,14,18,17,18,17,18,17,16,11,12,9,7,8,6,4,2,2,4,5,6,7,1,3,9,8,7,7,6,7,4,6,5,5,5,4,0,1,4,2,2,2,0,5,0,6,3,5,7,6,2,1,1,1,1,0,0
2022-03-05 13:00:00,0,3,2,2,4,4,5,4,4,2,7,7,9,10,11,11,14,18,17,19,21,22,23,24,25,26,26,25,17,0,12,14,9,6,2,0,7,3,5,0,6,4,4,9,8,0,3,8,10,9,9,8,7,0,5,5,6,5,9,6,7,8,12,0,7,2,10,8,7,6,2,3,1,1,0,0
2022-03-05 14:00:00,0,1,1,2,3,2,3,4,4,3,2,3,6,8,8,7,6,6,0,7,8,9,14,15,17,17,18,20,14,10,13,7,6,3,2,4,3,7,10,0,8,3,2,10,11,10,12,12,14,10,10,9,9,7,5,1,4,4,5,5,6,7,7,15,13,11,7,6,3,1,2,0,0,1,0,0
2022-03-05 15:00:00,0,1,0,2,2,3,4,3,4,1,3,1,3,7,9,3,14,8,0,15,17,19,20,25,27,27,26,23,13,12,9,7,6,3,1,3,5,11,9,0,10,10,12,14,15,10,13,14,15,16,13,12,14,7,8,10,5,0,7,5,0,0,0,5,2,8,6,3,5,3,2,1,0,0,0,0
2022-03-05 16:00:00,0,2,3,0,0,4,5,4,6,0,4,7,6,5,6,7,5,5,4,8,7,8,10,13,19,20,20,20,11,0,6,8,7,3,2,1,5,15,17,7,12,12,10,16,17,0,17,14,11,11,10,9,2,7,6,0,10,7,4,5,3,0,2,5,7,1,5,5,2,2,0,0,0,0,0,0
2022-03-05 17:00:00,0,3,2,3,4,4,5,6,3,2,4,5,1,11,3,11,3,12,13,13,11,11,12,14,14,15,15,13,7,6,7,8,10,4,2,3,4,12,14,9,24,24,20,23,24,19,16,12,11,10,9,8,11,9,9,8,8,7,6,4,4,3,5,3,4,5,5,2,0,0,1,0,0,0,0,0
2022-03-05 18:00:00,0,2,1,3,7,8,8,9,8,7,6,8,7,5,4,4,5,6,0,7,6,7,5,10,11,9,10,8,4,3,4,7,5,4,3,5,4,15,15,0,19,21,14,16,17,12,13,16,16,15,13,11,10,10,8,6,5,5,4,4,4,0,7,5,7,7,10,8,6,3,0,0,0,1,0,0
2022-03-05 19:00:00,0,1,2,0,7,9,9,5,3,3,2,2,1,3,3,3,3,1,3,4,3,5,6,7,5,4,5,4,3,0,1,2,1,1,6,3,4,13,17,0,13,12,10,18,20,7,19,18,17,16,13,12,0,3,10,9,8,5,2,3,0,4,4,2,0,2,7,3,2,2,1,0,0,0,0,0
2022-03-05 20:00:00,0,1,0,2,3,0,4,4,0,0,3,3,2,1,3,2,3,4,3,2,5,2,6,1,0,7,0,7,0,0,0,3,2,1,1,0,4,16,19,0,14,11,14,25,24,20,18,18,19,0,17,15,12,8,7,11,10,7,3,1,2,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0
2022-03-05 21:00:00,0,2,3,0,4,3,4,5,0,1,6,7,8,6,5,4,0,0,0,4,0,3,4,2,0,5,0,4,2,0,0,1,0,0,2,0,8,15,18,10,18,15,14,19,19,17,17,16,17,12,16,15,8,14,10,8,13,10,5,2,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
