Unnamed: 0,1_양천공영차고지,2_신정현대아파트,3_양천고등학교,4_정랑고개.양천벤처타운,5_신트리아파트,6_신트리공원.목동아파트11단지,7_목동12단지,8_양천구민체육센터.양천일자리센터,9_양천구청,10_양천공원,11_목동중학교,12_목동8단지.한전,13_목동8단지지하도,14_서울남부지방법원.서울남부지방검찰청,15_진명여고,16_목동역.홍익병원,17_홍익병원목동관,18_금호어울림.대원칸타빌아파트,19_목동3단지후문,20_영도초등학교,21_신목중학교.목동2단지후문,22_월촌초등학교,23_목원초등학교.서울지방식품의약품안전청,24_신목동역2번출구,25_신목동역.서울지방식품의약품안전청,26_월촌중학교.목동1단지,27_목동5단지B상가.목5동주민센터,28_목동이대병원.목동6단지앞,29_한신아파트.선유도역,30_선유도역.롯데제과,31_당산역,32_당산역,33_선유도역.롯데제과,34_한신아파트.선유도역,35_월촌중학교.목동1단지,36_목동5단지B상가.목5동주민센터,37_목동이대병원.목동6단지앞,38_목동YMCA.서울에너지공사,39_목동한신청구아파트,40_목원초등학교.서울지방식품의약품안전청,41_신목동역2번출구,42_신목동역,43_신목동역1번출구,44_목원초등학교.서울지방식품의약품안전청,45_월촌초등학교.우성아파트,46_신목중학교,47_목동스카이아파트.목동3단지,48_금호어울림.대원칸타빌아파트,49_목동사거리,50_목동역.홍익병원,51_진명여고,52_서울남부지방법원.서울남부지방검찰청,53_양천구청.양천보건소,54_양천문화회관.양천일자리센터,55_목동10단지상가,56_신트리공원,57_신트리아파트,58_정랑고개.양천벤처타운,59_금옥중.금옥여고.백암고등학교,60_신정현대아파트.서부트럭터미널,61_양천공영차고지
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,1,2,0,0,0,1,3,0,2,0,0,3,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,1,1,2,3,0,5,5,4,4,5,0,0,0,2,1,0,1,0,1,2,2,0,0,2,1,0,1,0,0,0,1,3,5,4,3,0,0,0,0,0,1,0,0,0,0,2,3,3,1,2,0,2,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,1,0,0,2,0,2,1,0,0,0,0,0,2,3,2,0,2,0,0,1,4,3,1,2,1,4,5,0,0,1,1,2,3,2,0,1,0,0,0,0,0,1,2,2,4,4,7,8,4,4,1,1,0,1,1,1,0,0,0,0
2022-03-05 08:00:00,2,5,7,9,12,12,11,4,8,5,4,5,0,4,7,5,5,6,7,6,4,5,4,0,5,3,4,3,4,3,1,3,1,3,2,1,0,1,2,0,0,3,3,5,8,15,13,13,18,8,9,8,5,3,0,2,3,0,1,1,0
2022-03-05 09:00:00,1,3,6,5,8,10,9,10,10,7,8,9,4,8,6,8,9,11,11,10,10,4,9,5,0,3,2,6,5,3,2,5,3,0,1,0,0,0,0,0,1,2,2,3,5,7,10,11,17,11,10,0,8,6,1,5,4,3,2,2,0
2022-03-05 10:00:00,5,6,8,5,8,9,7,7,9,7,0,3,3,4,5,8,8,9,6,4,8,6,4,3,0,1,7,7,5,3,3,5,3,3,3,2,1,0,2,3,1,0,2,3,4,5,8,10,14,9,9,4,3,2,3,1,2,2,1,0,0
2022-03-05 11:00:00,2,5,6,6,8,0,11,8,7,7,8,6,9,5,9,7,8,7,5,4,7,9,5,3,3,2,3,10,8,0,1,2,0,4,1,2,1,0,1,0,3,2,3,4,4,8,11,11,8,6,5,0,4,3,2,0,5,3,3,1,0
2022-03-05 12:00:00,2,4,6,7,8,9,9,8,7,7,7,8,6,5,6,9,13,7,9,8,7,7,5,2,5,3,3,5,4,3,2,4,2,6,4,3,1,0,1,0,0,1,1,2,4,2,6,7,7,3,5,1,7,6,7,0,5,4,2,0,0
2022-03-05 13:00:00,1,6,10,9,17,9,19,15,16,16,15,18,0,0,16,12,14,12,8,9,14,10,9,5,0,1,3,5,1,3,2,6,4,3,2,3,1,1,1,0,0,2,4,5,3,7,12,11,13,13,8,7,6,7,7,6,2,5,2,0,0
