Unnamed: 0,1_국립과학수사연구소.고강동종점,2_신안파크아파트후문,3_중부운수앞,4_신월동우성상가,5_신월문화체육센터,6_한빛종합사회복지관,7_강서초등학교,8_신월2동주민센터입구,9_양강중학교,10_신정네거리역,11_경서농협,12_우리은행신정동지점,13_신정1동우체국,14_서울남부지방법원.서울남부지방검찰청,15_서울남부지방법원.서울남부지방검찰청,16_양천구청.양천보건소,17_양천문화회관.양천일자리센터,18_목동10단지상가,19_목동12단지,20_목동12.13단지사잇길,21_양천구청역,22_목동14단지상가,23_목동아파트1434동앞,24_신목초등학교입구,25_신정2동주민센터,26_새마을금고,27_목동대학학원,28_목운초등학교.목운중학교,29_목동운동장남문.아이스링크,30_목동5단지C상가.목동운동장북문,31_파리공원,32_목동5단지B상가.목5동주민센터,33_목동이대병원.목동6단지앞,34_월촌중학교.목동1단지,35_목동1.2단지사잇길,36_용왕산,37_신목중학교,38_목동스카이아파트.목동3단지,39_목동3.4단지사잇길,40_목동4단지상가.목동종합운동장,41_CBS방송국,42_목운초등학교.목운중학교,43_오목교역.청학스포츠타운,44_현대아이파크아파트,45_목동중학교.서울출입국.외국인청,46_신목초등학교입구,47_목동14단지관리사무소앞,48_목동13단지,49_양천구청역,50_목동12.13단지사잇길,51_양천구민체육센터.양천일자리센터,52_양천구청,53_양천공원,54_목동중학교,55_목동8단지.한전,56_목동8단지지하도,57_서울남부지방법원.서울남부지방검찰청,58_신정1동우체국,59_우리은행신정동지점,60_신정4동경서농협,61_신정네거리역,62_양강중학교,63_신월2동주민센터입구.경창전통시장,64_강서초등학교,65_한빛종합사회복지관,66_신월문화체육센터,67_신월동우성상가,68_중부운수앞,69_신안파크아파트후문,70_국립과학수사연구소.고강동종점
2022-03-05 04:00:00,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,6,14,5,14,16,15,14,13,10,8,7,3,0,0,1,6,5,4,4,3,3,4,3,2,2,1,5,0,4,2,0,0,0,4,0,0,2,1,0,3,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,6,8,3,5,4,4,5,3,4,3,0,2,2,1,0,0,1,1,1,0,2,2,2,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,3,0,2,2,2,0,4,0,0,0,0,4,0,0,0,1,1,0,0,2,0,4,5,0,2,6,5,5,4,2,0
2022-03-05 07:00:00,12,11,12,6,7,8,9,11,6,5,4,5,0,0,4,3,5,5,4,3,3,3,5,7,6,3,3,3,1,2,1,0,2,1,0,0,4,6,7,8,0,3,2,2,0,1,1,0,0,0,2,0,1,0,1,0,2,0,1,1,4,2,3,5,2,2,6,5,4,0
2022-03-05 08:00:00,14,15,14,11,12,13,14,14,13,8,7,8,7,4,9,7,6,9,9,10,10,13,17,12,19,20,10,12,5,7,2,1,2,1,0,1,2,6,6,9,8,7,6,4,2,0,3,0,2,3,3,2,0,0,1,0,3,4,5,0,6,5,7,6,5,2,2,1,0,0
2022-03-05 09:00:00,14,15,15,13,15,14,18,21,17,14,13,10,9,6,4,4,2,3,4,9,10,11,17,8,9,18,13,11,7,5,5,4,5,5,5,3,4,7,3,11,9,7,8,6,4,2,3,2,3,0,1,0,0,1,2,1,3,1,3,0,6,4,6,5,5,4,6,4,4,0
2022-03-05 10:00:00,10,9,11,12,13,13,15,19,17,12,10,9,8,2,9,6,5,6,6,8,7,8,9,14,16,17,13,9,6,5,2,0,2,4,5,0,4,7,8,9,10,6,3,4,2,2,1,0,3,2,1,2,1,0,2,1,4,2,4,3,6,6,7,4,3,2,6,5,4,0
2022-03-05 11:00:00,14,15,14,16,17,16,19,27,24,11,9,7,6,0,4,8,6,9,13,16,15,13,17,18,20,20,14,13,8,7,4,1,3,4,1,2,9,15,17,18,19,16,18,12,11,5,6,3,3,4,6,7,8,10,11,0,6,12,7,12,20,18,19,16,15,7,10,7,9,0
2022-03-05 12:00:00,17,16,16,14,15,16,18,22,19,8,9,5,1,8,8,8,10,14,19,22,24,27,29,30,28,23,17,15,11,8,4,4,4,7,8,8,10,11,12,14,13,13,15,14,4,8,9,8,7,5,4,3,5,6,5,0,4,7,8,9,11,12,11,10,9,4,10,6,7,0
2022-03-05 13:00:00,9,9,10,10,11,11,13,15,12,10,9,8,5,7,4,8,9,9,12,11,12,13,14,16,19,21,16,13,11,11,10,11,4,10,7,5,4,8,8,10,15,13,14,11,10,9,9,7,5,4,3,4,0,8,9,0,8,9,8,10,11,10,10,8,7,7,11,10,0,0
