Unnamed: 0,1_외발산동차고지(가상),2_외발산동기점,3_신월중학교입구,4_국민은행신월동지점,5_가로공원공영주차장.신영시장,6_가로공원.나누리병원,7_화곡중앙골목시장,8_화곡대림아파트,9_화곡동백구사,10_다운어린이공원.치유하는교회,11_까치산역4번출구,12_화곡8동주민센터.까치산시장,13_서울신정초등학교,14_화곡2동주민센터,15_성석교회,16_목동사거리,17_목동역.홍익병원,18_목동7단지,19_목동대학학원,20_오목교역.동신한방병원,21_관악고등학교,22_양평신동아아파트,23_교보앞,24_당산동진로아파트,25_김안과병원,26_경방타임스퀘어.신세계백화점,27_영등포역,28_전경련회관,29_한국거래소,30_더현대서울,31_여의도환승센터,32_여의도공원,33_경방타임스퀘어.신세계백화점,34_김안과병원,35_당산동진로아파트,36_양남동로타리,37_양평1동주민센터,38_관악고등학교,39_오목교역.동신한방병원,40_목동대학학원,41_목동7단지.종로학원,42_목동역.홍익병원,43_홍익병원목동관,44_화곡동남부시장,45_화곡2동주민센터,46_서울신정초등학교,47_화곡8동주민센터,48_까치산역2번출구,49_화곡동백구사,50_화곡동대림아파트.화곡중앙시장,51_가로공원.나누리병원,52_가로공원공영주차장,53_국민은행신월동지점,54_메디힐병원,55_신월중학교입구,56_외발산신광명마을,57_강서면허시험장.메이필드호텔,58_강서농수산물도매시장,59_강서면허시험장.메이필드호텔,60_외발산신광명마을,61_외발산동차고지(가상)
2022-03-05 04:00:00,0,1,2,5,5,5,6,7,8,9,14,17,20,23,24,22,22,19,7,20,4,19,18,16,14,12,10,6,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,2,6,7,8,13,15,12,11,7,8,9,9,11,14,10,9,8,7,8,7,5,6,6,5,3,3,2,1,9,2,8,11,12,9,8,7,6,7,4,4,4,9,9,9,9,9,4,10,9,8,5,6,6,5,2,0,0,0,0
2022-03-05 06:00:00,1,1,1,7,9,10,11,13,14,11,7,6,5,6,9,8,7,9,7,7,7,2,7,5,7,6,3,3,2,1,1,2,3,4,5,3,6,4,3,5,5,6,6,5,8,12,10,8,5,4,1,3,2,2,0,0,2,2,0,0,0
2022-03-05 07:00:00,0,1,6,10,12,12,15,15,22,19,13,13,12,13,15,15,13,12,11,9,7,7,6,5,4,4,5,3,2,1,3,2,4,3,2,0,4,5,4,3,2,4,3,7,13,14,8,7,7,9,10,9,7,6,7,3,5,1,0,0,0
2022-03-05 08:00:00,0,6,7,15,19,20,29,38,39,35,20,19,20,22,33,28,24,22,18,18,17,17,18,17,12,7,6,5,3,2,1,0,6,8,7,6,8,4,9,4,10,8,7,9,15,16,14,10,9,9,10,8,7,8,5,5,3,5,1,0,0
2022-03-05 09:00:00,0,3,5,21,24,24,28,28,32,30,25,31,37,35,40,36,34,32,27,22,22,26,22,20,16,11,8,9,4,1,3,4,7,10,10,8,10,8,8,6,6,9,9,14,21,26,22,16,13,19,22,18,16,13,9,7,4,3,0,0,0
2022-03-05 10:00:00,1,2,5,14,16,19,25,29,32,28,22,27,29,30,35,38,31,25,23,28,28,23,28,26,23,9,11,10,7,4,3,1,6,6,6,5,6,10,6,10,4,7,6,9,14,15,14,11,10,10,8,5,6,2,4,4,4,5,2,0,0
2022-03-05 11:00:00,0,4,8,23,24,21,23,29,33,30,22,23,29,29,34,29,26,25,23,26,28,23,24,24,20,14,20,13,6,5,4,5,18,20,18,17,19,18,15,14,13,15,14,18,21,20,19,15,14,17,15,13,11,9,5,3,1,3,0,0,0
2022-03-05 12:00:00,0,6,8,17,20,24,27,31,32,31,21,29,29,27,29,33,28,29,28,30,30,32,31,27,19,12,17,15,15,9,8,8,10,14,13,14,14,13,14,17,19,21,21,17,19,19,16,18,15,14,11,10,5,3,3,4,2,2,1,0,0
2022-03-05 13:00:00,2,6,10,22,24,30,33,32,32,32,25,23,24,27,34,39,36,31,32,31,29,31,32,29,24,15,17,15,11,12,13,5,18,21,24,22,23,22,21,19,21,29,24,21,24,22,22,20,16,14,13,11,7,5,5,5,2,2,1,0,0
2022-03-05 14:00:00,0,5,11,16,13,18,23,25,28,26,25,26,27,29,32,32,33,38,34,36,34,32,34,36,34,22,26,14,19,9,13,10,19,22,23,20,21,17,19,17,18,23,21,24,23,21,19,17,17,18,14,11,6,5,4,3,3,3,2,0,0
2022-03-05 15:00:00,0,5,6,11,15,16,21,25,26,24,20,23,24,26,28,36,34,32,32,35,33,31,32,30,25,12,16,15,14,18,20,15,25,26,27,26,26,25,24,26,27,32,28,29,29,33,32,26,23,23,19,16,6,8,6,4,1,0,1,0,0
2022-03-05 16:00:00,10,4,6,16,18,19,20,21,23,23,18,23,26,23,23,25,26,29,31,28,26,24,25,29,23,15,19,15,13,16,16,0,31,36,35,36,34,27,23,27,26,30,26,23,21,24,22,24,23,22,18,15,5,3,2,1,1,2,0,0,0
2022-03-05 17:00:00,1,3,11,24,25,26,31,19,37,32,26,25,23,22,21,21,19,22,21,25,21,20,19,15,20,10,11,10,9,19,22,15,41,46,43,41,40,35,37,37,39,45,39,31,28,29,27,39,33,24,20,15,6,6,4,2,0,2,0,0,0
2022-03-05 18:00:00,0,3,2,11,7,13,12,15,17,17,21,21,18,19,15,14,15,16,15,12,11,9,13,9,11,10,13,6,5,11,20,23,37,38,35,35,33,35,33,31,32,33,30,31,26,27,22,34,24,18,14,12,5,5,4,2,1,2,1,0,0
