Unnamed: 0,1_개화역광역환승센터,2_개화역1번출구.개화검문소,3_개화119안전센터,4_김포공항국제선,5_한국공항공사,6_김포공항국내선,7_제과점앞,8_공항동주민센터,9_공항동천주교회,10_공항동송정중학교,11_강서면허시험장.메이필드호텔,12_마곡수명산파크7단지,13_마곡수명산파크5단지6단지,14_마곡수명산파크2단지,15_마곡엠밸리15단지아파트,16_마곡역교차로,17_발산역3번출구,18_서울호서전문학교.등촌주공3단지아파트,19_등촌3동주공4단지아파트,20_등촌3동5단지아파트.등촌고등학교,21_등촌3동주공10단지아파트,22_SBS공개홀,23_가양역.우성아파트,24_가양역.마포중고등학교,25_강서구청사거리.서울디지털대학교,26_등촌중학교백석초등학교,27_등촌역.강서보건소,28_염창역.서울도시가스,29_안양천입구,30_양평동한솔아파트,31_양평한신아파트.선유도공원입구,32_당산역,33_당산역,34_양평한신아파트.선유도공원입구,35_영등포아리수정수센터,36_염창역.서울도시가스,37_등촌역.강서보건소,38_등촌중학교백석초등학교,39_KC대학교.강서LG베스트샵,40_경복비즈니스고등학교,41_가양역.마포중고등학교,42_가양역.우성아파트,43_SBS공개홀,44_등촌3동대림아파트,45_등촌3동5단지아파트.등촌고등학교,46_등촌동부영아파트,47_서울호서전문학교.등촌주공3단지아파트,48_발산역2번출구,49_발산역9번출구,50_마곡동로사거리,51_마곡엠밸리14단지아파트,52_마곡수명산파크2단지,53_마곡수명산파크3단지4단지,54_마곡수명산파크7단지,55_강서면허시험장.메이필드호텔,56_공항동송정중학교,57_국립항공박물관.공항동천주교회,58_공항동지하도입구,59_롯데몰.김포공항역,60_김포공항국제선,61_한국공항공사,62_김포공항국내선,63_방화동도시개발11단지,64_개화119안전센터,65_개화역광역환승센터,66_강서공영차고지(종점가상)
2022-03-05 04:00:00,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,2,0,2,0,0,0,1,0,0,2,1,3,0,0,0,1,1,3,4,5,2,3,4,7,2,6,5,0,0,1,1,2,0,4,3,2,0,2,3,5,6,4,4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,3,0,2,0,1,2,0,1,3,2,3,1,2,0,0,2,1,2,3,3,2,2,3,2,3,4,0,3,1,2,1,2,1,1,2,1,0,0,1,5,6,4,0,3,3,0,0,1,0,3,0,3,7,8,7,7,6,5,0,4,3,2,0,0,0
2022-03-05 07:00:00,0,0,0,0,0,0,1,1,1,0,0,2,4,5,4,0,1,0,3,3,2,1,0,3,3,3,4,5,6,4,5,1,2,0,3,2,2,2,2,3,2,4,3,2,2,6,5,6,3,3,2,3,2,0,2,1,3,7,5,0,1,1,0,0,0,0
2022-03-05 08:00:00,0,0,1,0,0,1,2,0,4,2,0,4,6,7,8,8,5,4,10,14,16,13,8,4,8,2,8,6,0,9,6,1,1,2,0,2,5,3,1,4,7,9,8,9,10,12,10,7,7,3,2,3,5,4,0,6,9,7,3,2,2,0,0,0,0,0
2022-03-05 09:00:00,0,1,1,1,0,0,2,2,2,0,1,3,6,6,6,5,4,5,8,10,11,9,4,6,8,9,6,5,3,5,7,2,4,0,3,2,4,5,6,5,8,9,6,5,5,6,5,5,4,3,4,3,3,2,4,3,3,2,0,0,0,1,0,0,0,0
2022-03-05 10:00:00,0,3,2,0,0,1,2,3,4,1,0,5,4,6,7,6,6,4,10,11,13,11,7,3,5,4,4,2,3,5,4,2,2,2,3,3,5,5,6,8,5,6,7,6,5,7,6,5,5,3,5,5,4,2,4,4,7,6,1,2,1,0,0,0,0,0
2022-03-05 11:00:00,0,1,0,1,1,2,3,2,4,3,3,5,5,9,10,11,7,8,9,10,9,8,13,6,16,16,16,11,10,11,8,2,3,2,2,4,8,9,8,8,7,8,8,9,9,13,12,11,11,9,1,2,4,2,4,1,6,5,3,0,2,2,0,0,0,0
2022-03-05 12:00:00,0,2,0,0,1,4,3,1,4,0,2,5,7,7,10,10,5,6,10,11,12,10,9,8,8,9,7,6,6,8,9,3,2,2,1,3,8,8,9,9,10,8,7,9,8,12,9,11,8,7,9,8,8,0,6,5,6,5,5,0,2,2,1,0,0,0
2022-03-05 13:00:00,0,1,2,1,3,5,2,0,4,3,5,6,10,12,16,15,11,12,14,10,10,8,9,10,11,10,8,7,8,9,3,4,6,3,6,6,6,6,5,2,6,8,10,13,12,11,6,9,6,5,6,4,4,2,6,4,8,6,2,1,0,0,0,0,0,0
2022-03-05 14:00:00,0,0,0,3,4,5,3,2,6,0,7,9,16,18,20,15,9,8,9,9,10,8,9,11,10,6,4,5,6,5,0,2,6,0,4,9,9,5,7,6,8,8,6,5,4,8,7,5,5,0,2,10,8,9,3,8,6,4,1,2,1,0,1,0,0,0
2022-03-05 15:00:00,2,0,1,0,3,4,6,5,2,0,6,6,7,10,12,13,8,8,7,7,10,9,8,11,9,9,10,8,5,4,7,1,3,3,4,8,8,7,8,7,7,7,8,9,7,11,11,14,15,10,7,6,9,8,7,8,10,2,2,0,0,4,2,0,0,0
2022-03-05 16:00:00,1,0,0,3,3,3,4,5,5,0,3,5,7,9,7,6,7,5,9,8,10,9,7,9,9,8,8,7,8,6,10,4,6,7,5,10,12,11,7,8,12,10,11,11,9,10,7,8,8,7,5,4,4,2,4,0,5,2,2,1,0,0,0,0,0,0
2022-03-05 17:00:00,0,0,0,1,0,4,0,2,3,0,13,15,17,7,19,14,8,7,7,6,3,7,4,6,6,5,6,5,4,6,5,4,7,6,8,10,9,12,12,11,13,17,14,12,10,8,6,12,12,10,10,4,1,0,4,5,4,2,1,0,0,1,0,0,0,0
2022-03-05 18:00:00,0,1,0,0,0,3,4,0,3,3,7,5,4,8,8,7,6,5,6,3,5,6,3,5,3,4,3,4,3,3,2,5,8,7,9,11,9,11,11,9,9,9,10,8,7,9,9,10,14,2,13,8,7,3,1,0,4,3,0,1,0,0,0,0,0,0
2022-03-05 19:00:00,1,0,0,0,0,3,4,5,6,1,3,4,8,9,8,9,5,7,6,6,6,9,8,8,7,6,6,3,2,1,0,2,8,0,2,1,8,9,5,5,6,10,12,5,10,9,8,7,8,6,4,3,4,1,0,5,2,0,1,2,1,2,0,0,0,0
2022-03-05 20:00:00,1,0,0,0,0,2,2,0,3,0,1,4,4,3,2,3,6,4,4,3,0,7,4,3,3,2,0,3,1,0,0,5,7,5,8,8,4,7,6,5,4,6,6,7,5,3,4,5,10,12,10,6,7,5,3,4,1,0,0,0,0,0,0,0,0,0
2022-03-05 21:00:00,2,1,0,1,0,6,6,5,3,0,3,7,4,3,5,6,9,7,8,9,2,8,7,3,3,0,3,2,0,0,0,4,6,3,2,5,7,7,6,2,7,8,3,4,5,4,3,6,6,6,5,3,3,4,3,1,0,0,0,0,0,0,1,0,0,0
2022-03-05 22:00:00,0,0,1,0,2,3,7,0,6,0,3,4,2,3,0,5,6,5,5,5,4,3,4,3,4,2,3,2,1,1,2,5,6,6,7,7,8,9,10,4,10,11,9,7,6,4,3,4,7,4,6,5,3,1,3,2,1,0,1,0,0,2,1,0,0,0
2022-03-05 23:00:00,0,0,0,0,0,1,0,0,2,0,0,2,3,2,0,4,8,0,6,4,4,4,3,3,2,1,0,2,0,1,1,4,9,11,5,13,15,11,10,8,9,9,9,7,8,4,3,6,8,9,8,2,5,3,3,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
