Unnamed: 0,1_양천공영차고지,2_신정현대아파트,3_양천고등학교,4_정랑고개.양천벤처타운,5_신트리아파트,6_신트리공원.목동아파트11단지,7_목동12단지,8_양천구민체육센터.양천일자리센터,9_양천구청,10_양천공원,11_신정2동주민센터,12_새마을금고,13_오목교역.청학스포츠타운,14_오목교역.동신한방병원,15_관악고등학교,16_양평신동아아파트,17_교보앞,18_당산동진로아파트,19_김안과병원,20_경방타임스퀘어.신세계백화점,21_남부지방법원등기국.구로세무서(에이스하이테크시티),22_문래동남성아파트,23_신도림역,24_신도림동.구로역,25_구일역.중앙유통상가,26_동양미래대학.구로성심병원,27_개봉역.영화아파트,28_경인중학교.개봉사거리,29_오류1동주민센터.오류문화센터,30_오류동역,31_오류2동새마을금고,32_오류2동주민센터,33_천왕역1번출구,34_연지타운2단지,35_구로우체국.이펜하우스3단지후문,36_천왕이펜하우스5단지,37_천왕이펜하우스3.4단지,38_천왕이펜하우스3단지입구,39_천왕이펜하우스2단지,40_천왕역3번출구,41_오남중학교.삼미주택,42_금강수목원아파트,43_수궁동주민센터,44_수궁119안전센터,45_예림디자인고.오류고.서울공연예술고,46_서서울생활과학고.궁동도서관,47_신정숲속마을아파트,48_양천공영차고지
2022-03-05 04:00:00,0,1,2,0,3,0,0,0,2,1,3,4,3,4,4,0,5,6,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,2,2,0,6,0,5,1,0,4,1,5,4,4,3,3,2,3,2,2,2,0,0,3,0,4,3,5,5,5,4,0,2,1,0,3,2,1,1,2,0,2,0,0,0,0,0,0
2022-03-05 06:00:00,1,5,1,6,7,0,6,6,4,4,0,2,0,3,0,4,5,4,3,2,0,3,3,4,0,1,2,2,1,0,1,1,1,0,0,3,5,1,0,4,2,1,1,0,0,0,0,0
2022-03-05 07:00:00,1,3,4,3,4,4,5,6,4,5,7,7,5,4,1,1,0,2,2,2,1,0,8,0,7,7,7,6,3,3,5,0,5,4,3,3,4,6,2,2,1,0,0,1,2,0,3,0
2022-03-05 08:00:00,1,3,6,9,10,7,12,13,14,9,15,8,14,15,14,12,10,8,6,4,3,4,6,5,4,4,6,7,4,3,3,3,2,0,0,5,6,8,5,6,6,1,0,3,3,0,0,2
2022-03-05 09:00:00,1,5,9,10,14,14,18,18,17,18,14,16,9,6,5,3,4,5,7,7,5,3,7,7,6,6,5,6,14,16,17,14,2,0,1,5,9,12,9,5,6,1,4,3,2,0,2,0
2022-03-05 10:00:00,1,4,9,10,14,14,15,15,16,17,20,22,21,17,8,8,10,12,12,7,6,5,7,7,3,6,7,8,7,9,10,13,6,7,3,5,7,13,11,7,6,6,3,2,3,2,1,0
2022-03-05 11:00:00,0,1,5,0,9,10,17,21,21,21,22,16,14,16,16,16,21,14,9,7,4,8,10,11,12,13,11,15,15,17,19,18,9,8,7,3,2,3,1,3,4,3,3,2,0,3,0,0
2022-03-05 12:00:00,0,4,12,13,18,19,27,26,24,23,24,24,17,20,22,24,9,18,13,11,12,11,12,12,12,11,11,10,14,13,10,5,9,5,4,7,9,12,9,8,0,9,7,3,4,5,1,0
2022-03-05 13:00:00,3,6,9,11,16,17,19,19,21,22,21,19,12,14,13,15,24,23,26,18,18,16,21,19,17,18,19,18,14,16,15,12,8,7,6,4,7,8,6,6,7,8,5,3,1,0,1,0
