Unnamed: 0,1_양천공영차고지,2_신정숲속마을아파트.댓골마을입구,3_서서울생활과학고.궁동도서관,4_예림디자인고.오류고.서울공연예술고,5_수궁119안전센터,6_수궁동주민센터,7_금강수목원아파트,8_오남중학교,9_천왕역2번출구,10_천왕이펜하우스3단지입구,11_천왕이펜하우스4단지,12_천왕이펜하우스6단지,13_구로우체국.이펜하우스5단지후문,14_연지타운2단지,15_천왕역4번출구,16_오류2동주민센터,17_오류2동새마을금고,18_씨티월드,19_오류동역,20_오류1동주민센터.오류문화센터,21_경인중학교.개봉사거리,22_개봉역.한마을아파트,23_동양미래대학.구로성심병원,24_구일역.제일제당,25_신도림동.구로역,26_신도림역,27_문래동남성아파트,28_남부지방법원등기국.구로세무서(에이스하이테크시티),29_경방타임스퀘어.신세계백화점,30_김안과병원,31_당산동진로아파트,32_양남동로타리,33_양평1동주민센터,34_관악고등학교,35_오목교역.청학스포츠타운,36_현대아이파크아파트,37_목동중학교.서울출입국.외국인청,38_목동8단지.한전,39_양천구청.양천보건소,40_양천문화회관.양천일자리센터,41_목동10단지상가,42_신트리공원,43_신트리아파트,44_정랑고개.양천벤처타운,45_금옥중.금옥여고.백암고등학교,46_신정현대아파트.서부트럭터미널,47_양천공영차고지
2022-03-05 04:00:00,0,0,0,1,0,0,0,1,1,2,3,4,0,9,11,10,0,9,8,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,0,0,1,3,1,0,0,0,0,1,2,0,5,3,1,0,6,6,7,9,9,7,8,7,4,0,3,2,4,5,3,2,0,2,1,1,0,0,0,2,1,2,0,0,1,0
2022-03-05 06:00:00,2,0,0,3,0,2,2,3,3,4,5,4,2,5,8,9,6,9,9,10,11,10,10,7,9,7,2,8,4,2,3,0,0,3,1,2,1,0,0,0,0,2,1,0,0,0,0
2022-03-05 07:00:00,1,2,0,1,2,0,2,1,3,2,3,10,9,12,13,13,14,16,16,18,19,13,12,0,10,6,5,3,3,3,4,2,3,5,3,4,3,0,2,2,0,0,2,1,1,0,0
2022-03-05 08:00:00,3,2,0,3,4,3,4,4,2,3,4,12,9,10,11,12,15,13,12,13,12,10,20,19,16,12,11,10,8,7,7,9,10,9,11,8,4,5,3,2,0,0,3,2,1,0,0
2022-03-05 09:00:00,3,2,1,4,6,7,6,4,6,10,9,16,17,20,23,23,26,23,24,26,23,22,21,23,21,14,13,12,9,10,8,8,9,10,13,13,12,10,10,10,9,8,5,4,1,0,0
2022-03-05 10:00:00,2,0,0,3,3,1,2,1,1,2,5,10,11,13,16,16,19,17,16,15,17,16,16,15,13,11,9,8,10,9,11,11,10,11,11,12,8,8,7,5,7,6,5,4,3,2,0
2022-03-05 11:00:00,2,2,7,6,6,7,7,8,8,4,4,11,13,14,17,17,21,19,16,17,21,21,21,20,21,18,0,20,16,17,16,15,16,17,21,20,15,14,13,13,13,11,7,4,3,2,0
2022-03-05 12:00:00,2,0,0,2,0,3,4,3,4,4,5,9,11,16,16,17,20,20,24,28,24,25,24,25,25,17,15,11,9,11,11,6,13,14,12,13,14,16,12,12,11,11,6,5,2,0,0
2022-03-05 13:00:00,2,2,0,3,7,8,7,6,11,9,12,18,14,17,22,23,24,29,28,31,23,22,20,0,16,13,9,10,11,18,16,16,13,19,21,11,22,21,18,16,19,18,17,18,7,2,0
