Unnamed: 0,1_김포교통(기점가상),2_방화도시7단지.국립국어원,3_방화역,4_한서고등학교.보람아파트,5_방화동동부센트레빌아파트,6_신방화사거리,7_서울항공비즈니스고등학교,8_신방화5번출구,9_마곡엠밸리6.7단지.마곡중학교,10_마곡나루역,11_마곡나루역5번출구.서울식물원,12_마곡역(가로변),13_마곡역교차로,14_이대서울병원,15_발산역.우장산힐스테이트,16_명덕고등학교.서울스타병원,17_우장산역,18_화곡중고등학교,19_대원시장,20_화곡역,21_화곡역.현대주유소,22_화원중학교,23_가로공원.나누리병원,24_가로공원공영주차장,25_국민은행신월동지점,26_신월3동주민센터.신월3동우체국,27_양서중학교,28_보람쉬움아파트,29_강서한방병원,30_화곡동유림아파트,31_KT강서지사,32_양강중학교,33_신정네거리역,34_경서농협,35_우리은행신정동지점,36_신정1동우체국,37_서울남부지방법원.서울남부지방검찰청,38_서울남부지방법원.서울남부지방검찰청,39_양천구청.양천보건소,40_양천구청,41_양천공원,42_목동중학교,43_목동8단지.한전,44_목동8단지지하도,45_서울남부지방법원.서울남부지방검찰청,46_신정1동우체국,47_우리은행신정동지점,48_신정4동경서농협,49_신정네거리역,50_제일여성병원,51_양강중학교,52_화곡동유림아파트,53_강서한방병원,54_보람쉬움아파트.신영시장,55_신월1동주민센터.신월보건지소,56_서부여성발전센터,57_국민은행신월동지점,58_가로공원공영주차장.신영시장,59_가로공원.나누리병원,60_화원중학교,61_화곡역,62_화곡역1번출구,63_대원시장,64_화곡중고등학교,65_우장산역,66_명덕고등학교.서울스타병원,67_발산역.우장산힐스테이트,68_발산역9번출구,69_마곡동로사거리,70_마곡역(가로변),71_마곡나루역1번출구.웰튼병원,72_마곡엠밸리7단지(712동),73_신방화역4번출구.마곡중학교,74_서울항공비즈니스고등학교,75_방화동동부센트레빌아파트,76_한서고등학교.보람아파트,77_방화역,78_방화3동주민센터.국립국어원,79_김포교통(종점가상)
2022-03-05 04:00:00,0,0,3,2,0,4,7,6,8,9,10,8,9,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,0,1,0,0,0,2,4,2,3,1,0,0,0,0,5,4,5,6,4,6,6,1,7,0,9,10,11,13,12,11,9,7,0,1,5,4,3,2,5,4,3,0,0,0,0,0,0,2,0,0,0,0,4,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,2,0,0,1,3,4,6,3,2,3,3,3,5,4,0,5,3,2,2,0,0,0,2,4,0,3,5,3,5,3,2,3,2,0,0,0,1,0,1,0,1,0,0,0,0,1,2,2,2,3,3,2,7,12,5,13,7,12,10,12,5,13,14,14,15,14,13,12,5,0,2,0,0,0,0,0,0
2022-03-05 07:00:00,0,2,0,0,3,4,4,5,8,9,9,7,6,5,4,3,3,2,1,0,3,2,1,4,3,3,5,7,9,8,7,6,5,0,4,2,5,4,3,2,1,0,0,0,2,0,0,1,1,2,0,3,2,4,5,5,7,9,10,10,11,12,18,17,16,5,15,12,10,5,6,0,5,3,1,0,0,0,0
2022-03-05 08:00:00,0,1,3,0,5,3,6,5,6,6,6,5,4,0,4,4,4,2,0,1,5,4,3,4,3,4,4,5,5,6,5,7,4,3,2,0,2,0,1,2,1,0,2,0,4,0,3,4,3,3,3,2,5,6,8,7,9,14,15,11,14,15,14,12,7,11,6,11,0,10,7,5,3,3,1,1,1,0,0
2022-03-05 09:00:00,0,1,4,6,4,4,6,7,13,10,14,12,10,6,10,8,3,5,4,3,5,2,5,0,4,7,10,15,16,17,18,16,14,13,11,0,0,10,4,7,6,0,0,1,1,0,3,2,3,5,4,7,8,8,15,19,21,26,26,31,29,31,34,27,24,20,19,17,14,5,11,9,3,3,2,0,0,0,0
2022-03-05 10:00:00,0,2,4,6,11,9,10,12,15,17,20,14,14,11,10,12,10,8,0,5,6,4,3,4,3,6,7,6,9,11,12,7,10,8,2,9,0,6,3,3,2,1,0,5,8,6,6,11,11,12,11,12,8,8,10,12,15,18,21,14,19,13,18,13,22,20,20,25,24,20,13,14,10,5,3,0,1,0,0
2022-03-05 11:00:00,0,2,1,0,6,9,10,12,14,14,19,19,20,18,13,13,16,15,12,9,9,10,7,9,7,7,12,16,17,17,15,14,9,7,8,0,4,4,4,4,3,3,4,0,0,4,7,5,8,9,9,7,7,7,9,11,15,17,18,16,20,23,25,27,31,28,27,21,13,20,16,15,11,9,5,2,0,0,0
2022-03-05 12:00:00,0,0,1,2,7,10,12,15,17,17,20,19,14,14,20,20,21,21,18,16,15,12,11,9,5,9,9,12,15,14,8,7,6,5,5,7,8,4,5,5,4,5,4,4,5,0,7,6,7,7,9,11,10,12,14,13,15,15,16,17,17,16,20,21,22,26,31,32,31,30,29,26,16,11,4,3,1,0,0
2022-03-05 13:00:00,0,4,7,2,3,7,10,12,16,17,17,9,16,16,20,17,11,14,12,11,11,9,12,6,13,12,10,10,12,13,14,14,10,7,4,3,2,0,3,2,3,3,2,3,4,5,0,2,3,4,5,7,11,12,10,9,14,15,13,18,20,24,27,27,28,30,28,25,24,22,16,13,13,6,5,3,2,0,0
2022-03-05 14:00:00,0,3,5,6,9,10,10,13,14,14,16,16,14,15,13,11,12,11,11,10,13,11,11,10,10,11,9,10,14,11,11,14,8,0,6,3,0,0,2,3,3,8,3,0,5,0,7,5,7,6,9,6,8,10,11,10,15,14,13,14,10,12,10,13,15,24,25,23,24,25,15,12,6,7,4,3,1,0,0
2022-03-05 15:00:00,0,0,3,1,11,0,12,13,15,16,21,21,25,25,26,24,21,24,22,17,16,15,14,13,12,9,9,9,10,10,10,8,5,4,4,0,0,5,4,2,3,3,5,0,7,0,7,13,15,9,15,14,9,9,6,6,11,12,7,11,5,6,9,12,18,21,22,19,17,18,11,10,8,7,7,6,3,0,0
2022-03-05 16:00:00,0,1,1,4,8,11,12,15,16,16,20,20,19,19,20,18,16,25,20,17,21,14,13,13,9,9,7,9,10,10,8,4,2,4,1,2,0,0,4,3,2,5,3,0,0,0,7,0,7,7,7,7,7,6,7,7,11,13,12,12,15,18,18,21,23,25,24,22,18,20,19,17,15,5,5,1,2,0,0
2022-03-05 17:00:00,0,2,2,4,5,7,12,15,15,18,19,18,16,16,19,19,18,21,21,20,17,15,13,10,11,9,5,9,13,0,10,9,8,7,5,3,2,0,0,0,0,2,2,0,5,4,7,7,6,8,9,12,18,14,13,10,11,13,13,15,15,14,17,21,23,22,21,18,19,17,22,21,17,15,7,6,4,0,0
2022-03-05 18:00:00,0,0,2,0,4,3,7,6,10,11,13,12,13,13,17,18,15,14,16,14,12,7,8,11,10,8,8,6,9,9,7,6,5,4,3,3,2,0,5,5,4,5,5,0,8,5,12,13,15,14,16,9,7,6,8,8,9,9,10,11,10,11,11,10,12,14,11,15,20,16,14,10,7,5,3,0,0,0,0
2022-03-05 19:00:00,0,0,2,0,3,3,4,5,7,7,11,10,11,14,13,14,11,13,11,10,13,13,11,5,12,5,4,10,10,7,5,2,1,0,0,0,0,1,1,0,0,2,3,0,2,2,3,2,5,0,5,7,5,5,8,5,5,7,5,4,10,9,10,13,11,11,9,13,15,14,16,13,11,10,7,3,4,0,0
