Unnamed: 0,1_신풍역,2_래미안에스티움,3_래미안에스티움북문,4_신길보라매sk뷰.바다마을아파트,5_해군회관,6_신길바다마을아파트.보라매sk뷰,7_래미안에스티움북문,8_영진시장,9_래미안에스티움,10_신풍역,11_신길5동주민센터,12_대영중학교.신길센트럴아이파크,13_대영고등학교.신길센트럴아이파크,14_신길3동주민센터,15_도림동자치회관,16_신길동홍어거리,17_대신시장,18_신길역,19_전경련회관,20_여의도환승센터,21_유진투자증권.파이낸셜뉴스신문,22_한국거래소,23_여의도지하차도입구,24_여의도공원,25_신길역,26_신길역1호선,27_대윤병원,28_대신시장,29_영등포농협.신길2동새마을금고,30_영등포역후문,31_꼬추말,32_영등포동.영등포푸르지오아파트,33_신길3동주민센터,34_코끼리유통,35_SG메디피움,36_대영초중고,37_신길5동주민센터,38_신풍역(종점가상)
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6,5,8,6,5,4,1,2,2,1,2,0,3,1,0,2,0,1,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,12,9,8,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-05 07:00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,5,10,4,3,0,1,1,0,1,0,3,0,1,0,2,0,3,1,0,2,3,1,0
2022-03-05 08:00:00,1,0,0,0,0,0,0,0,0,1,3,2,2,4,3,5,9,7,6,4,3,2,2,1,0,3,0,1,0,2,3,5,4,3,0,5,2,0
2022-03-05 09:00:00,0,0,0,0,0,0,0,0,1,1,0,1,0,3,3,5,10,8,4,4,2,1,1,1,0,2,2,5,2,2,2,1,1,0,1,2,3,0
2022-03-05 10:00:00,1,0,0,0,0,1,1,4,4,3,1,4,5,5,7,3,8,7,4,4,0,1,2,2,3,0,1,1,2,3,1,5,4,0,2,0,0,0
2022-03-05 11:00:00,0,0,0,0,2,0,0,1,2,1,3,0,4,5,6,7,9,5,2,4,3,4,1,2,3,5,6,5,5,2,2,1,4,3,2,1,1,0
2022-03-05 12:00:00,1,1,0,0,0,0,0,2,2,1,1,2,1,3,5,1,8,6,3,2,0,0,2,2,3,3,3,3,2,6,4,5,5,3,4,3,2,0
2022-03-05 13:00:00,0,0,0,0,2,2,0,5,3,4,2,3,4,5,4,7,7,6,4,2,2,2,4,3,0,0,1,1,1,3,1,1,2,1,0,0,0,0
2022-03-05 14:00:00,0,0,0,0,0,1,1,0,1,2,1,3,3,3,4,5,9,9,7,5,3,3,3,4,4,4,3,4,2,6,9,8,7,0,3,2,0,0
2022-03-05 15:00:00,1,0,0,0,0,0,0,2,0,3,0,0,3,4,1,6,9,5,8,3,4,3,5,7,8,7,6,5,4,9,8,5,3,4,3,3,2,0
2022-03-05 16:00:00,0,1,0,0,1,0,0,0,3,1,3,2,3,4,8,2,6,4,3,1,1,4,5,0,5,6,7,8,7,12,12,9,6,5,7,6,4,0
2022-03-05 17:00:00,0,0,0,0,0,0,0,1,0,3,0,0,1,3,5,4,5,1,0,0,0,7,8,9,12,13,17,11,4,19,18,12,7,3,0,1,0,0
2022-03-05 18:00:00,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,4,2,2,4,4,6,5,0,6,5,6,10,8,8,7,5,1,2,1,1,0,0
2022-03-05 19:00:00,0,0,0,0,0,0,0,1,1,2,1,0,0,1,2,1,4,1,0,3,2,4,5,6,4,3,4,2,4,10,12,8,4,5,1,2,1,0
2022-03-05 20:00:00,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,3,4,3,0,5,6,7,8,6,5,6,4,3,14,3,12,7,3,2,0,0,0
2022-03-05 21:00:00,0,0,0,0,0,0,0,1,2,3,0,1,2,3,0,4,3,0,2,2,3,5,4,2,7,3,6,3,2,5,4,6,4,1,2,0,0,0
2022-03-05 22:00:00,0,0,0,0,0,0,0,1,0,2,0,0,0,1,4,1,1,1,0,2,1,2,3,4,4,6,8,6,3,4,5,2,2,2,0,0,0,0
2022-03-05 23:00:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,1,2,1,6,4,5,3,1,3,2,4,0,3,2,0,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,2,4,1,0,0,0,0,1,1,3,4,0,0,2,0,0,0,0,0,0,1,0,0
