Unnamed: 0,1_김포교통(기점가상),2_방화도시7단지.국립국어원,3_방화역,4_한서고등학교.보람아파트,5_방화동동부센트레빌아파트,6_방화동도시개발2단지아파트,7_서남환경공원.마곡청구아파트,8_서남물재생센터,9_마곡실내배드민턴장,10_서울식물원.식물문화센터,11_서울식물원.숲문화학교,12_LG사이언스파크,13_발산역,14_등촌3동천주교회,15_등촌3동주공10단지아파트,16_서울서진학교,17_서울서진학교.우체국앞.허준박물관,18_가양도시개발4단지아파트,19_가양도시개발5단지아파트,20_가양초등학교,21_가양3동도시개발9단지아파트,22_블루나인비지니스센터.이마트,23_태영.삼성한사랑아파트,24_태영송화아파트,25_염창동관음삼성아파트,26_염창동새마을금고,27_염창동아3차아파트,28_안양천입구,29_양평동한솔아파트,30_양평한신아파트.선유도공원입구,31_양화대교전망카페,32_합정역(가상),33_합정역,34_서교동,35_홍대입구역(가상),36_홍대입구역,37_동교동삼거리,38_신촌오거리.현대백화점,39_신촌오거리.2호선신촌역,40_이화여대입구,41_이화여대입구,42_대흥교회,43_서강대학교후문,44_마포자이2차아파트.대흥역,45_광성중고등학교,46_서강대학교,47_신촌로터리,48_신촌오거리.현대백화점,49_동교동삼거리,50_홍대입구역(가상),51_홍대입구역,52_서교동,53_합정역(가상),54_합정역,55_양화대교전망카페,56_양평한신아파트.선유도공원입구,57_영등포아리수정수센터,58_염창동아3차아파트.나이아가라호텔,59_염창동새마을금고,60_염창동한마음.관음삼성아파트,61_금호.한솔아파트,62_블루나인비지니스센터.이마트,63_가양도시개발9단지.세현고등학교,64_가양3동주민센터,65_가양3동도시개발6단지아파트,66_가양2동강변아파트,67_대림경동아파트,68_탑산초등학교허준박물관,69_강서한강자이아파트,70_등촌3동대림아파트,71_등촌3동천주교회,72_등촌주공5단지아파트,73_발산역4번출구,74_발산역9번출구,75_LG사이언스파크,76_서울식물원.숲문화학교,77_겸재정선미술관.서울식물원,78_마곡실내배드민턴장,79_서남물재생센터,80_서남환경공원.마곡청구아파트,81_방화동도시개발2단지아파트,82_방화동동부센트레빌아파트,83_한서고등학교.보람아파트,84_방화역,85_방화3동주민센터.국립국어원,86_김포교통(종점가상)
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,0,1,2,3,0,0,0,0,0,1,0,1,1,0,2,0,3,2,0,0,0,3,2,0,2,0,3,0,2,5,1,0,8,7,6,5,6,1,2,1,2,1,1,1,0,0,0,0,0,0,3,0,0,2,0,3,0,2,0,0,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,0,1,0,0,2,4,0,0,3,0,3,2,2,0,1,4,1,1,2,2,2,4,6,5,6,5,5,6,4,0,5,4,4,0,2,1,0,0,0,1,0,0,1,0,1,0,3,4,0,2,1,0,2,0,0,2,1,2,5,0,0,1,3,5,4,8,0,7,5,5,6,4,4,3,0,0,0,0,0,1,0,0,0,0,0
2022-03-05 08:00:00,0,1,3,2,3,3,4,0,5,0,2,3,4,2,0,0,1,4,4,5,5,7,6,9,12,11,13,7,8,9,0,11,6,5,3,5,4,3,2,2,3,2,2,1,2,2,0,0,1,0,1,2,0,4,1,0,3,2,1,2,3,4,3,6,8,0,4,0,6,6,5,5,3,5,4,3,4,1,4,3,3,1,0,0,0,0
2022-03-05 09:00:00,0,1,3,3,4,6,7,0,3,2,4,0,3,3,3,0,4,6,7,6,6,7,13,12,16,18,19,18,13,20,0,11,16,15,14,13,5,4,3,6,6,4,2,3,4,0,1,7,4,3,2,1,0,4,0,0,4,5,6,6,7,5,8,7,8,10,11,9,12,8,10,8,5,5,4,0,2,0,3,2,1,1,0,1,0,0
2022-03-05 10:00:00,0,0,0,0,0,2,4,3,0,0,1,2,3,5,3,4,6,8,10,10,5,11,12,13,15,17,18,19,18,18,17,10,13,8,1,6,7,3,3,3,4,3,2,2,4,5,4,5,3,0,4,3,2,2,0,0,3,1,3,2,4,0,5,7,4,8,9,0,5,8,4,6,3,4,0,0,1,0,0,0,1,0,0,0,0,0
2022-03-05 11:00:00,0,1,1,1,4,4,4,0,0,3,4,2,5,7,2,6,3,7,9,7,8,8,11,13,16,18,19,22,15,24,23,21,12,11,9,9,5,4,2,3,2,4,3,4,5,8,7,10,12,11,6,5,4,10,0,7,9,0,8,9,6,8,6,7,9,10,4,7,9,4,7,7,5,4,0,0,5,5,4,4,2,1,4,2,0,0
2022-03-05 12:00:00,0,1,2,1,3,4,5,0,0,7,3,4,6,9,10,8,11,12,8,7,9,12,14,16,17,24,26,27,28,30,14,26,15,15,12,8,5,4,5,4,5,6,5,3,3,4,0,7,9,8,9,9,0,9,8,7,11,9,7,8,7,7,6,7,10,6,9,10,6,7,11,6,5,6,5,4,4,0,0,2,4,0,1,0,0,0
2022-03-05 13:00:00,0,3,4,3,7,6,10,5,4,12,0,10,6,7,9,7,10,0,9,14,18,16,18,22,25,29,23,24,25,25,0,23,20,19,16,9,6,4,0,4,2,5,6,4,8,7,4,10,13,11,9,9,7,8,6,5,9,8,9,9,10,11,9,11,9,12,9,11,10,8,5,9,6,10,0,6,3,5,0,2,3,1,2,1,0,0
