Unnamed: 0,1_자동차매매단지,2_송내역A,3_송내역,4_법원.검찰청.복사골문화센타.반달마을,5_꿈동산.사랑마을,6_상도중학교,7_상지초등학교,8_상동시장,9_복사골마을,10_그린타운상가.무지개마을,11_중앙공원.미리내마을,12_부천시청,13_신중동역3번출구.롯데백화점.홈플러스중동지점,14_신중동역6번출구.중흥중학교,15_부천세무서,16_손가면옥,17_농협신흥지점,18_약대오거리.동부하이텍,19_KEB하나은행도당동지점,20_도당사거리,21_내촌사거리,22_부천우편집중국.부천실업고,23_오정동경인OBS방송국,24_오정구청입구.덕산고등학교,25_원종IC(경유),26_고강지하차도입구(경유),27_양원초교.광영여고,28_신월5동주민센터.신월중학교,29_신화중학교,30_강서구청소년상담복지센터,31_화곡역,32_화곡본동시장,33_한국폴리텍1.서울강서대학교,34_우장초등학교,35_강서구청.한국건강관리협회,36_경복비즈니스고등학교,37_가양역.마포중고등학교,38_월드컵파크7단지,39_상암고등학교,40_월드컵파크5단지,41_상암DMC홍보관.YTN,42_상암초등학교,43_상암휴먼시아아파트,44_월드컵경기장북측,45_성산아파트,46_성산119안전센터,47_성산2동주민센터,48_중동초등학교,49_성산2교,50_연희104고지앞.구성산회관,51_서대문우체국,52_연세대앞,53_세브란스병원앞,54_이대후문,55_이대부고,56_이대부중,57_세브란스병원앞,58_연세대앞,59_서대문우체국,60_연희104고지앞.구성산회관,61_성산2교,62_중동초등학교,63_성산2동주민센터,64_성산119안전센터,65_성산아파트,66_월드컵경기장북측,67_상암휴먼시아아파트,68_상암초등학교,69_상암DMC홍보관.YTN,70_누리꿈스퀘어.MBC,71_월드컵파크5단지.상암중고등학교입구,72_월드컵파크7단지,73_가양역.마포중고등학교,74_경복비즈니스고등학교,75_강서구청.한국건강관리협회,76_우장초등학교,77_한국폴리텍1.서울강서대학교,78_화곡본동시장,79_화곡역,80_화곡푸르지오,81_신화중학교,82_신월5동주민센터.신월중학교,83_광영고.신동아파밀리에아파트,84_고강지하차도입구(경유),85_원종IC(경유),86_오정구청입구.덕산고등학교,87_오정동경인OBS방송국,88_부천우편집중국.부천실업고,89_내촌사거리,90_도당사거리,91_KEB하나은행도당동지점,92_약대초등학교입구,93_손가면옥,94_부천세무서,95_신중동역5번출구.중흥중학교,96_신중동역4번출구.롯데백화점.홈플러스중동지점,97_부천시청,98_중앙공원.미리내마을,99_그린타운상가.무지개마을,100_복사골마을,101_팰리스카운티.장말문예사거리,102_상동시장,103_상지초등학교,104_상도중학교,105_꿈동산.사랑마을,106_반달마을.법원.검찰청,107_송내역.반달공영주차장,108_자동차매매단지
2022-03-05 04:00:00,0,0,0,0,0,0,1,2,3,0,0,5,0,6,9,10,0,11,0,0,12,16,16,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,1,1,0,2,3,5,6,7,6,5,5,0,6,4,4,3,3,0,5,9,11,12,12,12,16,15,12,12,8,12,14,15,15,12,11,7,6,4,3,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,2,2,0,0,3,1,4,4,0,3,4,8,9,0,7,4,0,0,7,6,6,0,0,5,5,8,9,12,10,9,8,13,12,12,17,6,5,4,3,2,0,0,0,6,5,6,0,3,2,1,0,0,1,0,1,0,0,2,0,0,0,0,4,5,0,1,6,0,0,7,8,3,8,0,0,8,9,10,0,8,10,10,10,9,8,8,5,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,1,2,0,3,2,0,0,6,7,8,10,12,11,23,13,13,22,21,12,12,13,12,15,0,0,14,9,15,16,13,10,11,13,16,14,12,13,12,11,10,9,3,0,0,5,4,1,0,4,0,4,3,1,0,0,0,1,2,1,3,3,0,4,0,0,5,6,5,6,3,0,5,4,0,4,4,4,5,6,9,6,7,7,7,7,6,6,8,7,4,1,3,0,5,3,3,2,0,0,2,0,0,0,0,0,0,0,0
2022-03-05 08:00:00,1,4,0,4,4,0,6,11,15,10,14,13,13,14,13,12,11,10,9,9,12,14,14,16,16,16,12,20,22,22,18,20,19,20,22,20,22,17,14,7,8,5,7,5,6,7,8,0,3,6,5,4,2,1,2,1,0,3,6,5,6,1,2,5,0,3,4,4,5,2,6,9,8,6,6,9,9,9,9,7,8,10,11,11,11,10,10,13,12,0,12,12,12,8,5,4,3,5,3,6,6,5,0,0,5,0,0,0
2022-03-05 09:00:00,0,3,0,3,2,4,5,6,10,12,5,11,12,14,11,12,4,3,13,10,11,14,19,12,12,12,11,20,19,20,17,17,19,19,18,15,18,12,12,10,6,5,6,5,4,4,4,4,0,4,2,0,0,0,1,1,2,3,6,0,0,0,4,5,3,5,0,2,7,0,5,10,9,7,11,12,10,8,8,8,7,9,10,10,10,2,11,14,12,13,14,10,12,10,8,4,0,7,4,6,8,8,4,0,9,6,3,0
2022-03-05 10:00:00,0,5,0,6,7,3,0,9,12,12,5,8,7,8,0,9,5,11,12,9,13,13,17,21,21,21,20,11,10,17,10,0,12,15,15,13,7,6,6,4,5,6,0,0,5,4,3,2,0,3,0,1,0,0,1,0,2,3,5,6,4,3,7,6,7,4,3,0,6,5,4,6,8,8,5,11,9,6,5,0,3,6,0,0,0,7,9,7,0,3,0,6,3,2,5,3,5,0,2,3,0,0,0,5,5,3,1,0
2022-03-05 11:00:00,1,6,0,0,3,0,7,4,5,6,0,5,7,6,0,9,3,10,7,5,13,11,15,8,8,8,16,18,13,14,11,17,18,19,20,17,16,12,0,9,8,6,4,3,2,2,5,0,1,1,0,0,0,0,1,2,3,5,1,6,4,5,4,6,6,6,0,5,5,6,5,10,14,18,16,9,6,8,7,6,2,6,7,7,7,6,6,7,8,7,6,7,5,4,4,2,2,0,4,5,4,1,0,0,2,3,0,0
2022-03-05 12:00:00,1,4,7,0,0,8,7,7,6,5,7,5,6,11,12,9,12,14,0,13,17,21,23,14,14,14,11,21,14,19,16,22,21,26,28,23,15,15,12,10,9,5,4,4,0,5,5,0,4,4,3,1,1,0,0,2,4,6,0,9,9,6,7,5,6,5,7,8,4,0,9,12,8,7,8,12,6,10,9,6,8,8,8,8,8,9,11,12,13,6,5,12,10,9,8,7,7,7,6,6,4,0,0,5,3,2,1,0
2022-03-05 13:00:00,0,3,7,4,4,5,0,0,5,6,6,7,9,9,8,9,10,10,10,9,11,10,10,11,11,11,13,17,18,18,14,14,16,18,13,11,15,13,12,9,6,0,0,6,7,5,5,0,3,4,3,1,0,0,0,0,0,1,1,7,8,7,9,13,16,12,14,10,11,9,10,13,13,12,11,9,10,11,13,11,8,9,11,11,11,9,12,14,13,0,9,12,11,10,8,8,8,5,6,7,10,12,0,6,11,4,8,0
2022-03-05 14:00:00,1,3,5,9,5,0,12,13,14,15,16,14,12,13,12,14,0,16,0,12,12,15,20,20,20,20,18,20,13,16,17,19,17,16,17,20,18,9,16,14,8,7,6,5,6,3,7,8,6,1,1,2,1,1,2,0,2,0,2,4,0,3,7,8,0,3,14,14,14,16,14,14,14,15,15,18,16,15,16,14,10,11,12,12,12,11,9,8,11,12,0,10,0,8,7,6,7,5,5,5,4,5,0,0,6,5,2,0
