Unnamed: 0,1_진관공영차고지,2_동산동능모퉁이.한국지역난방공사,3_지축교앞,4_진관중고교약수사입구,5_진관초교입구,6_푸르지오625동앞.관음사입구,7_삼천리골입구56사단북한산부대,8_입곡삼거리,9_하나고.삼천사.진관사입구,10_제각말5단지.은평뉴타운도서관,11_신도중학교,12_폭포동.은평노인종합복지관,13_은평경찰서,14_연신초등학교,15_불광지구대,16_새장골유래비,17_연서시장,18_연신내역,19_동명여고.천주교불광동성당,20_불광역3.6호선,21_불광역3호선.서울혁신파크,22_한전성서지사.북한산푸르지오,23_녹번역,24_산골고개,25_홍제역(중).서대문세무서,26_홍제삼거리.인왕산한신휴플러스,27_무악재역,28_안산초등학교,29_독립문역.한성과학고,30_영천시장,31_서대문역,32_경찰청.동북아역사재단,33_서울역버스환승센터,34_숭례문,35_남대문시장앞.이회영활동터,36_롯데영프라자,37_우리은행종로지점,38_종로2가.삼일교,39_을지로2가.기업은행본점.서울노동청,40_롯데백화점,41_북창동.남대문시장,42_숭례문(가상),43_숭례문,44_서울역버스환승센터,45_경찰청.동북아역사재단,46_영천시장,47_독립문역.한성과학고,48_무악재역,49_인왕산.홍제원아파트,50_홍제역(중).서대문세무서,51_산골고개,52_녹번역,53_한전성서지사.북한산푸르지오,54_불광역3호선.서울혁신파크,55_불광역3.6호선,56_동명여고.천주교불광동성당,57_연신내역,58_연서시장,59_종로약국,60_불광지구대,61_북한산대창센시티아파트,62_은평경찰서,63_폭포동,64_은평노인종합복지관.신도중학교,65_기자촌11단지앞,66_제각말5단지.은평뉴타운도서관,67_하나고.삼천사.진관사입구,68_삼천리골입구56사단북한산부대,69_푸르지오618동앞.관음사입구,70_진관초교관음사입구,71_진관중고교약수사입구,72_지축교앞,73_진관공영차고지
2022-03-05 04:00:00,0,0,0,0,1,0,0,0,2,3,0,0,0,3,4,6,8,3,9,10,12,7,13,0,14,0,15,0,14,13,12,11,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,0,1,0,0,0,0,2,0,1,3,4,2,3,5,6,10,12,11,8,9,12,14,15,10,12,10,9,7,2,1,0,0,0,0,1,3,0,0,6,7,2,6,7,6,0,7,3,9,7,6,10,9,7,9,8,7,7,0,7,6,4,3,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,0,0,1,0,0,0,0,4,4,5,4,7,8,8,6,7,3,4,9,11,10,11,11,12,13,5,10,13,11,12,4,2,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,3,7,2,6,5,0,2,3,5,3,1,0,6,0,2,3,1,1,0,0,0,0,0,0
2022-03-05 07:00:00,1,0,0,1,0,2,0,0,1,3,1,4,5,10,13,10,6,7,9,8,7,10,3,10,9,11,13,0,12,10,9,10,5,4,2,1,0,0,0,0,1,0,0,6,7,6,0,0,4,5,5,9,4,0,0,5,3,9,11,4,2,0,0,1,3,1,1,0,0,0,0,0,0
2022-03-05 08:00:00,0,2,2,1,0,2,3,0,4,15,16,17,16,11,17,15,11,10,14,14,14,19,21,17,22,18,21,23,22,19,12,16,7,7,2,0,0,0,0,1,2,0,3,7,6,3,7,3,0,7,3,8,7,6,8,7,8,11,6,11,10,7,8,7,2,6,3,2,1,1,0,0,0
2022-03-05 09:00:00,2,0,1,0,0,5,8,0,7,13,15,15,18,20,22,22,15,15,17,23,21,25,23,21,21,23,23,24,23,27,28,23,14,9,2,1,0,1,3,1,3,0,4,15,16,11,4,10,6,13,16,18,7,14,14,15,16,23,20,21,20,21,0,18,17,16,7,1,0,2,0,0,0
2022-03-05 10:00:00,0,0,0,1,0,5,4,1,7,8,9,11,9,12,12,14,14,13,13,17,17,18,19,18,23,25,26,27,27,27,28,29,12,10,7,2,0,0,2,3,4,0,3,7,8,7,7,6,6,8,9,11,10,12,9,8,9,16,14,13,12,11,9,7,3,5,2,1,0,0,0,0,0
2022-03-05 11:00:00,2,0,1,0,0,4,7,7,12,15,20,22,28,31,34,29,20,17,13,14,13,15,16,19,23,26,28,0,29,32,31,25,18,12,5,4,3,2,2,1,5,0,1,14,13,14,8,7,4,8,7,7,6,8,7,9,13,15,15,11,11,9,5,8,7,4,2,0,0,0,0,0,0
2022-03-05 12:00:00,0,4,1,0,0,4,5,0,8,11,10,13,15,16,21,18,16,20,22,24,28,27,27,25,21,23,25,24,33,32,25,23,11,9,5,4,3,0,3,5,13,0,0,15,15,14,15,17,17,21,24,24,23,21,23,24,28,38,40,36,31,30,14,15,13,9,6,3,1,1,0,0,0
2022-03-05 13:00:00,1,0,0,0,0,3,0,0,6,12,14,15,0,10,11,13,9,16,17,14,13,15,13,18,19,22,19,0,23,21,20,18,14,11,6,4,2,3,4,2,8,1,13,22,20,18,15,16,12,15,16,9,15,16,14,11,10,17,15,12,10,11,5,9,7,6,2,2,1,0,0,0,0
