Unnamed: 0,1_은평공영차고지,2_덕은교.은평차고지앞,3_DMC첨단산업센터,4_월드컵파크7단지,5_서부면허시험장,6_월드컵파크3단지.난지천공원,7_월드컵공원입구.문화비축기지,8_마포농수산물시장.월드컵공원,9_마포구청,10_청기와빌라,11_망원2동주민센터,12_미원아파트입구,13_동교초등학교,14_망원1동주민센터,15_서서울농협,16_망원정입구,17_성산초등학교,18_성산초등학교입구,19_마포한강푸르지오,20_합정역,21_서울화력발전소입구,22_상수역,23_극동방송,24_홍익대학교,25_삼진제약,26_산울림소극장,27_신촌오거리.현대백화점,28_신촌오거리.2호선신촌역,29_이대역,30_웨딩타운,31_아현역,32_종근당.충정로역,33_한국경제신문사.서소문역사공원,34_서울역버스환승센터,35_남대문시장.회현역,36_명동입구,37_충무로역.매일경제,38_초동,39_을지로4가.베스트웨스턴국도,40_중구청앞.덕수중학교,41_충무로역8번출구.대한극장앞,42_퇴계로3가.한옥마을.한국의집,43_퇴계로2가.명동역,44_남대문시장.회현역,45_숭례문,46_시청앞,47_삼성본관앞,48_염천교,49_한국경제신문사.서소문역사공원,50_충정로역2호선,51_아현역,52_웨딩타운,53_이대역,54_신촌오거리.2호선신촌역,55_신촌오거리.현대백화점,56_산울림소극장,57_삼진제약,58_홍익대학교,59_극동방송,60_상수역,61_서울화력발전소입구,62_합정역,63_홀트아동복지회,64_새서울의원,65_서서울농협,66_망원1동주민센터,67_동교초등학교,68_미원아파트입구,69_망원2동주민센터,70_청기와빌라,71_마포구청.성산자동차검사소,72_월드컵경기장남측.월드컵공원,73_월드컵공원입구.문화비축기지,74_월드컵파크3단지후문,75_월드컵파크3단지.난지천공원,76_서부면허시험장,77_월드컵파크7단지,78_DMC첨단산업센터,79_덕은교.은평차고지앞,80_은평공영차고지(가상)
2022-03-05 04:00:00,1,3,0,3,1,0,0,0,1,5,7,0,9,14,15,17,0,16,14,13,14,15,17,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,1,1,2,0,0,1,6,7,6,7,7,8,10,8,4,9,9,6,5,7,3,0,0,8,6,0,5,4,5,4,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,1,2,2,0,0,1,0,2,3,4,3,5,7,8,0,7,5,4,0,0,1,0,0,4,4,3,4,5,5,3,3,3,4,3,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,4,5,6,2,2,2,1,3,2,1,2,2,0,1,4,3,5,0,0,1,3,0,2,1,0,0
2022-03-05 07:00:00,1,2,2,4,0,3,0,2,2,3,5,6,8,10,12,13,0,10,7,5,4,3,3,5,3,4,4,4,5,6,8,6,6,6,3,2,1,0,0,1,0,0,1,1,2,1,1,1,2,0,2,0,3,2,2,0,1,0,5,3,4,2,4,2,3,4,3,0,0,0,3,1,2,0,0,1,2,1,0,0
2022-03-05 08:00:00,1,3,3,4,6,6,3,5,7,5,6,6,5,10,10,11,12,10,10,9,8,8,8,9,8,6,5,9,9,9,11,13,12,6,3,1,0,0,0,0,1,0,1,1,2,1,3,2,5,6,6,5,2,3,1,3,2,0,0,2,1,2,8,7,5,6,6,5,4,5,3,4,0,0,3,2,1,0,0,0
2022-03-05 09:00:00,1,2,3,3,4,4,4,6,6,6,6,6,7,10,10,14,12,15,10,11,11,7,10,7,9,8,9,8,9,11,15,17,13,10,3,2,0,0,0,0,0,0,2,1,0,4,3,4,0,3,3,3,4,6,7,8,9,0,7,10,6,3,8,7,9,10,7,6,6,8,6,7,6,0,5,5,6,3,0,0
2022-03-05 10:00:00,0,1,2,4,5,3,1,4,8,11,11,11,13,17,20,17,16,15,14,13,11,14,14,15,17,16,15,17,16,17,18,18,17,11,4,2,1,1,0,1,0,0,3,3,0,2,6,7,8,5,9,6,9,6,13,10,14,12,10,9,8,8,12,10,9,7,5,4,6,4,6,4,3,0,2,0,3,2,0,0
2022-03-05 11:00:00,1,3,3,2,3,5,2,1,7,6,9,10,15,19,22,24,25,22,20,13,13,14,17,18,21,20,18,18,20,21,24,26,25,15,7,5,4,1,2,3,1,0,3,9,0,10,14,14,7,12,12,8,12,18,16,17,15,16,13,15,9,11,20,21,17,15,10,9,5,11,6,4,3,0,2,3,2,0,0,0
2022-03-05 12:00:00,4,5,8,9,11,11,4,11,10,12,12,11,11,15,28,30,31,32,22,24,24,22,29,30,27,26,21,24,21,23,21,19,21,16,6,2,1,1,1,1,1,2,7,8,5,10,15,18,13,18,18,17,18,19,17,20,21,21,22,17,19,23,30,25,23,15,12,10,9,11,9,6,0,0,1,5,4,3,1,0
2022-03-05 13:00:00,4,3,7,8,4,5,4,11,15,9,12,13,15,26,31,32,33,29,23,19,20,25,25,24,23,18,22,24,22,23,24,25,23,15,12,7,5,4,5,4,9,12,7,18,0,17,25,24,14,21,27,26,24,18,22,23,24,18,17,20,24,28,46,39,29,22,4,5,5,3,6,5,4,0,3,3,4,1,0,0
