Unnamed: 0,1_은평공영차고지,2_덕은교.은평차고지앞,3_DMC첨단산업센터,4_MBC,5_SBS.YTN,6_공항철도디지털미디어시티역,7_디지털미디어시티역,8_청구아파트.참누리아파트,9_중동현대아파트,10_가좌행복주택.건영월드컵아파트,11_가좌역,12_월드컵아이파크,13_성산2교,14_성미약수터,15_경성중고.홍대부속여중고입구,16_성서초등학교,17_망원시장.망원동월드컵시장입구,18_기업은행서교동지점(최규하대통령가옥),19_성산초등학교입구,20_마포한강푸르지오,21_합정역,22_서울화력발전소입구,23_상수역,24_서강초등학교,25_광흥창역,26_신수중학교,27_한국출판콘텐츠센터,28_신석초등학교,29_용강동주민센터,30_마포대교입구,31_마포역,32_공덕역,33_아현동주민센터,34_마포경찰서,35_아현초등학교,36_아현동가구단지,37_종근당.충정로역,38_한국경제신문사.서소문역사공원,39_서울역버스환승센터,40_남대문시장.회현역,41_남대문시장.회현역,42_한국경제신문사.서소문역사공원,43_충정로역2호선,44_아현초등학교,45_마포경찰서,46_아현동주민센터,47_공덕역,48_마포역,49_용강동입구,50_용강동주민센터,51_신석초등학교,52_래미안웰스트림아파트,53_신수중학교,54_광흥창역,55_서강초등학교,56_상수역,57_서울화력발전소입구,58_합정역,59_메세나폴리스,60_성산초등학교입구,61_기업은행서교동지점(최규하대통령가옥),62_망원시장.망원동월드컵시장입구,63_성서초등학교,64_경성중고.홍대부속여중고입구,65_성미약수터,66_성산2교,67_월드컵아이파크,68_가좌역1번출구,69_가좌행복주택.건영월드컵아파트,70_중동현대아파트,71_청구아파트.참누리아파트,72_디지털미디어시티역,73_공항철도디지털미디어시티역,74_SBS.YTN,75_MBC,76_DMC첨단산업센터,77_덕은교.은평차고지앞,78_은평공영차고지(가상)
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,1,0,0,0,2,2,3,0,2,3,5,6,1,0,5,4,5,0,0,4,0,0,7,6,8,5,5,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,3,0,2,3,1,0,2,0,0,3,0,4,0,3,0,0,3,0,1,1,0,0,1,0,2,0,3,0,0,0,0,0,0,0,2,3,5,1,0,0,0,3,0,2,1,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
2022-03-05 07:00:00,1,0,0,0,0,0,1,1,3,5,4,3,2,1,1,0,0,0,2,0,2,1,0,0,0,0,0,2,0,2,3,0,4,2,0,6,2,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,1,0,0,0,0,0
2022-03-05 08:00:00,0,0,1,0,0,0,0,2,3,0,4,5,6,6,0,7,6,0,2,3,3,4,4,0,2,1,6,2,6,5,4,5,1,4,6,0,0,5,4,0,1,0,2,3,0,0,0,6,0,5,4,3,2,2,3,1,3,0,1,0,0,4,0,5,4,3,0,2,1,0,0,1,4,2,0,0,0,0
2022-03-05 09:00:00,0,0,2,2,0,0,0,1,3,0,0,1,4,3,4,4,4,0,5,4,5,4,5,6,0,7,13,3,9,0,5,7,7,7,7,0,6,8,7,0,1,0,0,2,3,2,0,0,2,4,5,7,8,0,0,0,5,1,3,0,2,3,0,0,0,0,0,2,1,1,0,0,2,1,0,0,0,0
2022-03-05 10:00:00,0,1,0,1,0,1,2,0,5,5,4,5,6,6,8,9,6,8,3,5,4,3,2,1,0,3,6,8,0,9,12,11,13,12,13,7,13,12,6,1,4,5,6,0,7,0,0,2,0,5,4,4,5,0,0,4,3,6,2,5,4,3,0,0,0,0,0,2,0,1,0,0,2,1,1,0,0,0
2022-03-05 11:00:00,0,0,1,2,0,2,1,5,6,7,2,8,7,8,9,0,10,9,9,7,11,13,9,5,12,11,7,10,9,6,5,4,0,5,0,4,5,3,4,0,2,0,0,2,0,1,7,7,0,8,9,12,13,13,12,13,13,11,7,0,5,6,6,5,0,2,4,3,5,8,0,4,3,2,1,0,0,0
2022-03-05 12:00:00,0,1,2,7,7,4,5,6,0,6,8,0,10,11,12,11,12,13,9,13,11,12,7,8,3,9,10,10,12,14,11,9,7,8,13,0,0,11,7,0,8,0,2,3,4,6,4,4,4,3,5,0,7,8,0,7,6,6,0,0,6,3,1,2,0,1,0,0,0,0,0,0,4,3,0,0,0,0
2022-03-05 13:00:00,0,0,2,2,4,3,2,3,4,5,4,5,8,0,11,13,11,7,9,10,14,13,0,8,9,11,12,15,3,13,11,7,6,6,7,4,4,3,3,1,5,6,10,10,9,9,9,12,9,11,12,9,11,12,12,11,11,10,11,11,11,8,8,3,0,6,5,6,11,13,12,11,9,7,0,0,0,0
