Unnamed: 0,1_은평공영차고지,2_덕은교.은평차고지앞,3_DMC첨단산업센터,4_MBC,5_SBS.YTN,6_공항철도디지털미디어시티역,7_디지털미디어시티역,8_청구아파트.참누리아파트,9_중동현대아파트,10_가좌행복주택.건영월드컵아파트,11_가좌역,12_월드컵아이파크,13_성산2교,14_성미약수터,15_경성중고.홍대부속여중고입구,16_성서초등학교,17_망원시장.망원동월드컵시장입구,18_기업은행서교동지점(최규하대통령가옥),19_성산초등학교입구,20_마포한강푸르지오,21_합정역,22_서울화력발전소입구,23_상수역,24_월드메르디앙아파트,25_한강밤섬자이아파트,26_서강해모로아파트,27_신수중학교,28_한국출판콘텐츠센터,29_신석초등학교,30_용강동주민센터,31_마포대교입구,32_마포역,33_공덕역,34_아현동주민센터,35_마포경찰서,36_아현초등학교,37_아현동가구단지,38_종근당.충정로역,39_한국경제신문사.서소문역사공원,40_서울역버스환승센터,41_남대문시장.회현역,42_남대문시장.회현역,43_한국경제신문사.서소문역사공원,44_충정로역2호선,45_아현초등학교,46_마포경찰서,47_아현동주민센터,48_공덕역,49_마포역,50_용강동입구,51_용강동주민센터,52_신석초등학교,53_래미안웰스트림아파트,54_신수중학교,55_서강해모로아파트,56_한강밤섬자이아파트,57_월드메르디앙아파트,58_상수역,59_서울화력발전소입구,60_합정역,61_메세나폴리스,62_성산초등학교입구,63_기업은행서교동지점(최규하대통령가옥),64_망원시장.망원동월드컵시장입구,65_성서초등학교,66_경성중고.홍대부속여중고입구,67_성미약수터,68_성산2교,69_월드컵아이파크,70_가좌역1번출구,71_가좌행복주택.건영월드컵아파트,72_중동현대아파트,73_청구아파트.참누리아파트,74_디지털미디어시티역,75_공항철도디지털미디어시티역,76_SBS.YTN,77_MBC,78_DMC첨단산업센터,79_덕은교.은평차고지앞,80_은평공영차고지(가상)
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,3,0,2,0,0,2,1,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,1,0,0,2,0,3,2,0,1,1,2,0,0,0,0,1,0,2,0,0,0,0,0,0,2,2,0,1,0,0,0,0,3,0,1,4,2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,0,2,5,4,2,0,0,1,2,1,0,2,0,0,0,3,2,2,3,3,0,0,0,0,0,4,6,5,6,5,4,5,6,3,4,6,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,3,3,2,3,4,3,5,7,3,6,7,8,7,0,0,0,0
2022-03-05 08:00:00,0,0,0,0,1,1,0,0,2,4,2,0,5,4,0,6,8,0,6,5,6,0,5,0,2,0,3,5,7,5,3,2,6,5,8,7,8,7,3,6,1,0,0,0,0,1,1,0,2,2,4,4,5,6,5,0,4,4,3,2,1,0,2,2,1,0,0,2,2,2,2,1,0,1,2,1,0,0,0,0
2022-03-05 09:00:00,0,0,0,0,0,1,2,4,1,0,2,0,1,0,3,4,5,4,0,4,5,4,6,5,3,3,1,5,4,7,6,7,8,10,9,2,8,6,0,3,1,1,0,2,0,0,3,0,4,3,3,1,4,5,6,7,0,0,0,4,5,4,6,5,3,2,1,5,0,4,3,6,7,3,5,3,0,0,1,0
2022-03-05 10:00:00,0,0,0,4,0,3,2,0,3,4,4,3,8,10,12,13,9,5,8,7,10,8,6,0,0,0,6,10,11,10,8,6,0,4,9,10,11,12,12,10,0,1,0,1,4,5,3,1,3,7,0,9,10,6,0,6,0,7,5,4,4,0,3,2,3,2,0,4,0,3,3,2,2,3,1,2,1,0,0,0
2022-03-05 11:00:00,0,3,4,6,4,3,1,0,2,0,0,4,3,6,8,9,7,7,7,9,11,10,8,8,9,6,11,6,5,6,4,7,13,15,13,14,8,14,13,7,1,2,4,0,3,5,5,4,7,5,6,7,8,6,7,13,0,10,9,6,8,7,5,7,3,6,4,1,0,6,7,9,0,6,6,4,1,0,0,0
2022-03-05 12:00:00,0,0,2,3,2,2,5,6,7,8,8,8,10,9,0,11,9,10,8,11,9,6,8,0,6,0,7,14,11,9,10,9,9,8,13,12,12,11,11,5,0,8,8,10,9,9,1,0,3,2,4,0,8,7,5,8,10,11,0,7,7,0,5,7,4,0,5,2,0,0,1,0,0,0,4,3,0,0,0,0
2022-03-05 13:00:00,0,0,3,5,4,5,0,6,4,3,6,7,8,10,11,15,11,13,12,9,10,8,7,0,9,8,14,14,12,14,13,12,10,12,11,10,13,7,10,8,0,5,4,4,2,9,12,7,11,12,11,13,9,0,10,11,10,9,16,11,9,7,6,9,7,5,6,4,3,8,6,8,10,11,8,7,4,3,0,0
