Unnamed: 0,1_은평공영차고지,2_덕은교.은평차고지앞,3_DMC첨단산업센터,4_월드컵파크7단지,5_서부면허시험장,6_월드컵파크3단지정문,7_월드컵파크2단지.에스플렉스센터,8_상암초등학교,9_상암휴먼시아아파트,10_월드컵경기장북측,11_성산아파트,12_성산119안전센터,13_성산2동주민센터,14_중동초등학교,15_성산2교,16_성미약수터,17_경성중고.홍대부속여중고입구,18_서울도시가스마포사옥,19_서서울농협홍대역점,20_홍대입구역(가상),21_홍대입구역,22_동교동삼거리,23_신촌역,24_신촌로터리,25_서강대학교,26_광성중고등학교,27_대흥역,28_용강초등학교,29_동도중학교.서울디자인고등학교,30_공덕역.1번.출구,31_마포역,32_청암동강변삼성아파트,33_원효2동산호아파트,34_원효로풍전아파트,35_원효로3가,36_원효로2가사거리,37_남정초등학교,38_용산e편한세상,39_용산꿈나무종합타운,40_용산경찰서,41_남영역,42_숙대입구역,43_갈월동,44_서울역버스환승센터.강우규의거터,45_시청앞,46_서울신문사,47_KT광화문지사,48_경복궁역,49_통인시장종로구보건소,50_효자동,51_경기상고,52_자하문터널입구.석파정,53_하림각,54_상명대입구.세검정교회,55_상명대정문,56_상명대입구.석파랑,57_하림각,58_자하문터널입구.석파정,59_경기상고,60_신교동,61_통인시장종로구보건소,62_경복궁역,63_세종문화회관,64_시청앞.덕수궁,65_시청앞,66_서울역버스환승센터,67_갈월동,68_갈월동4호선숙대입구,69_남영역,70_용산경찰서,71_용산꿈나무종합타운.원효로우체국,72_원효로2가,73_원효로3가,74_원효로풍전아파트,75_원효2동산호아파트,76_청암동강변삼성아파트,77_강변한신코아,78_마포역,79_공덕역.2번.출구,80_동도중학교.서울디자인고등학교,81_대흥역,82_광성중고등학교,83_서강대학교,84_신촌로터리,85_신촌오거리.현대백화점,86_동교동삼거리,87_홍대입구역,88_동교로사거리,89_서울도시가스마포사옥,90_경성중고.홍대부속여중고입구,91_성미약수터,92_성산2교,93_중동초등학교,94_성산2동주민센터,95_성산119안전센터,96_성산아파트,97_월드컵경기장북측,98_디지털미디어시티역2번출구,99_상암휴먼시아아파트,100_상암초등학교,101_월드컵파크2단지.에스플렉스센터,102_월드컵파크3단지.난지천공원,103_서부면허시험장,104_월드컵파크7단지,105_DMC첨단산업센터,106_덕은교.은평차고지앞,107_은평공영차고지(가상)
2022-03-05 04:00:00,0,1,0,2,3,0,2,0,5,0,0,4,7,6,8,0,0,9,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,0,0,0,1,0,0,1,1,0,0,2,4,5,4,7,6,4,6,5,5,4,2,4,5,7,6,0,3,5,2,1,2,3,2,0,2,0,0,2,0,3,3,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,2,3,2,3,5,0,4,0,5,6,7,7,9,6,7,3,6,6,2,7,6,7,6,2,2,2,5,2,4,4,4,4,3,3,0,1,0,5,0,6,7,9,1,8,9,7,6,3,2,1,1,0,0,1,0,2,1,2,3,1,1,3,1,0,2,5,3,4,5,3,0,5,7,7,4,5,4,0,3,0,0,0,0,4,3,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,2,2,1,1,2,3,7,6,0,8,10,11,6,14,16,13,12,9,8,5,5,4,3,5,3,4,3,3,2,4,3,4,4,2,4,3,4,5,4,4,6,8,4,6,7,5,9,5,4,3,1,0,1,2,4,5,5,2,8,1,6,5,4,0,3,1,0,1,1,0,1,2,4,6,7,8,8,9,10,7,0,0,8,8,6,5,5,2,3,4,3,2,4,3,2,2,2,0,4,2,0,0,1,0,0,0
2022-03-05 08:00:00,1,3,1,0,2,0,0,1,5,0,8,8,12,14,15,17,17,18,16,15,11,9,10,9,8,8,7,5,5,5,5,5,6,7,6,5,6,7,9,10,8,7,6,5,6,6,8,12,10,8,7,6,5,8,1,2,3,4,7,16,17,9,9,8,3,7,8,8,7,5,6,5,5,4,9,12,13,16,14,4,13,6,9,8,7,7,9,8,7,5,3,3,2,5,4,0,3,3,0,0,1,0,0,1,0,0,0
2022-03-05 09:00:00,0,1,2,2,4,5,0,5,5,6,6,8,14,15,16,17,16,19,14,17,14,17,14,12,5,6,12,11,9,7,6,5,11,14,14,17,17,11,11,12,10,9,11,10,11,11,15,17,12,10,8,7,7,2,10,2,10,11,12,15,16,15,9,12,9,7,6,2,6,4,4,4,5,7,10,13,11,15,14,11,12,11,8,12,10,9,9,9,8,5,4,3,4,5,4,2,3,4,2,2,1,0,1,3,2,1,0
2022-03-05 10:00:00,0,0,2,1,2,4,5,6,8,0,8,11,15,16,19,22,22,21,22,19,12,12,11,10,11,11,9,7,5,6,6,8,9,10,10,9,11,9,10,11,12,13,14,16,16,16,16,10,9,9,7,5,7,10,15,15,16,6,6,12,17,11,10,8,9,7,5,6,9,10,10,8,7,10,11,13,14,11,14,11,12,14,12,11,10,11,13,12,10,9,8,6,4,3,2,3,2,3,0,2,1,0,0,0,0,0,0
2022-03-05 11:00:00,1,2,3,1,4,5,6,5,5,8,10,8,14,20,25,28,31,32,30,28,21,19,13,9,9,10,10,7,8,7,8,9,9,9,10,9,10,9,8,9,12,21,7,22,19,15,13,10,9,7,8,1,2,6,5,5,6,8,6,11,13,12,9,9,6,12,12,10,12,14,16,16,16,16,19,21,19,14,17,18,15,17,16,19,21,18,15,14,12,10,9,8,7,6,6,1,2,4,4,2,2,0,2,3,1,0,0
2022-03-05 12:00:00,2,2,1,1,0,2,2,6,10,9,9,10,16,18,22,23,26,25,24,21,16,14,13,12,13,12,10,8,11,9,10,7,11,10,10,11,10,9,12,11,9,13,23,26,25,26,19,11,12,10,3,7,9,3,4,4,5,9,10,15,7,13,11,14,11,6,5,4,9,8,10,6,7,9,13,17,14,16,19,20,23,23,17,11,24,22,21,12,9,10,8,9,7,6,8,7,3,6,4,3,3,0,2,3,1,0,0
2022-03-05 13:00:00,1,2,2,1,4,3,3,10,5,5,13,16,17,20,25,22,22,24,25,23,20,19,20,21,19,18,15,16,15,13,11,12,17,18,14,14,16,16,12,8,14,18,19,14,20,24,18,11,11,10,7,8,6,4,9,9,11,13,14,15,15,15,14,13,14,10,8,6,8,10,13,14,16,17,19,20,18,24,24,27,24,23,22,20,20,20,20,17,19,9,18,14,11,10,5,3,2,5,3,2,1,0,0,2,0,0,0
