Unnamed: 0,1_은평공영차고지,2_덕은교.은평차고지앞,3_수색교,4_수색119안전센터,5_수색초등학교,6_수색대림아파트,7_상신중학교앞,8_미성아파트앞,9_새마을금고앞,10_새절역.숭실고입구,11_응암오거리,12_은평문화예술정보학교,13_응암초등학교,14_명지전문대.충암중고등학교,15_명지중고등학교,16_명지대삼거리,17_명지대,18_DMC센트럴아이파크아파트,19_명지대사거리제일은행앞,20_백련시장,21_연희파크푸르지오앞,22_홍연시장,23_연희홍연아파트,24_서대문구청,25_서대문구청.서대문구의회,26_서대문자연사박물관입구,27_한성화교중고교.서대문소방서,28_연희초등학교,29_연희3거리,30_연희교차로,31_서대문우체국,32_연세대학교앞,33_세브란스병원,34_신촌기차역,35_이대역,36_웨딩타운,37_아현역,38_종근당.충정로역,39_한국경제신문사.서소문역사공원,40_서울역버스환승센터,41_숭례문,42_남대문시장앞.이회영활동터,43_롯데영프라자,44_우리은행종로지점,45_청계1가.광교,46_을지로2가.기업은행본점.서울노동청,47_롯데백화점,48_북창동.남대문시장,49_염천교,50_한국경제신문사.서소문역사공원,51_충정로역2호선,52_아현역,53_웨딩타운,54_이대역,55_신촌기차역입구,56_신촌기차역,57_이대부중,58_이대부고,59_이대부중,60_세브란스병원,61_연대앞,62_서대문우체국,63_연희교차로,64_연희3거리,65_연희초등학교,66_한성화교중고교.서대문소방서,67_서대문자연사박물관입구,68_서대문구청.보건소.구의회,69_서대문문화체육회관입구,70_홍연2교두산아파트앞,71_홍남교,72_백련시장,73_명지대사거리국민은행앞,74_명지대,75_명지대삼거리,76_명지중고등학교,77_명지전문대.충암중고등학교,78_응암초등학교,79_은평문화예술정보학교,80_응암오거리,81_새절역.숭실고입구,82_새마을금고앞,83_미성아파트앞,84_상신중학교앞,85_수색대림아파트,86_수색초등학교,87_수색역앞,88_수색교,89_덕은교.은평차고지앞,90_은평공영차고지(가상)
2022-03-05 04:00:00,0,0,1,0,0,2,3,2,0,4,5,7,4,6,5,0,6,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,2,0,0,1,0,2,3,1,2,5,0,0,1,6,4,8,7,3,5,0,6,7,0,14,16,4,15,7,8,0,10,8,7,8,6,7,6,5,3,2,1,1,0,0,1,0,2,0,1,3,0,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,1,0,0,1,3,6,2,5,8,8,7,6,4,5,3,2,3,1,2,2,4,5,0,4,5,5,0,6,6,5,3,7,4,3,6,4,5,4,2,0,1,0,0,0,1,2,1,0,1,2,3,0,4,2,5,4,2,5,4,5,6,5,4,3,3,4,0,2,2,0,0,1,0,2,4,4,3,4,0,3,2,2,1,4,3,2,0,1,0
2022-03-05 07:00:00,1,2,2,0,3,2,5,6,5,7,4,7,0,6,7,6,4,7,1,4,8,0,0,3,4,7,6,2,8,10,9,8,6,4,8,7,8,10,9,4,3,1,0,0,0,1,2,3,1,1,1,3,0,4,0,5,4,3,2,0,2,3,2,3,0,1,2,0,3,4,2,2,2,1,1,3,4,4,6,4,5,1,5,2,4,1,0,0,0,0
2022-03-05 08:00:00,0,0,2,1,0,6,12,13,11,6,10,1,10,7,8,6,7,6,7,8,4,6,7,4,10,9,12,13,14,16,18,18,16,15,14,14,16,15,14,9,8,1,0,0,0,1,0,1,0,0,3,4,2,5,6,7,6,3,4,4,6,8,7,5,4,5,3,2,4,0,0,4,4,3,5,6,7,3,9,6,9,7,5,2,4,5,1,0,0,0
2022-03-05 09:00:00,1,1,0,2,2,6,8,10,8,7,11,10,7,8,7,9,10,10,11,12,14,16,16,15,16,17,20,21,12,23,22,16,17,17,20,19,22,24,10,6,4,1,0,0,0,1,1,2,0,1,3,2,4,5,6,7,6,5,5,5,6,10,8,6,7,5,3,4,7,4,6,6,6,7,5,8,7,8,8,6,5,5,5,5,6,4,4,3,2,0
2022-03-05 10:00:00,0,0,1,0,1,3,5,6,6,6,4,7,7,8,9,9,10,11,17,10,17,19,20,19,19,18,19,19,17,19,23,21,16,16,13,13,16,19,18,17,11,4,3,0,2,1,3,5,4,4,7,9,5,11,14,15,13,12,10,11,12,12,12,11,11,10,5,6,5,6,5,6,6,6,5,5,5,7,7,7,5,5,2,6,8,1,3,0,1,0
2022-03-05 11:00:00,2,0,2,3,2,7,13,14,10,8,13,13,14,16,13,12,8,8,8,9,10,13,14,12,15,15,15,10,19,22,22,22,24,20,17,16,19,22,25,19,11,5,2,0,1,4,6,8,8,9,10,9,10,7,9,8,5,9,10,14,17,15,11,9,8,8,7,11,10,9,8,7,12,9,10,12,12,12,11,12,10,10,8,7,11,10,7,4,1,0
2022-03-05 12:00:00,5,2,2,3,2,6,12,10,8,8,8,10,10,8,10,9,9,8,10,10,9,13,10,14,18,18,21,22,27,25,25,25,26,23,22,20,19,20,19,13,8,3,2,0,0,2,3,8,9,8,7,9,8,10,11,15,13,11,13,15,24,24,23,22,20,18,15,12,14,12,10,10,13,8,16,15,11,9,11,8,8,11,10,5,5,3,3,1,1,0
2022-03-05 13:00:00,3,2,2,3,6,5,8,15,14,17,17,18,20,12,12,8,8,8,7,8,6,8,10,11,5,12,15,13,13,17,16,15,16,16,13,14,15,16,13,11,8,3,1,2,0,2,7,11,6,10,10,11,11,10,11,14,13,9,11,11,16,19,13,13,11,11,12,10,13,13,8,7,12,11,12,10,12,14,14,9,12,12,11,6,7,6,3,2,0,0
