Unnamed: 0,1_서부운수기점,2_북가좌119안전센터,3_연서중학교입구,4_와산교,5_새절역.숭실고입구,6_응암오거리,7_은평문화예술정보학교,8_응암초등학교,9_명지전문대.충암중고등학교,10_명지중고등학교,11_명지대입구.서울무용센터,12_두산아파트,13_서대문문화체육회관,14_서대문구보건소별관,15_정원여중,16_홍은현대아파트.스위스그랜드호텔,17_유진상가,18_문화촌현대아파트,19_서울여자간호대학,20_유원하나아파트,21_홍지문.옥천암,22_상명대입구.석파랑,23_하림각,24_자하문터널입구.석파정,25_경기상고,26_신교동,27_통인시장종로구보건소,28_경복궁역,29_세종문화회관,30_서린동.SK서린빌딩,31_KT광화문지사,32_경복궁역,33_통인시장종로구보건소,34_효자동,35_경기상고,36_자하문터널입구.석파정,37_하림각,38_상명대입구.세검정교회,39_홍지문,40_유원하나아파트,41_서울여자간호대학,42_문화촌현대아파트,43_유진상가,44_홍은현대아파트,45_정원여중.스위스그랜드호텔,46_서대문문화체육회관입구,47_홍연2교두산아파트앞,48_명지대입구.신원지벤스타,49_명지중고등학교,50_명지전문대.충암중고등학교,51_응암초등학교,52_은평문화예술정보학교,53_응암오거리,54_새절역.숭실고입구,55_와산교,56_북가좌119안전센터,57_서부운수기점(가상)
2022-03-05 04:00:00,0,0,0,1,1,3,0,1,0,3,0,2,5,3,4,0,2,4,7,0,6,0,0,3,2,5,3,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,2,1,0,1,2,2,3,1,3,2,4,3,2,3,3,3,2,4,7,8,5,6,6,4,0,5,4,2,1,0,4,3,1,3,2,2,0,0,0,1,3,3,2,0,3,3,0,0,5,6,8,10,9,2,0,0,0
2022-03-05 06:00:00,0,1,0,0,5,5,4,3,2,6,6,5,3,5,5,0,3,3,6,5,6,9,4,10,4,9,8,3,2,0,2,4,3,1,2,3,0,1,0,4,7,4,8,7,7,6,2,5,2,3,3,3,4,2,2,0,0
2022-03-05 07:00:00,0,0,1,0,3,6,6,7,6,6,8,7,7,7,2,8,9,9,9,10,8,8,9,6,0,6,5,5,1,2,3,4,2,4,3,4,3,2,1,1,4,1,3,0,1,3,4,0,5,1,6,8,7,2,0,0,0
2022-03-05 08:00:00,1,2,1,2,5,6,7,5,8,11,14,15,11,11,12,10,12,12,18,20,21,9,11,11,20,18,16,12,4,1,7,9,9,6,5,4,6,1,7,2,6,5,4,0,5,6,5,5,4,2,5,5,4,1,0,0,0
2022-03-05 09:00:00,0,1,1,2,6,10,11,9,8,8,9,8,8,9,7,11,11,12,17,18,18,13,16,14,13,16,11,11,2,2,3,7,5,3,4,5,6,6,7,6,6,4,5,4,9,8,8,9,7,5,0,4,5,1,1,1,0
2022-03-05 10:00:00,1,2,0,3,9,10,9,10,7,9,11,12,11,10,5,9,8,8,12,13,13,12,13,16,17,20,18,13,4,2,5,7,1,7,8,0,7,6,9,7,5,6,6,3,7,7,9,12,10,9,5,11,8,3,4,2,0
2022-03-05 11:00:00,1,1,2,0,3,5,5,6,7,9,15,16,14,16,14,12,15,16,22,21,15,23,25,22,14,21,20,17,4,1,5,7,8,9,8,7,7,6,8,8,9,11,10,11,13,12,17,16,14,12,12,10,8,1,2,0,0
2022-03-05 12:00:00,1,3,4,1,7,6,8,6,10,12,13,12,11,9,9,8,8,8,19,19,20,18,18,20,13,14,19,16,10,0,5,7,10,12,9,13,13,12,14,11,16,11,9,9,9,12,11,10,10,16,15,13,8,5,4,0,0
2022-03-05 13:00:00,2,1,2,0,8,10,9,8,9,13,17,21,17,12,11,12,14,18,25,27,28,27,19,24,24,23,19,10,8,2,6,11,10,10,11,10,12,9,11,13,15,12,12,12,13,12,11,10,8,9,8,5,5,4,1,0,0
2022-03-05 14:00:00,1,2,2,3,6,6,8,7,8,9,11,13,10,10,6,11,11,10,15,15,15,17,16,16,5,21,15,6,1,0,10,10,9,11,10,5,10,10,12,5,8,4,6,8,8,13,10,9,7,9,6,9,6,3,2,0,0
2022-03-05 15:00:00,1,2,2,2,5,6,0,7,9,7,8,14,14,13,14,13,13,15,23,26,28,26,25,26,27,23,17,9,1,0,7,9,12,11,4,10,12,11,11,10,9,12,10,12,13,13,13,9,9,6,8,5,3,2,1,0,0
2022-03-05 16:00:00,1,0,2,0,15,16,17,13,9,11,10,10,8,7,9,9,5,7,10,12,11,14,15,17,18,17,14,8,7,4,14,23,23,24,23,25,28,28,25,25,20,21,20,19,19,18,17,15,15,10,10,10,9,2,0,0,0
2022-03-05 17:00:00,2,2,0,3,12,11,16,10,10,10,11,11,10,11,11,9,8,9,11,12,0,10,10,12,13,14,12,5,1,0,14,17,18,16,15,17,18,16,19,17,13,13,12,11,12,12,11,11,10,11,10,7,5,3,3,5,0
2022-03-05 18:00:00,2,0,1,4,6,5,9,12,12,13,16,13,17,17,11,10,13,11,10,10,5,10,9,8,0,7,11,4,0,0,14,17,18,19,17,19,19,18,20,18,15,12,13,12,18,22,20,17,13,15,16,13,8,2,1,0,0
2022-03-05 19:00:00,0,1,0,0,6,6,8,9,11,11,9,8,3,7,16,14,8,7,8,3,7,9,0,7,8,9,7,6,4,2,8,13,18,18,3,13,13,17,14,9,10,8,10,8,11,9,8,6,4,3,1,2,2,1,2,0,0
2022-03-05 20:00:00,1,2,0,4,12,13,12,10,7,1,3,5,6,6,5,2,7,6,4,4,3,5,1,6,0,5,3,3,0,0,9,15,18,16,0,19,17,16,12,12,9,8,4,7,8,6,7,6,4,3,3,2,1,0,2,1,0
