Unnamed: 0,1_은평공영차고지,2_덕은교.은평차고지앞,3_DMC첨단산업센터,4_상암고등학교,5_월드컵파크5단지,6_월드컵파크4단지후문.JTBC,7_월드컵파크3단지.난지천공원,8_월드컵경기장서측.문화비축기지,9_증산종합시장.증산중학교입구,10_증산역.증산동주민센터,11_북가좌119안전센터,12_북가좌사거리,13_DMC두산위브아파트,14_연가초교.DMC래미안클라시스,15_명지대,16_명지대삼거리,17_명지중고등학교,18_명지전문대.충암중고등학교,19_응암정보도서관,20_서울중앙교회앞,21_은가어린이공원구150번종점,22_우성공인중개사,23_응암정보도서관,24_충암고교앞.대주피오레아파트,25_응암초교.백련산힐스테이트3차,26_백련산힐스테이트2차,27_시립은평병원,28_영락중학교입구,29_녹번센트레빌아파트,30_응암1동주민센터,31_은평구청,32_녹번역,33_산골고개,34_홍제역(중).서대문세무서,35_홍제삼거리.인왕산한신휴플러스,36_무악재역,37_안산초등학교,38_독립문역.한성과학고,39_영천시장,40_금화초등학교.서울시교육청,41_서대문역사거리.농협중앙회,42_서울역사박물관.김구집무실(경교장),43_광화문,44_서소문,45_경찰청.동북아역사재단,46_서대문경찰서.농협은행.유관순활동터,47_영천시장,48_독립문역.한성과학고,49_무악재역,50_인왕산.홍제원아파트,51_홍제역(중).서대문세무서,52_산골고개,53_녹번역,54_은평구청,55_응암1동주민센터,56_녹번센트레빌아파트,57_영락중학교입구,58_시립은평병원,59_백련산힐스테이트4차,60_응암초교.백련산힐스테이트3차,61_충암고교앞.대주피오레아파트,62_응암정보도서관,63_서울중앙교회앞,64_은가어린이공원구150번종점,65_우성공인중개사,66_응암정보도서관,67_명지전문대.충암중고등학교,68_명지중고등학교,69_명지대삼거리,70_명지대,71_DMC센트럴아이파크아파트,72_연가초.연희중.래미안클라시스,73_DMC두산위브아파트,74_북가좌사거리,75_북가좌119안전센터,76_증산역.증산동주민센터,77_증산종합시장.증산중학교입구,78_월드컵경기장서측.문화비축기지,79_월드컵공원입구.문화비축기지,80_월드컵파크3단지후문,81_월드컵파크3단지.난지천공원,82_월드컵파크4단지후문.JTBC,83_누리꿈스퀘어.MBC,84_월드컵파크5단지.상암중고등학교입구,85_상암DMC입구,86_DMC첨단산업센터,87_덕은교.은평차고지앞,88_은평공영차고지(가상)
2022-03-05 04:00:00,0,0,0,1,0,0,2,0,0,0,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,6,7,8,9,10,4,13,17,11,15,11,7,4,6,2,2,7,6,5,0,2,1,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,1,0,0,0,0,1,1,3,4,2,1,0,1,0,0,0,0,2,6,6,8,10,9,12,15,16,18,20,17,13,7,12,6,0,13,2,11,3,9,2,5,1,2,2,0,0,0,2,2,2,4,3,2,3,0,2,1,0,0,2,1,1,0,2,2,2,3,5,3,2,5,7,6,3,0,0,0,0,0,2,1,0,0,0,0,0
2022-03-05 07:00:00,1,0,0,2,0,3,1,0,0,3,2,3,4,2,2,0,0,0,2,3,9,10,10,12,13,13,16,18,21,23,18,9,9,8,8,8,7,7,5,0,3,0,1,2,3,4,5,0,0,2,3,4,4,4,5,2,4,3,0,0,0,2,4,5,0,3,5,0,3,5,1,3,6,9,8,5,1,2,0,1,0,1,0,0,0,0,0,0
2022-03-05 08:00:00,0,0,0,1,2,1,2,3,1,7,4,8,9,7,3,1,1,0,3,6,11,11,11,12,16,16,19,21,24,26,25,17,15,15,16,13,14,15,11,10,7,9,4,3,3,5,6,4,3,0,7,8,7,9,8,5,4,4,3,2,1,2,4,7,8,9,10,6,8,7,7,8,9,12,9,5,6,4,0,0,3,2,1,0,0,0,0,0
2022-03-05 09:00:00,0,0,1,1,0,1,0,1,1,5,4,4,2,6,4,3,1,4,0,6,16,15,16,11,18,19,24,26,24,25,26,15,17,19,22,23,23,21,19,18,12,10,9,3,3,5,6,4,4,6,6,7,10,12,11,1,10,4,8,7,5,2,4,5,8,4,8,8,7,7,9,8,12,14,16,8,7,6,6,7,3,6,3,1,0,2,0,1
2022-03-05 10:00:00,0,0,1,1,2,1,3,4,1,6,5,9,5,4,4,5,3,3,4,3,9,9,12,9,11,11,15,26,25,24,19,13,0,12,10,6,7,12,10,8,6,4,7,4,4,5,7,5,11,9,7,10,10,10,13,12,9,8,4,3,0,5,4,6,5,7,0,5,4,5,6,9,8,10,8,3,3,2,2,0,1,2,1,0,0,0,0,0
2022-03-05 11:00:00,0,2,1,3,3,3,3,4,3,5,3,6,4,7,6,4,6,5,3,7,12,2,13,12,14,16,22,24,28,25,20,14,12,14,10,16,15,11,10,7,6,8,5,4,4,7,7,5,4,2,7,5,9,10,10,9,8,9,7,1,6,5,6,3,4,3,2,6,4,5,7,5,6,8,6,5,2,4,1,0,2,1,0,0,0,0,0,0
2022-03-05 12:00:00,0,2,1,2,3,3,3,6,3,9,6,8,10,9,5,4,4,3,4,5,7,9,8,10,12,15,23,24,25,22,20,11,10,11,12,12,14,12,14,13,10,9,4,5,7,7,11,8,9,9,11,11,12,15,18,17,12,11,7,5,3,6,6,6,5,6,7,9,8,11,12,14,14,16,14,8,9,8,6,0,1,4,3,2,0,0,0,0
2022-03-05 13:00:00,0,0,1,2,3,4,0,6,7,10,11,9,8,11,13,7,6,6,4,4,12,16,17,18,22,24,30,32,34,32,27,15,14,15,14,17,0,14,13,11,8,6,3,4,8,12,13,19,17,12,15,14,15,15,14,13,10,13,11,9,10,7,8,3,4,6,7,5,9,8,9,9,11,13,10,8,4,6,3,0,0,5,4,3,0,0,0,0
2022-03-05 14:00:00,0,0,1,1,2,3,1,4,2,8,5,6,7,6,6,8,9,9,6,7,6,4,6,0,7,9,12,13,13,15,17,13,11,13,9,15,10,12,9,8,6,4,5,6,8,8,11,9,12,16,15,13,17,18,20,18,17,13,12,10,7,9,9,5,2,5,5,6,6,7,14,14,14,15,14,9,8,6,2,5,3,4,2,1,0,0,0,0
