Unnamed: 0,1_은평공영차고지,2_덕은교.은평차고지앞,3_수색교,4_수색역앞,5_디지털미디어시티역,6_증산교앞,7_증산종합시장.증산중학교입구,8_증산역.증산동주민센터,9_연서중학교입구,10_와산교,11_새절역.숭실고입구,12_응암오거리,13_은평문화예술정보학교,14_응암초등학교,15_명지전문대.충암중고등학교,16_명지중고등학교,17_명지대삼거리,18_명지대,19_DMC센트럴아이파크아파트,20_명지대사거리제일은행앞,21_백련시장,22_연희파크푸르지오앞,23_홍연시장,24_연희홍연아파트,25_서대문구청,26_서대문구보건소별관,27_정원여중,28_홍은현대아파트.스위스그랜드호텔,29_홍제역(중).서대문세무서,30_홍제삼거리.인왕산한신휴플러스,31_무악재역,32_안산초등학교,33_독립문역.한성과학고,34_영천시장,35_서대문역,36_경찰청.동북아역사재단,37_서울역버스환승센터,38_숭례문,39_남대문시장앞.이회영활동터,40_롯데영프라자,41_우리은행종로지점,42_청계1가.광교,43_을지로2가.기업은행본점.서울노동청,44_롯데백화점,45_북창동.남대문시장,46_숭례문.한국일보,47_경찰청.동북아역사재단,48_서대문경찰서.농협은행.유관순활동터,49_영천시장,50_독립문역.한성과학고,51_무악재역,52_인왕산.홍제원아파트,53_홍제역(중).서대문세무서,54_홍은현대아파트,55_정원여중.스위스그랜드호텔,56_서대문문화체육회관입구,57_홍연2교두산아파트앞,58_홍남교,59_백련시장,60_명지대사거리국민은행앞,61_명지대,62_명지대삼거리,63_명지중고등학교,64_명지전문대.충암중고등학교,65_응암초등학교,66_은평문화예술정보학교,67_응암오거리,68_새절역.숭실고입구,69_와산교,70_연서중학교입구,71_증산역.증산동주민센터,72_증산종합시장.증산중학교입구,73_디지털미디어시티역,74_수색역앞,75_수색교,76_덕은교.은평차고지앞,77_은평공영차고지(가상)
2022-03-05 04:00:00,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,6,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,2,0,2,1,0,0,0,0,0,1,1,2,3,4,6,3,4,5,7,8,7,8,8,10,14,18,19,18,17,16,14,10,9,9,8,3,0,0,0,0,0,1,0,2,0,3,5,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,2,1,1,0,1,1,2,1,0,2,7,7,7,6,8,6,7,5,5,6,9,10,7,11,12,16,11,20,16,16,15,15,14,14,12,9,7,3,2,0,0,0,2,0,1,1,2,2,2,0,2,3,4,3,3,2,4,3,3,4,4,0,4,3,5,7,6,3,0,0,4,3,2,3,1,1,0
2022-03-05 07:00:00,1,1,2,0,3,0,2,4,3,3,4,5,2,3,5,7,3,6,7,9,12,13,16,18,17,16,10,20,18,16,15,9,13,12,11,10,6,5,2,1,0,0,1,3,4,3,4,7,5,8,7,7,8,7,7,9,8,7,5,4,3,4,3,5,7,5,4,3,3,3,2,3,2,1,0,0,0
2022-03-05 08:00:00,2,2,4,4,6,2,4,7,5,3,11,13,13,10,11,11,10,11,12,18,20,22,16,17,18,21,25,25,25,27,28,29,29,26,23,19,9,6,4,2,1,0,1,2,3,4,4,10,5,7,8,12,11,10,10,9,10,3,8,7,5,7,9,8,9,8,7,4,4,5,5,4,1,1,2,0,0
2022-03-05 09:00:00,1,4,2,7,9,8,6,7,6,6,9,12,12,13,10,11,9,16,17,18,21,22,24,26,25,25,26,30,40,41,44,41,34,32,26,21,11,10,3,1,0,0,1,0,3,2,4,4,5,6,8,6,8,10,11,12,14,0,14,11,8,4,8,7,8,6,5,3,4,0,8,6,2,1,0,0,0
2022-03-05 10:00:00,0,3,2,3,5,0,4,6,4,3,9,10,12,11,16,15,10,15,17,20,23,24,26,25,26,27,28,28,27,27,26,23,23,22,18,16,13,8,4,3,2,0,3,2,5,5,4,8,7,7,9,10,16,15,16,15,14,13,11,11,7,8,10,8,7,8,8,4,5,6,6,7,5,3,0,1,0
2022-03-05 11:00:00,0,3,2,6,5,2,3,8,6,7,11,9,12,13,13,12,11,13,12,18,23,22,25,27,23,24,26,30,21,20,20,21,20,20,15,16,11,8,6,2,2,0,3,5,7,7,8,12,16,16,19,21,23,25,27,22,19,17,14,13,15,17,14,10,11,7,7,4,3,5,7,6,4,3,1,0,0
2022-03-05 12:00:00,3,5,0,6,8,5,7,8,5,4,7,10,9,9,12,11,11,13,14,17,18,20,23,24,26,27,24,29,29,34,31,28,22,25,18,16,10,7,5,3,2,0,3,7,10,11,11,15,16,20,22,22,20,17,21,24,25,23,14,13,11,10,14,7,7,10,6,5,6,7,5,5,4,2,1,0,0
2022-03-05 13:00:00,0,1,2,3,5,7,5,8,7,0,9,9,8,6,9,13,14,16,16,22,26,27,27,33,35,37,39,39,31,33,34,30,31,32,32,26,16,8,10,4,2,2,5,9,18,19,21,22,21,23,14,20,21,19,19,18,16,12,14,12,11,14,12,9,8,9,8,7,6,5,6,3,5,3,0,0,0
