Unnamed: 0,1_은평공영차고지,2_덕은교.은평차고지앞,3_수색교,4_수색역앞,5_디지털미디어시티역,6_북가좌동삼거리,7_DMC래미안e-편한세상3단지,8_DMC한양아파트,9_북가좌초교사거리,10_북가좌2동주민센터,11_KT가좌지사,12_동도하이츠아파트,13_대림시장,14_응암3동주민센터,15_서서울농협본점,16_백련산SK뷰아이파크아파트,17_신진과학기술고등학교,18_본서부병원,19_은평세무서,20_은평구청,21_녹번역,22_산골고개,23_홍제역(중).서대문세무서,24_홍제삼거리.인왕산한신휴플러스,25_무악재역,26_안산초등학교,27_독립문역.한성과학고,28_사직단,29_서울경찰청.경복궁역,30_경복궁,31_안국역.종로경찰서.인사동,32_창덕궁.우리소리박물관,33_창덕궁.서울돈화문국악당,34_원남동사거리,35_현대그룹빌딩,36_이화동(이화장),37_충신동,38_동대문,39_종로5가.효제초등학교,40_이화동(이화장),41_창덕궁,42_안국역.종로경찰서.서울공예박물관,43_덕성여중고,44_사직동주민센터,45_사직단.어린이도서관,46_독립문역.서대문형무소역사관,47_독립문역.한성과학고,48_무악재역,49_인왕산.홍제원아파트,50_홍제역(중).서대문세무서,51_산골고개,52_녹번역,53_은평구청,54_은평세무서,55_본서부병원,56_신진과학기술고등학교,57_응암시장,58_응암3동주민센터,59_대림시장,60_동도하이츠아파트,61_KT가좌지사,62_북가좌2동주민센터,63_북가좌초교사거리,64_북가좌초교.DMC현대아파트,65_DMC래미안e-편한세상3단지,66_북가좌동삼거리,67_디지털미디어시티역,68_수색역앞,69_수색교,70_덕은교.은평차고지앞,71_은평권역공영차고지
2022-03-05 04:00:00,1,2,0,0,1,2,3,2,4,5,4,5,8,10,11,9,15,14,12,15,14,8,9,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,2,1,0,2,2,6,0,0,5,3,7,10,11,12,12,12,16,16,14,11,8,13,11,9,0,6,8,7,9,8,6,4,3,3,2,1,2,6,8,7,9,10,11,12,11,9,3,8,6,7,8,6,9,10,11,11,9,0,10,0,9,13,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,0,1,2,1,1,1,3,2,4,4,7,7,7,5,8,8,12,8,11,11,9,8,3,0,7,8,5,7,6,5,3,0,3,2,2,2,2,3,4,1,5,0,7,6,6,5,5,4,5,1,4,5,5,5,6,5,4,7,5,4,6,0,12,0,10,9,3,0,1,0
2022-03-05 07:00:00,3,5,6,2,3,6,3,7,8,2,4,4,9,10,11,13,15,16,14,13,9,8,10,11,6,10,11,10,10,6,4,2,0,5,4,3,1,1,2,5,7,11,0,9,9,0,3,3,4,4,2,5,5,5,6,2,5,3,5,6,6,6,7,9,4,7,5,2,1,0,0
2022-03-05 08:00:00,1,2,2,4,7,9,12,8,11,12,15,14,18,21,20,22,23,22,22,21,17,18,23,24,25,12,23,20,20,17,13,14,0,11,11,2,4,3,3,4,5,6,0,4,5,8,6,7,6,7,8,8,8,10,11,10,10,8,7,6,6,8,9,11,10,6,4,2,2,0,0
2022-03-05 09:00:00,2,3,6,6,8,9,11,12,12,14,17,17,21,27,26,29,23,25,28,24,22,17,16,22,17,25,22,16,15,9,7,6,0,5,5,5,5,1,6,7,9,0,8,11,11,11,11,11,8,8,9,8,10,10,13,16,16,12,16,16,13,11,10,7,9,5,5,0,1,1,0
2022-03-05 10:00:00,0,0,1,2,5,6,6,4,7,8,8,11,14,14,15,18,27,26,27,25,18,17,20,22,22,24,20,19,15,13,9,5,4,6,10,9,8,9,6,9,9,7,8,7,11,10,8,9,6,10,12,15,15,15,16,17,20,17,15,14,13,12,11,10,9,5,3,1,0,0,0
2022-03-05 11:00:00,1,2,3,6,7,8,11,12,12,20,19,20,23,27,34,37,35,32,35,31,23,25,29,31,32,32,33,32,29,21,17,14,13,12,5,6,7,6,6,7,9,7,4,5,0,5,10,9,9,11,12,15,18,20,19,22,22,20,11,12,10,11,9,9,10,9,9,4,0,1,0
2022-03-05 12:00:00,4,4,1,6,9,13,9,6,11,14,15,18,26,34,35,37,34,34,34,30,19,18,17,17,20,17,19,17,18,15,11,9,8,7,6,6,4,5,9,12,10,10,4,13,16,16,15,16,15,17,16,14,19,19,19,22,21,18,16,14,10,13,13,13,12,8,3,4,2,0,0
2022-03-05 13:00:00,1,2,2,2,6,6,4,5,10,10,10,11,16,17,24,24,24,22,20,21,18,20,17,19,17,19,20,10,12,11,12,9,0,10,8,5,7,4,6,8,10,13,14,19,19,21,15,21,20,15,16,20,22,23,23,21,19,20,19,22,17,18,14,12,10,8,7,2,4,2,0
2022-03-05 14:00:00,1,2,3,5,8,10,7,9,12,8,15,15,18,21,21,24,26,27,25,18,15,14,16,18,17,18,21,17,16,14,12,14,8,13,10,7,6,5,6,8,6,13,14,13,12,14,22,23,22,19,19,20,22,22,18,21,20,19,15,14,11,13,10,11,9,10,5,2,0,1,0
2022-03-05 15:00:00,1,2,0,4,9,8,8,9,14,15,13,13,17,17,15,16,19,24,23,21,18,17,13,18,12,17,17,16,15,13,8,5,0,6,7,5,4,7,11,16,18,19,20,28,28,19,19,20,17,18,19,20,21,21,24,26,27,26,13,13,13,13,7,11,7,5,7,5,5,2,0
2022-03-05 16:00:00,1,3,1,4,10,13,14,13,12,12,13,14,21,20,21,21,19,19,19,17,15,13,16,12,14,15,16,9,12,14,13,11,4,8,7,3,5,7,8,7,11,18,22,21,20,20,19,19,19,25,23,26,29,24,23,22,21,18,17,15,14,12,11,10,9,5,2,1,1,0,0
2022-03-05 17:00:00,4,6,8,8,15,17,19,13,18,15,13,13,15,13,9,11,13,18,17,19,14,15,14,16,15,18,15,11,9,10,8,8,4,3,4,1,3,10,19,24,18,18,24,25,25,21,22,21,19,18,19,32,38,34,28,25,24,20,21,18,16,14,13,11,9,8,4,3,0,2,0
2022-03-05 18:00:00,1,0,2,4,8,9,10,8,10,11,10,11,12,15,20,19,18,17,16,12,7,5,11,12,11,10,11,8,9,6,7,8,0,2,3,6,5,2,5,9,14,17,16,21,28,26,25,23,21,20,20,30,32,23,24,25,20,17,14,12,12,9,8,7,5,5,4,5,4,2,0
2022-03-05 19:00:00,3,0,4,2,12,12,10,8,6,7,8,6,16,8,15,14,14,15,13,13,9,8,9,10,5,9,5,7,6,2,4,3,0,1,2,0,8,4,6,11,14,19,18,21,21,19,24,22,17,20,16,18,19,17,15,14,14,12,10,8,5,6,7,9,6,7,4,3,2,0,0
2022-03-05 20:00:00,0,1,2,2,6,8,7,6,4,8,11,13,19,19,16,14,11,10,7,6,6,5,5,6,4,0,3,0,5,8,8,1,0,8,6,5,6,3,5,6,9,17,5,18,19,9,23,8,21,17,16,18,14,10,13,13,9,7,10,8,7,8,5,2,6,2,4,3,2,2,0
2022-03-05 21:00:00,1,1,2,1,5,7,6,5,6,6,8,7,9,8,8,8,6,8,7,6,4,2,1,1,0,3,2,0,4,1,4,3,0,2,2,1,3,4,1,9,13,13,15,17,23,22,25,24,21,17,15,17,18,16,15,18,14,15,15,12,9,9,10,2,9,8,7,3,2,1,0
2022-03-05 22:00:00,0,3,2,2,3,5,5,3,5,1,7,7,7,7,8,9,9,9,10,8,6,5,4,3,2,0,4,2,0,4,1,2,3,0,2,1,0,2,2,4,9,16,17,21,18,11,17,12,15,12,12,17,17,18,17,15,12,11,8,6,4,5,2,2,4,5,4,1,3,2,0
2022-03-05 23:00:00,2,1,2,1,5,5,5,6,2,5,4,6,6,7,4,6,5,5,6,5,1,1,4,0,0,2,3,1,2,0,1,0,0,0,1,1,2,7,5,8,10,11,5,13,16,12,9,6,14,12,11,13,12,13,12,11,9,6,10,4,7,4,5,3,0,2,4,0,0,3,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
