Unnamed: 0,1_기점용두동,2_용두사거리,3_부대앞,4_용두2리,5_서오릉길교차로,6_고려분재연구원.금륜사앞,7_서오릉입구,8_시계입구가게앞검문소,9_806의무경찰대.우남아파트,10_수국사입구,11_선정중고등학교,12_선진운수종점,13_구산동주민센터.구산치안센터,14_구산중학교.구산교회,15_시립서북병원세현교회앞,16_서울기독대학교입구,17_우남교통,18_신사동고개.은평지역자활센터,19_응암역신사오거리,20_신진과학기술고교.이마트은평점,21_본서부병원,22_은평세무서,23_은평구청,24_녹번역,25_산골고개,26_홍제역(중).서대문세무서,27_홍제삼거리.인왕산한신휴플러스,28_무악재역,29_안산초등학교,30_독립문역.한성과학고,31_영천시장,32_금화초등학교.서울시교육청,33_서대문역사거리.농협중앙회,34_서울역사박물관.경희궁앞,35_광화문,36_을지로입구역.광교,37_롯데백화점,38_북창동.남대문시장,39_숭례문(가상),40_숭례문,41_서울역버스환승센터,42_경찰청.동북아역사재단,43_서대문경찰서.농협은행.유관순활동터,44_영천시장,45_독립문역.한성과학고,46_무악재역,47_인왕산.홍제원아파트,48_홍제역(중).서대문세무서,49_산골고개,50_녹번역,51_은평구청,52_은평세무서,53_본서부병원,54_신진과학기술고교.이마트은평점,55_응암역신사오거리,56_신사동고개,57_서울기독대학교입구,58_시립서북병원세현교회앞,59_구산중학교.구산교회,60_구산동주민센터.구산치안센터,61_선진운수종점,62_선정중고등학교,63_806의무경찰대.우남아파트,64_시계입구가게앞검문소,65_서오릉입구,66_고려분재연구원.금륜사앞,67_서오릉길교차로,68_용두2리,69_부대앞,70_용두사거리,71_용두동종점
2022-03-05 04:00:00,0,1,0,0,0,0,0,0,1,1,3,4,5,6,4,10,0,12,15,13,17,19,19,19,15,18,0,13,11,18,15,5,7,6,6,8,10,13,12,10,11,0,11,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,2,1,2,0,0,0,0,3,4,5,4,4,6,8,12,14,16,16,18,20,21,21,14,13,9,10,10,9,10,9,8,6,7,6,4,2,4,0,5,6,6,7,11,13,21,21,21,19,18,18,16,15,12,9,7,7,5,5,6,11,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,0,1,0,1,0,0,4,6,6,6,6,10,14,18,22,25,22,25,23,22,18,18,15,12,11,13,14,10,11,4,9,7,6,4,3,2,0,0,7,6,6,7,10,9,8,9,9,8,9,9,11,7,6,4,7,4,4,3,3,8,6,5,4,3,0,0,2,0,0
2022-03-05 07:00:00,0,1,0,2,2,0,0,1,3,8,11,10,6,12,17,15,20,24,21,23,24,26,22,16,16,17,19,19,17,13,14,13,10,8,6,3,1,2,0,1,5,6,5,7,4,9,10,6,8,12,13,14,12,11,14,8,14,7,8,7,5,3,5,2,4,3,1,1,0,0,0
2022-03-05 08:00:00,2,1,2,3,0,2,0,0,4,8,12,13,14,17,28,37,40,40,35,34,34,34,27,22,20,24,25,26,12,25,24,23,16,14,10,8,5,2,1,1,5,5,6,9,8,10,8,12,16,24,22,20,17,16,22,22,24,19,16,14,13,11,12,11,7,5,4,2,1,0,0
2022-03-05 09:00:00,1,2,3,4,3,2,3,5,7,11,12,12,17,20,23,32,37,40,38,45,41,37,30,26,26,21,19,25,24,24,20,20,16,13,12,11,5,3,0,2,6,7,8,9,9,7,8,12,11,13,13,16,16,14,19,18,15,15,13,12,19,17,17,16,13,11,7,2,1,0,0
2022-03-05 10:00:00,1,1,1,2,3,3,4,5,8,11,12,10,15,22,29,32,36,41,34,41,40,37,33,31,32,33,31,23,29,28,27,25,21,17,17,15,9,5,4,3,13,12,15,18,17,18,11,18,14,20,22,24,22,21,19,16,11,10,9,8,9,8,6,7,8,4,1,4,1,0,0
2022-03-05 11:00:00,0,4,2,2,5,7,6,0,9,12,11,14,17,27,32,40,44,51,30,40,41,40,39,33,32,33,35,37,37,36,33,31,27,29,24,17,10,11,0,0,19,19,24,28,21,20,23,28,28,25,29,26,24,22,23,18,13,13,14,13,14,13,11,4,11,9,5,2,0,0,0
2022-03-05 12:00:00,1,1,3,6,8,7,9,4,9,11,12,15,18,26,35,36,41,41,44,42,48,53,40,38,35,36,37,35,32,34,33,28,28,22,17,15,8,10,0,8,17,18,20,21,29,30,30,33,36,33,39,39,34,39,38,35,39,32,22,18,24,19,18,16,13,5,4,0,0,0,0
2022-03-05 13:00:00,2,2,3,6,10,14,8,9,12,16,18,25,26,32,34,39,42,37,38,37,38,41,40,32,31,26,26,26,26,22,28,27,23,21,22,17,10,10,0,9,14,12,14,17,19,17,16,21,22,21,25,24,22,25,25,22,21,13,11,12,12,11,10,8,5,4,7,1,1,1,0
2022-03-05 14:00:00,1,1,3,5,11,13,12,18,20,21,14,18,19,20,23,29,34,37,28,30,34,31,33,30,18,21,23,20,20,18,19,18,17,16,15,13,11,21,20,8,22,17,19,18,19,20,20,24,25,30,42,30,30,27,32,25,23,16,14,12,17,13,15,12,5,10,8,3,1,0,0
2022-03-05 15:00:00,0,3,4,5,10,11,13,14,15,14,15,16,20,24,28,26,30,27,25,30,31,29,22,21,30,30,30,31,30,24,23,22,19,23,17,12,16,18,16,17,26,28,31,30,32,31,28,31,29,29,41,44,37,30,37,36,29,20,17,17,17,15,9,8,6,4,4,2,2,1,0
2022-03-05 16:00:00,1,3,3,4,8,8,15,16,15,11,15,17,16,25,28,31,30,36,31,34,34,29,29,29,28,28,25,22,20,17,15,14,11,9,14,12,16,22,9,23,35,33,39,38,40,41,23,25,26,26,27,17,25,24,26,22,19,15,11,8,11,9,8,5,3,1,5,3,1,0,0
2022-03-05 17:00:00,1,4,5,6,7,8,9,10,14,16,15,18,14,21,23,25,22,24,17,24,25,23,18,15,25,19,18,20,13,22,18,16,15,14,12,11,14,22,0,24,30,30,32,34,32,31,31,37,40,39,42,42,38,37,53,48,32,21,17,17,15,14,11,0,0,6,3,2,1,0,0
2022-03-05 18:00:00,1,1,2,3,5,5,0,6,4,8,10,13,15,17,18,21,22,20,19,20,19,19,15,12,10,11,7,0,6,9,9,8,6,6,7,6,14,17,10,11,23,23,25,27,27,23,22,24,29,36,37,36,35,26,34,29,24,19,14,9,13,9,6,4,4,2,1,3,2,0,0
2022-03-05 19:00:00,0,2,3,6,7,9,0,0,11,13,15,9,8,11,10,12,14,11,11,14,15,14,13,9,9,8,10,7,7,6,9,5,4,6,5,7,12,9,10,9,16,14,17,18,19,20,22,20,21,21,20,19,19,21,31,24,20,15,11,11,8,7,2,6,1,1,1,0,0,0,0
2022-03-05 20:00:00,0,0,0,7,18,9,0,17,18,16,9,13,14,12,12,15,14,16,15,17,15,14,12,8,12,8,7,0,6,4,6,4,4,3,1,5,9,6,0,8,15,14,16,17,18,18,16,20,21,31,32,32,31,31,39,32,22,18,15,14,11,3,5,1,0,4,3,1,0,0,0
2022-03-05 21:00:00,0,1,2,6,12,15,0,16,17,13,18,15,11,11,12,11,15,15,13,15,13,17,13,10,7,5,5,4,0,4,3,0,3,2,3,4,9,8,0,5,17,11,17,18,19,16,19,20,18,22,21,22,22,21,30,24,16,14,13,8,9,6,4,1,3,2,0,1,0,0,0
2022-03-05 22:00:00,0,1,0,3,3,0,0,7,3,2,4,10,4,16,14,5,13,10,11,12,13,11,10,8,8,8,7,1,1,4,3,0,2,0,4,7,9,6,0,8,10,18,20,18,17,18,16,17,22,29,28,27,24,29,41,35,29,19,11,10,6,4,3,0,0,0,1,0,0,0,0
2022-03-05 23:00:00,0,0,0,0,0,0,0,0,1,2,0,9,13,12,10,7,5,5,8,10,8,5,1,5,0,8,0,0,0,5,3,0,1,0,0,3,6,5,0,4,13,10,13,12,13,14,14,14,13,19,17,15,15,15,29,25,21,14,9,5,7,6,2,1,0,0,0,0,0,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,1,0,1,0,0,0,0,0,3,2,0,0,2,4,5,7,2,7,9,10,7,7,6,11,7,8,5,12,10,8,0,6,5,4,2,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,0,0,0,0,0,0,0,2,2,5,3,5,7,9,12,8,9,8,10,12,13,11,8,10,9,4,0,9,8,5,0,3,4,0,2,1,0,0,3,3,0,7,8,8,7,0,6,6,3,6,5,2,4,3,2,1,0,1,0,3,0,0,2,1,0,0,1,0,0,0
2022-03-06 06:00:00,0,1,0,1,0,1,0,0,3,4,4,2,4,5,7,9,14,12,11,11,11,6,9,8,5,8,7,4,5,7,5,4,6,6,4,3,1,2,0,3,4,2,3,5,8,7,0,8,9,9,10,11,7,8,7,4,6,5,3,3,4,3,5,4,3,1,0,0,0,0,0
2022-03-06 07:00:00,0,0,1,0,0,0,0,0,2,4,5,6,3,7,10,10,13,15,17,19,17,17,15,10,8,9,10,11,12,11,10,12,11,9,6,4,3,3,0,2,5,3,4,7,4,3,4,6,8,9,11,5,5,10,8,7,8,9,8,0,4,3,2,1,3,1,0,0,0,0,0
2022-03-06 08:00:00,1,1,2,1,2,0,0,4,3,11,10,12,13,13,21,26,27,29,31,32,32,28,22,19,17,26,28,30,9,28,24,25,20,15,8,5,3,4,0,3,4,3,5,5,6,0,6,5,4,9,9,8,9,8,9,10,12,7,8,7,9,8,10,8,8,6,2,2,0,0,0
2022-03-06 09:00:00,1,2,2,3,2,2,3,0,5,8,10,12,14,17,22,25,30,29,24,30,28,27,29,28,22,23,17,24,23,24,23,22,16,13,9,6,2,3,0,1,5,4,6,6,6,5,7,8,9,11,12,14,17,16,15,15,16,15,14,10,14,15,15,14,10,10,4,3,2,0,0
2022-03-06 10:00:00,0,3,2,2,5,0,6,0,7,7,11,9,13,16,20,24,28,27,27,27,29,30,25,26,24,20,11,20,18,23,24,23,15,9,11,8,2,1,0,3,7,10,7,12,13,10,12,15,17,16,20,19,17,17,18,17,14,13,12,11,11,13,6,5,4,2,1,3,3,0,0
2022-03-06 11:00:00,1,2,4,6,2,0,7,2,9,10,13,15,18,26,29,30,34,34,25,27,30,31,30,21,20,21,22,23,23,20,20,20,16,14,12,9,5,5,0,1,13,13,14,13,12,1,9,18,18,23,27,27,27,21,21,16,28,22,22,8,25,24,23,20,15,8,4,3,1,0,0
2022-03-06 12:00:00,1,1,2,4,5,5,7,8,13,12,14,13,15,20,25,31,38,40,30,31,35,33,32,30,30,34,32,33,38,36,30,28,24,21,16,11,6,6,0,4,13,15,15,16,18,15,14,13,13,15,18,22,22,20,22,21,21,18,16,16,18,13,16,14,13,7,6,3,0,0,0
2022-03-06 13:00:00,0,1,3,4,6,13,20,7,9,22,23,21,22,23,25,25,28,29,29,32,32,35,31,26,22,21,22,23,16,22,24,22,22,23,17,9,8,7,2,6,14,12,15,18,19,17,19,22,23,20,18,17,16,17,19,15,16,13,13,13,14,11,11,9,9,7,5,2,1,0,0
2022-03-06 14:00:00,0,2,4,3,6,10,9,11,12,18,14,20,22,24,25,27,31,30,26,30,31,30,31,25,24,26,26,25,23,23,22,17,20,14,18,14,12,13,4,14,15,18,17,18,20,20,20,17,16,17,21,23,21,22,23,22,22,25,23,20,16,13,13,10,7,4,5,3,2,2,0
2022-03-06 15:00:00,2,2,4,5,9,14,16,13,19,22,25,23,18,27,27,29,31,34,24,26,30,33,31,25,24,27,23,27,24,24,23,22,20,15,16,14,15,14,0,13,22,20,26,28,13,24,23,17,19,24,24,23,25,23,28,25,23,14,12,10,14,10,8,3,6,5,2,4,1,0,0
2022-03-06 16:00:00,0,3,6,5,9,9,14,15,18,20,21,18,26,26,29,32,32,31,28,27,25,27,27,19,18,20,18,19,17,16,16,15,13,12,11,9,9,12,0,9,30,18,26,25,25,22,23,25,29,30,36,24,33,23,24,22,18,15,14,14,11,10,6,4,5,3,4,3,1,1,0
2022-03-06 17:00:00,1,2,0,4,9,10,4,12,10,13,5,14,15,15,19,19,20,21,18,26,30,31,23,17,16,14,15,13,14,18,19,17,14,13,11,10,11,13,0,4,22,21,27,23,25,24,23,25,28,24,25,25,25,24,26,23,19,18,15,12,11,10,7,6,2,4,2,3,1,0,0
2022-03-06 18:00:00,0,3,3,5,6,4,7,8,5,9,10,9,10,7,11,12,13,14,17,20,19,18,17,12,11,9,10,10,8,9,10,4,6,4,5,4,14,14,0,13,23,24,26,29,30,29,30,30,33,30,28,28,29,22,25,22,21,17,15,15,11,8,8,1,4,3,1,0,0,0,0
2022-03-06 19:00:00,0,5,0,1,3,5,3,12,4,2,4,5,10,11,14,15,14,15,17,15,20,17,12,10,8,9,9,9,10,4,9,9,8,7,10,9,10,12,7,13,29,28,27,26,25,22,22,19,18,22,23,24,18,20,28,24,21,13,12,12,9,7,5,2,3,4,3,2,1,0,0
2022-03-06 20:00:00,2,1,0,8,12,12,5,4,13,11,14,7,8,7,9,10,10,13,11,14,16,14,12,8,8,6,5,5,3,3,3,3,2,4,5,7,13,13,11,12,20,17,18,20,21,20,20,17,15,17,17,17,15,17,20,17,19,15,13,8,7,6,4,1,1,3,2,1,1,0,0
2022-03-06 21:00:00,0,2,5,6,9,13,0,15,11,8,14,12,9,13,11,11,12,12,13,13,11,9,8,8,7,6,6,0,5,5,4,3,3,2,3,4,9,8,11,5,19,18,23,27,26,25,24,19,19,18,18,17,15,18,23,20,17,11,9,5,8,5,2,2,0,1,0,0,0,0,0
2022-03-06 22:00:00,0,1,0,3,4,4,0,3,5,1,4,6,2,5,6,8,9,11,9,8,10,10,9,8,7,3,0,4,0,6,6,3,5,2,6,5,5,5,0,4,10,10,12,13,10,12,8,12,13,18,21,19,20,22,31,25,22,13,9,8,6,4,2,1,0,0,1,0,0,0,0
2022-03-06 23:00:00,0,0,0,0,0,0,0,0,1,2,0,3,5,6,5,6,0,7,12,10,9,7,7,4,3,3,0,2,0,3,2,1,0,0,2,3,4,1,0,0,7,7,10,12,10,12,9,10,11,13,14,12,13,15,23,21,19,12,8,6,4,3,1,0,0,0,0,0,0,0,0
2022-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
