Unnamed: 0,1_기점용두동,2_용두사거리,3_용두5통앞,4_용두6통앞,5_용두7통앞,6_용두초등학교앞,7_용두초등학교입구.금륜사앞,8_서오릉입구,9_시계입구가게앞검문소,10_806의무경찰대.우남아파트,11_수국사입구,12_선정중고등학교,13_선진운수종점,14_구산동주민센터.구산치안센터,15_구산중학교.구산교회,16_시립서북병원세현교회앞,17_서울기독대학교입구,18_우남교통,19_신사동고개.은평지역자활센터,20_응암역신사오거리,21_신진과학기술고교.이마트은평점,22_본서부병원,23_은평세무서,24_은평구청,25_녹번역,26_산골고개,27_홍제역(중).서대문세무서,28_홍제삼거리.인왕산한신휴플러스,29_무악재역,30_안산초등학교,31_독립문역.한성과학고,32_영천시장,33_금화초등학교.서울시교육청,34_서대문역사거리.농협중앙회,35_서울역사박물관.경희궁앞,36_광화문,37_을지로입구역.광교,38_롯데백화점,39_북창동.남대문시장,40_숭례문(가상),41_숭례문,42_서울역버스환승센터,43_경찰청.동북아역사재단,44_서대문경찰서.농협은행.유관순활동터,45_영천시장,46_독립문역.한성과학고,47_무악재역,48_인왕산.홍제원아파트,49_홍제역(중).서대문세무서,50_산골고개,51_녹번역,52_은평구청,53_은평세무서,54_본서부병원,55_신진과학기술고교.이마트은평점,56_응암역신사오거리,57_신사동고개,58_서울기독대학교입구,59_시립서북병원세현교회앞,60_구산중학교.구산교회,61_구산동주민센터.구산치안센터,62_선진운수종점,63_선정중고등학교,64_806의무경찰대.우남아파트,65_시계입구가게앞검문소,66_서오릉입구,67_용두초등학교입구.금륜사앞,68_용두초등학교앞,69_용두7통앞,70_용두6통앞,71_용두5통앞,72_용두사거리,73_용두동종점
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,4,0,0,5,0,3,4,1,1,1,0,0,0,0,0,6,0,5,0,2,2,0,1,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,0,0,0,0,0,2,3,5,4,5,7,10,10,13,14,17,12,21,21,19,12,13,13,4,5,0,10,12,8,9,8,6,3,1,3,0,2,4,2,5,6,3,0,2,2,4,2,5,3,4,1,3,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,1,0,0,1,0,0,0,0,1,2,2,6,8,11,10,12,13,15,16,18,20,15,10,11,12,5,6,0,13,4,2,10,5,4,3,1,2,0,2,2,0,3,8,7,4,1,1,5,6,3,7,10,4,7,6,0,6,5,6,4,5,4,2,4,3,2,0,0,0,0,0
2022-03-05 07:00:00,0,0,2,3,5,3,0,0,0,7,9,6,5,8,11,18,22,26,24,18,23,29,33,28,19,17,16,17,0,16,15,13,0,1,7,5,3,2,1,0,1,2,3,1,4,3,0,4,3,4,3,7,11,2,0,9,7,5,6,7,6,7,6,3,3,0,2,0,2,0,0,0,0
2022-03-05 08:00:00,0,1,2,1,4,5,0,4,0,5,13,12,15,17,24,35,44,50,52,39,40,24,29,25,16,17,19,18,15,15,17,20,19,16,12,8,6,1,0,0,0,4,5,6,8,9,11,12,11,5,17,18,17,16,17,21,4,21,15,13,13,10,8,8,0,6,3,3,1,0,0,0,0
2022-03-05 09:00:00,0,0,2,4,5,7,5,0,6,6,0,7,7,10,15,23,29,37,36,26,39,39,35,26,19,18,21,16,15,13,21,19,17,16,11,7,3,5,2,1,0,5,7,5,6,7,6,3,5,6,6,5,4,11,10,11,10,7,5,0,6,8,9,3,8,0,7,2,1,1,0,0,0
2022-03-05 10:00:00,0,0,3,1,3,6,0,0,0,6,8,9,10,13,16,19,18,20,22,21,19,22,25,23,17,16,21,23,0,0,26,25,20,20,17,12,5,2,4,3,0,13,3,4,5,0,3,6,9,10,10,12,13,12,13,16,15,12,10,9,8,10,8,0,4,5,2,4,2,1,0,0,0
2022-03-05 11:00:00,0,0,2,3,4,4,3,0,6,6,9,13,13,13,16,21,19,22,23,22,25,30,35,32,14,14,15,16,15,11,15,15,16,13,13,8,4,4,2,0,0,6,9,12,12,11,8,8,8,0,12,12,12,11,15,18,12,13,10,7,8,8,7,4,6,4,3,4,1,2,1,0,0
2022-03-05 12:00:00,1,1,5,1,5,7,0,8,5,12,18,15,16,15,17,21,26,27,27,26,31,26,24,30,23,18,21,19,24,25,24,24,21,18,11,10,8,9,4,2,3,8,6,5,10,9,9,9,10,17,13,15,11,15,18,16,17,15,15,12,10,13,11,9,8,8,7,6,2,1,0,0,0
2022-03-05 13:00:00,0,0,3,4,3,2,0,5,0,5,8,9,4,6,7,11,17,20,26,27,30,30,29,25,20,20,20,23,20,21,22,22,24,16,15,9,4,12,15,0,16,23,18,18,15,16,16,18,21,19,23,22,25,21,19,24,22,20,14,13,12,8,7,6,0,0,3,2,1,1,0,0,0
