Unnamed: 0,1_송추반석전원교회,2_부곡1리마을회관,3_장골부대앞,4_장냇말,5_부곡2리.청담에비뉴,6_우남아파트,7_푸른마을아파트,8_송추검문소,9_이안동,10_72보병사단,11_샘골,12_우이령.오봉산석굴암입구,13_응지마을.연대앞,14_솔고개.교현예비군훈련장,15_지축예비군훈련장,16_상미조경,17_노고산동원훈련장,18_사기막골,19_효자2통,20_효자비,21_제3697.공병부대,22_관세농원앞,23_효자치안센터,24_북한산성입구,25_흥국사,26_백화사,27_삼천리골입구56사단북한산부대,28_푸르지오621동앞,29_아이파크708동앞,30_진관중고교.약수사앞,31_래미안909동앞,32_구파발역.롯데몰,33_박석고개.신도고등학교,34_세명컴퓨터고등학교,35_연신내역.연서시장,36_동명여고.천주교불광동성당,37_불광역3.6호선,38_불광역3호선.서울혁신파크,39_한전성서지사.북한산푸르지오,40_녹번역,41_산골고개,42_홍제역(중).서대문세무서,43_홍제삼거리.인왕산한신휴플러스,44_무악재역,45_안산초등학교,46_독립문역.한성과학고,47_영천시장,48_서대문역,49_경찰청.동북아역사재단,50_서울역버스환승센터,51_숭례문,52_남대문시장앞.이회영활동터,53_롯데영프라자,54_우리은행종로지점,55_조계사,56_덕성여중고,57_세종문화회관,58_광화문,59_서울역사박물관.경교장.강북삼성병원,60_서대문역사거리.적십자병원,61_영천시장,62_독립문역.한성과학고,63_무악재역,64_인왕산.홍제원아파트,65_홍제역(중).서대문세무서,66_산골고개,67_녹번역,68_한전성서지사.북한산푸르지오,69_불광역3호선.서울혁신파크,70_불광역3.6호선,71_동명여고.천주교불광동성당,72_연신내역.연서시장,73_세명컴퓨터고등학교,74_박석고개.신도고등학교,75_구파발(가상),76_구파발역2번출구,77_롯데캐슬823동앞,78_진관중고교.약수사앞,79_아이파크714동앞,80_아이파크701동앞,81_푸르지오604동앞,82_푸르지오614동앞,83_삼천리골입구56사단북한산부대,84_입곡삼거리,85_백화사,86_흥국사,87_북한산성입구,88_효자치안센터,89_관세농원앞,90_제3697.공병부대,91_효자비,92_효자2통,93_사기막골,94_노고산동원훈련장,95_상미조경,96_지축예비군훈련장,97_솔고개.교현예비군훈련장,98_응지마을.연대앞,99_우이령.오봉산석굴암입구,100_샘골,101_72보병사단,102_이안동,103_송추검문소,104_플러스마트앞,105_우남아파트,106_부곡2리.청담에비뉴,107_장냇말앞,108_장골부대앞,109_부곡1리마을회관,110_송추반석전원교회,111_부곡리
2022-03-05 04:00:00,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,3,6,6,2,6,8,9,10,5,6,11,4,11,0,0,0,6,10,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,1,0,0,1,2,2,2,0,0,0,3,3,3,0,0,0,0,0,0,0,3,0,0,4,3,7,10,11,11,5,4,5,8,6,6,5,0,4,3,7,4,4,0,6,7,6,2,2,1,0,2,1,1,0,0,3,5,4,6,0,0,3,6,6,7,6,9,8,8,9,11,0,0,10,9,8,7,0,8,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,0,3,0,4,6,5,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,4,6,3,0,5,11,10,11,7,6,7,6,7,8,10,6,9,9,14,13,14,0,12,11,9,8,3,2,1,0,1,1,0,0,0,2,4,5,1,5,4,7,7,8,5,10,9,8,9,9,10,7,15,11,13,7,8,3,0,0,0,14,12,4,0,4,2,2,0,0,0,0,0,3,0,0,0,0,3,3,1,0,0,0,0,0,0,0
2022-03-05 07:00:00,1,2,1,0,0,5,7,5,0,9,2,8,0,3,3,0,0,0,6,0,0,0,4,9,6,10,7,9,12,10,12,7,0,11,12,13,14,15,0,13,12,12,13,0,11,12,12,10,7,2,1,2,0,1,2,1,3,2,4,3,4,4,0,5,6,6,6,5,9,11,10,17,21,21,5,39,39,18,38,37,36,17,37,10,36,32,23,0,0,5,0,2,0,0,0,3,2,4,0,3,2,1,0,2,2,0,0,0,0,0,0
2022-03-05 08:00:00,3,0,2,1,2,7,10,13,9,8,0,4,11,13,13,0,7,0,3,0,0,8,16,17,11,11,10,20,24,25,29,18,21,31,31,33,31,36,35,34,35,35,36,38,37,35,36,28,19,12,7,4,2,3,4,5,6,1,8,17,20,10,21,20,21,24,17,19,20,27,11,34,35,37,14,56,0,55,24,33,0,34,26,55,21,47,26,24,0,23,21,13,12,0,0,8,7,7,5,6,10,9,3,4,2,0,0,0,0,0,0
2022-03-05 09:00:00,6,2,1,0,0,9,10,17,16,15,0,12,9,10,10,0,13,10,0,8,10,0,16,17,0,15,7,16,22,29,33,19,21,23,20,21,18,20,23,24,22,21,24,23,17,23,24,23,18,10,9,9,6,3,3,4,5,4,3,9,12,16,15,14,17,14,23,24,31,36,37,52,54,51,47,67,66,0,47,46,56,0,68,64,61,59,27,27,24,0,26,8,6,0,0,0,8,8,5,0,7,6,3,4,0,2,0,0,0,0,0
2022-03-05 10:00:00,1,0,2,0,2,5,7,7,8,11,8,0,9,0,0,0,0,10,11,0,0,10,11,14,15,16,12,20,34,33,29,18,17,24,25,28,22,22,24,27,20,25,26,18,23,20,19,20,18,12,11,2,3,3,3,5,4,5,7,15,17,15,14,13,18,14,23,24,28,46,44,50,49,48,47,65,66,62,61,65,62,36,56,61,58,54,42,41,38,37,31,15,12,9,0,0,12,13,11,9,10,8,6,2,1,1,0,0,0,0,0
2022-03-05 11:00:00,1,3,4,0,4,9,12,13,13,11,0,16,13,15,15,0,16,13,14,7,0,0,18,22,27,29,22,35,35,36,36,27,26,24,16,17,17,18,20,10,22,22,25,24,17,20,20,19,17,14,12,8,6,7,8,7,6,7,10,14,12,17,18,15,15,12,22,22,25,27,27,33,36,35,35,57,55,48,54,47,46,36,44,53,51,42,32,31,0,22,17,13,11,0,0,0,0,12,11,7,10,8,6,5,2,0,0,0,0,0,0
2022-03-05 12:00:00,2,1,3,0,2,6,10,8,12,15,0,0,0,19,19,0,10,12,20,0,0,0,22,28,29,32,0,34,38,38,40,29,28,26,20,17,16,12,13,10,11,13,18,0,7,17,15,13,12,12,10,10,6,5,11,12,11,16,18,20,22,20,19,21,15,16,15,17,19,21,19,26,30,31,20,59,58,47,45,31,44,27,30,45,45,43,19,14,10,10,18,0,0,15,0,12,6,13,11,9,0,8,6,1,0,0,0,0,1,0,0
2022-03-05 13:00:00,1,3,4,2,0,8,9,11,14,9,13,12,10,15,15,0,0,16,18,20,21,0,24,47,33,49,48,30,35,39,37,32,31,31,22,17,15,20,19,18,18,17,18,13,18,22,16,15,13,6,8,3,7,7,8,7,7,11,13,15,18,9,14,13,24,22,23,21,22,26,25,25,27,25,22,43,34,32,32,32,33,33,31,22,27,23,15,13,0,14,13,11,0,0,12,12,13,11,13,12,10,7,7,5,3,2,1,0,0,0,0
2022-03-05 14:00:00,1,0,3,2,0,5,14,16,12,17,0,15,0,18,18,19,0,17,20,0,22,19,24,46,51,53,52,50,50,51,50,36,35,33,18,19,17,19,23,21,21,19,12,13,0,17,16,14,13,10,9,9,7,9,10,10,9,15,13,14,20,18,17,14,22,22,21,20,21,30,16,22,21,21,18,41,40,38,34,32,30,29,21,25,24,19,9,9,4,6,3,0,0,5,0,3,10,3,0,0,8,0,7,3,2,0,1,0,0,0,0
2022-03-05 15:00:00,1,1,3,0,2,5,8,11,8,12,13,16,0,23,23,34,14,39,50,58,17,59,61,61,59,41,60,42,62,63,62,52,52,46,31,26,20,19,22,19,18,17,16,18,0,18,15,15,8,14,11,9,11,12,13,15,15,18,21,23,18,16,21,18,15,16,18,16,17,31,29,19,20,19,14,25,13,13,11,12,12,0,12,23,24,22,17,14,15,0,13,9,13,8,11,6,12,11,9,0,0,3,6,5,2,0,0,1,0,0,0
2022-03-05 16:00:00,5,0,3,0,0,5,19,9,10,0,0,13,0,12,12,0,0,13,17,19,17,21,24,41,40,43,42,54,56,46,55,42,41,40,22,21,18,19,20,19,10,15,18,20,21,20,18,10,8,6,7,8,9,11,10,5,0,12,14,17,23,21,18,20,24,18,21,20,16,17,15,19,19,16,16,25,24,25,22,21,13,22,22,21,0,20,14,12,2,0,8,0,0,0,0,0,7,10,9,0,7,9,8,6,4,0,2,1,1,0,0
2022-03-05 17:00:00,3,2,0,0,3,4,11,12,17,11,16,21,13,9,9,24,0,0,27,36,0,37,40,53,0,40,53,44,55,35,47,26,36,29,25,23,19,16,15,12,6,8,9,0,0,11,11,9,8,1,3,5,6,6,10,12,9,13,15,19,20,7,20,17,15,15,17,17,17,19,18,19,22,21,18,31,28,28,26,28,24,20,21,19,18,0,18,0,7,0,9,7,0,0,0,0,0,17,18,0,16,14,11,7,6,5,0,3,0,0,0
2022-03-05 18:00:00,5,0,2,0,0,3,13,14,16,5,0,18,0,7,7,6,20,0,21,27,26,26,27,43,16,44,33,35,46,47,48,38,35,37,29,30,28,24,16,22,19,15,14,13,9,12,12,11,9,5,4,4,6,8,8,10,14,17,16,17,29,26,23,20,19,18,18,18,16,20,19,16,16,17,14,19,19,18,14,14,14,12,10,0,17,16,14,13,6,0,0,0,0,0,0,12,13,12,11,0,5,6,9,5,2,1,3,2,0,0,0
2022-03-05 19:00:00,0,0,0,0,1,6,7,9,3,8,0,4,3,5,5,0,4,0,2,9,0,0,0,28,29,32,35,35,35,36,35,29,27,24,17,16,14,13,11,9,11,10,10,7,11,0,10,8,7,3,0,1,5,0,3,6,8,5,7,6,10,15,15,6,11,10,11,11,12,17,15,20,14,15,14,28,24,16,21,18,16,14,13,11,11,10,9,8,0,0,0,0,8,3,0,0,7,6,6,5,6,6,5,2,2,0,0,1,0,0,0
2022-03-05 20:00:00,1,0,1,0,0,0,4,4,0,10,9,0,2,0,0,0,1,7,10,11,0,3,5,14,14,19,11,16,19,18,28,26,28,22,14,11,10,10,10,7,7,9,8,0,7,8,7,9,8,3,2,1,5,3,1,6,5,7,10,17,15,16,3,13,10,11,12,11,10,12,10,13,15,15,11,23,15,0,15,13,10,9,0,7,12,7,6,5,0,0,0,11,5,0,0,2,0,0,0,0,7,0,4,3,1,0,0,1,0,0,0
2022-03-05 21:00:00,1,2,0,5,0,3,7,6,5,5,6,1,0,7,7,0,0,0,0,0,0,0,8,18,2,20,4,7,22,21,25,15,16,12,12,11,7,5,4,9,6,6,0,5,4,5,5,3,3,1,0,0,2,2,4,3,4,14,13,18,20,19,18,17,16,13,13,11,15,14,8,15,13,15,14,24,24,13,21,18,17,16,0,18,19,8,17,15,0,0,0,0,10,14,13,0,7,9,6,12,3,8,10,7,4,3,0,1,0,0,0
