Unnamed: 0,1_진관공영차고지,2_동산동능모퉁이.한국지역난방공사,3_삼송주유소앞,4_삼송역,5_세수동,6_명현학교,7_고양중학교,8_고양동산초등학교,9_동산마을22단지,10_스타필드고양,11_창릉동주민센터.용사촌입구,12_큰골입구,13_동산동능모퉁이.한국지역난방공사,14_은평뉴타운10단지,15_구파발역입구,16_박석고개.신도고등학교,17_세명컴퓨터고등학교,18_연신내역.연서시장,19_동명여고.천주교불광동성당,20_불광역3.6호선,21_불광역3호선.서울혁신파크,22_한전성서지사.북한산푸르지오,23_녹번역,24_산골고개,25_홍제역(중).서대문세무서,26_홍제삼거리.인왕산한신휴플러스,27_무악재역,28_안산초등학교,29_독립문역.한성과학고,30_영천시장,31_금화초등학교.서울시교육청,32_서대문역사거리.농협중앙회,33_서울역사박물관.경희궁앞,34_광화문,35_을지로입구역.광교,36_롯데백화점,37_신세계앞,38_남대문시장.회현역,39_경찰청.동북아역사재단,40_서대문경찰서.농협은행.유관순활동터,41_영천시장,42_독립문역.한성과학고,43_무악재역,44_인왕산.홍제원아파트,45_홍제역(중).서대문세무서,46_산골고개,47_녹번역,48_한전성서지사.북한산푸르지오,49_불광역3호선.서울혁신파크,50_불광역3.6호선,51_동명여고.천주교불광동성당,52_연신내역.연서시장,53_세명컴퓨터고등학교,54_박석고개.신도고등학교,55_구파발역입구,56_은평뉴타운10단지,57_동산동능모퉁이.한국지역난방공사,58_창릉동주민센터.용사촌입구,59_스타필드고양,60_동산마을22단지,61_고양동산초등학교,62_고양중학교,63_명현학교,64_세수동,65_삼송역,66_삼송주유소,67_진관공영차고지,66_힐스테이트삼송역,67_삼송주유소,68_진관공영차고지,3_삼송테크노밸리,6_삼송마을16.17단지,11_용사촌입구,58_용사촌입구.밥할머니공원앞,63_삼송마을20단지,67_삼송테크노밸리
2022-03-05 04:00:00,1,0,0.0,2,0,5.0,4,6,8,7,5.0,8,5,8,4,0,7,7,6,6,0,0,6,7,9,10,0,9,7,6,0,0,5,7,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,,,,,,,,,
2022-03-05 05:00:00,0,0,0.0,2,0,1.0,9,3,11,16,17.0,17,0,6,14,4,8,10,6,13,12,6,11,6,10,11,0,8,10,8,0,7,3,4,3,2,0,3,4,5,5,4,5,6,8,10,13,14,11,9,7,8,5,4,0,1,0,0.0,2,1,1,0,0.0,0,0,0.0,0.0,,,,,,,,,
2022-03-05 06:00:00,0,0,0.0,1,0,0.0,1,3,4,5,6.0,8,0,0,3,9,7,6,3,6,5,8,7,8,8,7,6,8,6,6,0,5,4,6,4,2,1,0,3,1,0,0,1,2,0,1,2,3,4,6,6,8,7,5,4,5,2,3.0,0,2,2,0,0.0,3,0,0.0,0.0,,,,,,,,,
2022-03-05 07:00:00,0,0,0.0,1,0,1.0,2,3,5,4,1.0,4,0,5,3,5,8,6,7,5,6,6,7,0,0,0,6,0,5,6,6,5,2,1,0,2,3,3,4,0,3,2,1,2,5,6,6,5,6,6,5,7,6,6,8,0,7,4.0,2,1,2,0,0.0,4,1,0.0,0.0,,,,,,,,,
2022-03-05 08:00:00,0,0,0.0,1,1,0.0,5,7,12,0,11.0,14,7,4,15,16,15,8,12,10,8,12,11,13,12,9,9,0,9,8,7,6,5,4,6,2,4,2,5,7,5,6,4,6,4,3,0,5,2,6,3,8,5,6,5,6,5,3.0,2,4,4,3,3.0,2,1,0.0,0.0,,,,,,,,,
2022-03-05 09:00:00,0,0,0.0,3,5,1.0,6,7,11,12,10.0,12,9,11,13,8,14,15,14,17,17,17,17,14,15,19,18,18,20,16,11,10,12,11,5,5,2,2,4,6,1,7,8,9,9,11,12,13,10,11,11,14,14,8,7,15,13,9.0,6,3,4,2,1.0,2,0,0.0,0.0,,,,,,,,,
2022-03-05 10:00:00,0,0,0.0,1,2,0.0,5,10,14,10,14.0,15,14,15,13,16,19,15,16,16,17,20,17,17,23,26,27,28,29,19,19,18,17,17,16,11,7,4,2,6,7,8,8,8,12,11,12,10,14,11,11,14,17,19,24,21,15,14.0,5,0,2,2,1.0,0,0,0.0,0.0,,,,,,,,,
2022-03-05 11:00:00,0,0,0.0,2,2,0.0,3,11,12,16,19.0,21,20,18,16,19,20,19,18,13,15,15,13,13,17,18,18,19,23,26,29,28,25,26,26,23,7,4,8,7,10,8,8,8,15,15,20,20,21,21,18,15,16,17,21,23,20,13.0,8,6,5,4,3.0,4,0,0.0,0.0,,,,,,,,,
2022-03-05 12:00:00,2,0,0.0,5,0,0.0,5,9,12,14,14.0,16,17,15,15,19,20,18,14,12,17,9,16,14,20,24,24,26,19,18,17,12,10,10,11,13,7,11,16,12,14,15,10,14,20,23,14,12,24,24,23,21,27,29,34,36,34,30.0,5,0,8,6,0.0,6,0,0.0,0.0,,,,,,,,,
2022-03-05 13:00:00,0,1,1.0,1,2,0.0,3,6,8,11,12.0,14,13,15,10,14,18,18,16,13,14,14,17,18,20,21,22,24,21,20,17,13,12,16,13,12,8,11,9,9,19,16,17,13,23,16,22,26,26,33,32,38,41,46,48,48,43,29.0,10,9,4,5,5.0,0,2,0.0,0.0,,,,,,,,,
