Unnamed: 0,1_진관공영차고지,2_동산동능모퉁이.한국지역난방공사,3_지축교앞,4_진관중고교약수사입구,5_진관초교입구,6_푸르지오625동앞.관음사입구,7_푸르지오621동앞,8_아이파크708동앞,9_진관중고교.약수사앞,10_래미안909동앞,11_구파발역.롯데몰,12_박석고개.신도고등학교,13_세명컴퓨터고등학교,14_연신내역.연서시장,15_동명여고.천주교불광동성당,16_불광역3.6호선,17_불광역3호선.서울혁신파크,18_한전성서지사.북한산푸르지오,19_녹번역,20_산골고개,21_홍제역(중).서대문세무서,22_홍제삼거리.인왕산한신휴플러스,23_무악재역,24_안산초등학교,25_독립문역.한성과학고,26_영천시장,27_서대문역,28_경찰청.동북아역사재단,29_서울역버스환승센터,30_숭례문,31_시청앞,32_서울신문사,33_KT광화문지사,34_사직동주민센터,35_사직단.어린이도서관,36_독립문역.한성과학고,37_무악재역,38_인왕산.홍제원아파트,39_홍제역(중).서대문세무서,40_산골고개,41_녹번역,42_한전성서지사.북한산푸르지오,43_불광역3호선.서울혁신파크,44_불광역3.6호선,45_동명여고.천주교불광동성당,46_연신내역.연서시장,47_세명컴퓨터고등학교,48_박석고개.신도고등학교,49_구파발(가상),50_구파발역2번출구,51_롯데캐슬823동앞,52_진관중고교.약수사앞,53_아이파크714동앞,54_아이파크701동앞,55_푸르지오604동앞,56_푸르지오614동앞,57_푸르지오618동앞.관음사입구,58_진관초교관음사입구,59_진관중고교약수사입구,60_지축교앞,61_진관공영차고지
2022-03-05 04:00:00,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,0,1,2,4,2,5,3,0,5,5,4,5,5,0,2,4,7,0,4,0,4,8,7,6,2,0,1,2,0,3,0,0,4,0,3,0,0,0,0,2,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,0,0,0,2,7,11,9,10,5,0,7,7,8,0,2,7,2,1,6,4,5,5,6,5,4,1,2,1,1,0,0,0,2,2,0,2,3,4,2,0,3,4,1,3,1,5,0,8,7,0,6,4,2,0,1,0,0,0,0
2022-03-05 07:00:00,0,4,0,0,0,2,2,5,6,8,5,4,5,6,9,9,9,10,4,11,13,15,4,0,16,14,13,10,3,3,1,0,0,0,2,1,0,0,3,2,3,2,2,3,1,4,4,0,2,4,0,0,1,3,0,0,2,0,0,0,0
2022-03-05 08:00:00,1,1,2,2,3,7,11,20,23,25,17,17,19,15,16,15,17,18,16,12,17,20,23,21,27,26,20,21,3,2,2,4,4,6,8,8,8,11,11,12,12,5,4,6,3,6,7,7,5,9,6,4,2,0,1,0,1,1,0,0,0
2022-03-05 09:00:00,0,0,0,0,0,3,14,17,20,21,14,19,16,13,10,14,12,13,11,9,9,0,0,13,12,13,8,22,4,2,4,5,0,2,4,5,5,5,6,7,11,9,11,10,8,6,8,1,6,5,4,0,1,1,3,1,0,1,0,0,0
2022-03-05 10:00:00,0,1,0,0,0,4,10,15,16,20,19,11,19,18,18,14,14,14,16,0,17,20,10,22,20,17,16,12,5,2,4,7,5,8,6,5,0,6,8,12,15,0,16,16,13,18,12,11,9,6,3,1,5,4,0,2,1,0,0,0,0
2022-03-05 11:00:00,0,0,0,0,1,6,11,20,26,27,17,20,19,16,15,11,15,11,15,14,12,13,12,0,13,16,15,14,9,4,5,4,3,4,5,5,6,3,4,6,6,9,6,9,7,7,4,5,4,12,11,10,5,7,5,3,2,0,0,0,0
2022-03-05 12:00:00,0,1,0,0,0,4,12,16,19,18,20,21,24,20,25,29,27,29,26,23,21,13,21,22,17,15,13,8,8,8,10,9,9,8,8,14,13,10,15,13,14,12,10,13,13,13,10,10,6,17,13,10,3,8,6,5,1,1,0,0,0
2022-03-05 13:00:00,0,1,0,0,0,2,10,19,20,22,18,19,23,23,15,18,18,17,16,10,12,12,12,11,14,15,7,9,12,11,12,12,12,10,11,9,7,12,12,5,12,10,12,17,13,13,12,11,9,9,6,5,4,1,2,2,1,0,0,0,0
2022-03-05 14:00:00,0,0,4,4,0,5,10,20,24,23,18,18,16,18,16,17,22,21,20,17,16,20,13,18,17,16,14,11,8,6,8,14,14,11,10,9,7,5,9,10,8,11,10,16,14,12,13,14,12,15,8,0,6,4,3,2,2,0,0,0,0
2022-03-05 15:00:00,0,0,0,0,1,3,10,18,21,21,15,11,17,23,24,23,16,17,15,14,18,19,22,22,24,23,20,11,9,9,12,12,17,15,14,11,0,12,11,11,13,10,11,11,11,16,15,16,1,23,18,17,12,7,8,3,7,2,0,0,0
2022-03-05 16:00:00,0,1,1,1,0,2,6,15,20,19,19,18,15,11,12,11,14,18,15,16,16,17,14,17,17,17,9,9,8,9,11,11,11,6,14,15,12,7,15,16,19,18,17,20,19,22,18,16,7,23,20,17,14,11,6,2,4,0,0,0,0
2022-03-05 17:00:00,0,1,0,0,0,4,8,16,20,12,11,10,8,9,10,12,16,18,18,15,8,11,9,11,12,8,5,3,10,6,13,15,14,20,20,20,16,15,15,13,14,15,14,18,17,15,11,10,8,18,16,15,10,4,3,1,0,0,0,0,0
2022-03-05 18:00:00,0,0,0,0,1,2,5,12,10,14,14,11,11,8,6,12,13,8,14,9,8,4,7,3,7,8,6,3,9,6,11,12,13,13,15,16,15,12,14,15,14,13,12,14,15,18,17,11,15,22,16,14,12,10,4,2,3,0,0,0,0
2022-03-05 19:00:00,0,0,0,0,2,1,3,6,6,10,6,2,9,14,15,15,13,12,16,13,9,3,4,6,8,5,4,4,4,5,7,9,17,15,15,10,14,12,17,18,15,15,13,17,15,15,11,7,0,12,11,10,8,7,5,2,1,0,0,0,0
2022-03-05 20:00:00,0,0,1,1,0,3,2,4,5,2,4,8,10,7,8,9,10,9,9,8,4,7,2,4,1,5,3,3,10,0,11,17,17,21,20,20,11,10,14,12,8,10,10,7,9,11,8,9,3,15,11,10,4,8,7,4,6,0,0,0,0
