Unnamed: 0,1_상암차고지(가상),2_월드컵파크7단지,3_상암고등학교,4_월드컵파크5단지,5_상암DMC홍보관.YTN,6_상암초등학교,7_상암휴먼시아아파트,8_월드컵경기장북측,9_월드컵경기장서측.문화비축기지,10_마포농수산물시장.월드컵공원,11_마포구청,12_마포중앙도서관,13_성산2교,14_연희104고지앞.구성산회관,15_서대문우체국,16_연세대앞,17_세브란스병원앞,18_이대후문,19_사직단,20_서울경찰청.경복궁역,21_경복궁,22_안국역.종로경찰서.인사동,23_창덕궁.우리소리박물관,24_창덕궁.서울돈화문국악당,25_원남동사거리,26_현대그룹빌딩,27_방송통신대.이화장,28_혜화역.마로니에공원,29_혜화역.동성중고(장면총리가옥),30_삼선교.한성대학교.조소앙활동터,31_돈암사거리.성신여대입구,32_미아리고개.미아리예술극장,33_길음뉴타운,34_월곡뉴타운,35_미아사거리역,36_도봉세무서.성북시장,37_미아역.신일중고,38_수유시장.성신여대미아캠퍼스앞,39_수유역.강북구청,40_강북구청,41_수유중앙시장,42_대한병원,43_수유시장.성신여대미아캠퍼스앞,44_미아역.신일중고,45_도봉세무서.성북시장,46_미아사거리역,47_월곡뉴타운,48_길음뉴타운,49_미아리고개.미아리예술극장,50_돈암사거리.성신여대입구,51_삼선교.한성대학교,52_혜화동로터리.여운형활동터,53_명륜3가.성대입구,54_창경궁.서울대학교병원,55_창덕궁,56_안국역.종로경찰서.서울공예박물관,57_덕성여중고,58_사직동주민센터,59_사직단.어린이도서관,60_이대후문,61_세브란스병원앞,62_연세대앞,63_서대문우체국,64_연희104고지앞.구성산회관,65_성산2교,66_성산동,67_마포구청.성산자동차검사소,68_월드컵경기장남측.월드컵공원,69_월드컵경기장서측.문화비축기지,70_월드컵경기장북측,71_상암휴먼시아아파트,72_상암초등학교,73_상암DMC홍보관.YTN,74_누리꿈스퀘어.MBC,75_월드컵파크5단지.상암중고등학교입구,76_월드컵파크7단지,77_상암차고지(가상)
2022-03-05 04:00:00,0,1,0,0,0,2,0,1,0,0,3,5,6,6,0,7,6,0,5,7,4,6,5,0,4,2,5,3,0,5,7,9,11,12,12,11,14,11,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,2,0,0,3,0,0,0,1,5,8,10,8,10,9,7,5,0,5,6,5,7,0,0,6,15,17,18,18,18,20,20,19,18,18,15,13,6,1,3,4,6,7,7,8,9,11,10,9,10,0,4,0,11,12,3,11,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,0,2,2,3,0,0,1,0,5,4,5,3,3,4,6,5,4,4,2,0,3,0,2,0,1,0,3,4,3,3,3,2,2,0,3,3,1,1,3,2,5,6,0,6,5,8,10,6,3,9,5,6,8,7,5,6,0,6,7,8,3,7,2,4,4,3,2,3,2,0,0,1,1,0,0
2022-03-05 07:00:00,0,1,1,2,3,5,0,0,4,5,6,0,7,5,7,9,9,10,9,7,8,6,4,3,5,4,2,0,3,3,3,3,3,3,6,5,2,1,2,1,7,0,8,9,8,11,11,10,10,11,11,10,8,10,8,8,7,7,5,6,6,7,0,8,7,1,5,3,0,0,0,2,1,0,0,0,0
2022-03-05 08:00:00,0,1,1,3,5,4,3,0,1,3,7,8,9,9,11,13,11,11,11,9,10,9,9,0,8,8,5,7,8,7,3,6,3,5,3,4,3,4,1,3,6,8,10,9,11,14,14,15,17,17,18,18,19,18,12,16,14,12,11,10,9,4,6,9,8,10,9,7,0,1,5,3,3,1,0,0,0
2022-03-05 09:00:00,0,0,1,2,3,4,2,3,3,2,6,5,7,7,9,14,5,13,11,13,7,10,8,7,7,9,7,6,2,8,7,7,8,6,6,6,5,6,3,2,10,9,13,13,15,17,16,30,30,23,30,20,31,31,27,25,14,12,11,9,7,6,6,6,7,6,6,8,7,3,7,7,6,0,0,0,0
2022-03-05 10:00:00,1,0,3,4,5,6,5,0,5,7,9,8,11,13,14,13,15,16,15,12,11,13,15,16,13,13,14,13,14,10,10,10,9,8,10,11,7,7,4,2,6,7,12,12,16,18,20,27,17,23,21,20,22,22,18,17,14,19,18,16,9,9,6,8,4,0,8,7,2,6,5,5,2,1,0,0,0
2022-03-05 11:00:00,0,0,2,3,2,3,7,0,2,7,6,7,10,10,8,14,12,15,16,18,20,16,18,13,18,18,14,12,15,9,9,10,9,6,7,8,7,5,3,1,4,4,13,9,13,14,16,20,29,28,25,21,23,23,23,21,18,17,18,17,13,13,13,11,11,8,11,12,2,13,10,6,0,0,1,0,0
2022-03-05 12:00:00,0,0,4,5,6,5,8,0,5,9,10,10,12,12,15,15,17,19,16,19,21,17,16,17,17,13,15,9,9,10,9,7,8,6,7,3,6,6,5,3,4,5,9,10,19,14,20,22,26,22,24,25,27,26,27,24,20,22,18,18,18,18,9,16,10,11,10,5,0,3,2,2,5,2,1,0,0
2022-03-05 13:00:00,0,2,1,3,4,4,6,6,7,8,10,17,13,20,24,26,29,31,30,28,14,15,17,12,20,20,20,11,14,16,18,13,12,9,8,10,9,8,3,4,9,7,14,13,16,20,17,19,18,20,20,20,24,25,23,17,17,22,21,18,18,18,17,12,11,12,7,6,5,4,2,5,2,4,3,0,0
2022-03-05 14:00:00,0,2,1,2,3,6,7,5,2,4,6,9,10,13,16,17,19,21,19,27,23,22,22,18,19,19,17,16,19,13,16,18,18,16,18,16,15,13,6,3,8,7,7,10,10,14,18,21,24,27,27,28,27,24,25,23,21,26,28,27,25,24,23,18,15,11,9,9,8,7,5,6,4,3,0,0,0
2022-03-05 15:00:00,0,1,2,2,5,6,6,5,7,11,13,11,14,13,17,22,23,25,22,21,21,29,30,24,33,27,26,25,23,20,22,16,18,16,9,8,8,12,4,2,6,8,12,14,20,18,22,22,24,22,21,20,22,26,20,27,28,27,30,28,21,22,23,15,12,15,8,5,7,7,6,5,4,1,0,0,0
2022-03-05 16:00:00,0,2,3,2,7,9,4,5,7,12,13,15,16,16,19,21,21,23,25,26,19,20,26,18,28,27,24,19,17,20,20,19,18,19,18,13,13,13,10,5,3,6,12,9,11,8,12,16,15,16,20,20,23,24,23,24,26,25,26,25,22,24,21,17,14,13,11,10,6,9,7,4,1,1,0,0,0
2022-03-05 17:00:00,0,1,1,3,5,2,6,0,6,10,15,14,13,16,19,17,20,18,20,25,25,31,33,29,28,32,30,27,26,27,28,29,31,27,20,17,15,13,9,7,6,7,12,13,11,14,13,11,15,15,13,12,12,12,21,25,25,17,14,12,11,10,10,8,6,9,9,9,0,8,7,5,5,3,1,0,0
2022-03-05 18:00:00,0,2,2,2,5,8,9,3,7,6,9,10,26,23,11,13,16,16,13,17,19,22,23,0,21,30,30,27,31,29,28,25,27,26,21,21,14,11,6,7,9,1,8,5,8,13,17,10,11,13,13,14,15,14,13,17,21,21,21,20,18,15,15,10,8,7,5,5,2,3,4,3,1,3,2,0,0
