Unnamed: 0,1_진관공영차고지,2_동산동능모퉁이.한국지역난방공사,3_은평뉴타운10단지,4_구파발역.롯데몰,5_진관동주민센터.은평우체국,6_동부센트레빌324동앞,7_동부센트레빌320동앞,8_신도초교.은평메디텍고등학교,9_신도중학교,10_폭포동.은평노인종합복지관,11_은평경찰서,12_연신초등학교,13_불광지구대,14_새장골유래비,15_연서시장,16_연신내역,17_동명여고.천주교불광동성당,18_불광역3.6호선,19_불광역3호선.서울혁신파크,20_한전성서지사.북한산푸르지오,21_녹번역,22_산골고개,23_홍제역(중).서대문세무서,24_홍제삼거리.인왕산한신휴플러스,25_무악재역,26_안산초등학교,27_독립문역.한성과학고,28_영천시장,29_금화초등학교.서울시교육청,30_서대문역사거리.농협중앙회,31_서울역사박물관.경희궁앞,32_광화문,33_종로1가,34_종로2가,35_종로3가.탑골공원,36_종로4가.종묘,37_종로5가.광장시장,38_종로6가.동대문종합시장,39_동대문역.흥인지문,40_동묘앞,41_신설동역,42_용두동사거리,43_제기동역.서울약령시,44_청량리수산시장,45_청량리역환승센터,46_청량리미주상가앞,47_서울성심병원,48_떡전교앞,49_서울시립대학교앞,50_전농로터리시장.동부교육지원청,51_전농우체국앞,52_청솔우성아파트.답십리시장,53_답십리2동두산아파트,54_답십리2동한양아파트앞,55_동답한신.대림아파트동대문체육관,56_촬영소사거리.동답초등학교,57_동답초교.대림아파트,58_동답한신동아아파트,59_동아.위더스빌아파트,60_자동차부품상가,61_답십리초등학교.현대시장,62_답십리2동시온교회앞,63_청솔우성아파트.답십리시장,64_전농우체국앞,65_서울시동부교육지원청.해성국제컨벤션고교,66_서울시립대입구,67_떡전교앞,68_서울성심병원,69_청량리역환승센타,70_청량리.청과물도매시장,71_제기동역.서울약령시,72_용두동사거리.한국의류시험연구원,73_신설동역,74_동묘앞,75_동대문(흥인지문),76_종로6가.동대문종합시장,77_종로5가.광장시장,78_종로4가.종묘,79_종로3가.탑골공원,80_종로2가,81_종로1가,82_광화문,83_서울역사박물관.경교장.강북삼성병원,84_서대문역사거리.적십자병원,85_영천시장,86_독립문역.한성과학고,87_무악재역,88_인왕산.홍제원아파트,89_홍제역(중).서대문세무서,90_산골고개,91_녹번역,92_한전성서지사.북한산푸르지오,93_불광역3호선.서울혁신파크,94_불광역3.6호선,95_동명여고.천주교불광동성당,96_연신내역,97_연서시장,98_종로약국,99_불광지구대,100_북한산대창센시티아파트,101_은평경찰서,102_폭포동,103_은평노인종합복지관.신도중학교,104_신도초교.은평메디텍고등학교,105_두산위브205동앞,106_두산위브253동앞,107_진관동주민센터.은평우체국,108_구파발(가상),109_구파발역2번출구,110_은평뉴타운10단지,111_진관공영차고지
2022-03-05 04:00:00,1,0,1,2,2,2,3,2,3,4,6,9,11,7,13,8,14,14,16,19,20,20,22,7,23,24,8,22,15,6,21,19,18,14,14,7,6,11,20,0,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,1,2,0,1,1,3,1,3,1,6,7,4,5,4,5,8,7,8,10,12,13,13,0,12,14,13,11,10,15,14,8,11,13,6,10,8,13,12,10,16,14,12,8,5,3,4,9,8,6,7,8,7,3,2,3,2,2,1,2,4,5,8,7,6,7,6,6,5,0,0,0,0,3,0,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,1,1,2,3,4,1,4,5,4,1,2,6,8,7,8,9,5,10,10,13,12,7,12,9,8,10,11,13,10,12,11,10,9,8,10,5,5,6,9,6,8,5,6,7,6,4,2,3,1,3,2,2,1,2,0,1,3,5,5,0,7,8,13,14,15,15,14,13,12,9,10,9,8,9,10,9,8,6,8,6,5,7,2,6,9,8,2,6,4,6,8,7,6,7,6,5,4,0,3,2,1,2,1,2,3,2,1,2,1,0,0
2022-03-05 07:00:00,0,1,2,6,6,5,5,7,6,7,8,15,18,16,8,9,10,9,11,8,11,12,16,17,12,11,16,17,12,15,12,12,11,9,9,8,9,8,10,9,4,8,4,3,4,0,0,3,5,5,4,1,4,3,2,2,2,4,5,4,5,7,9,15,9,14,11,13,13,13,12,11,11,4,12,6,11,5,7,7,8,8,7,9,11,5,4,4,5,4,6,8,6,7,4,4,8,6,10,7,7,6,8,9,10,10,8,6,1,0,0
2022-03-05 08:00:00,1,2,2,26,28,25,14,7,7,9,9,16,19,18,14,16,17,19,20,20,21,20,21,25,26,21,25,26,24,20,17,15,15,12,14,10,13,11,12,11,10,12,10,7,5,0,6,7,6,6,6,5,6,5,5,4,5,5,7,7,8,9,11,13,18,24,26,27,12,14,13,12,11,10,12,11,11,8,12,9,7,8,10,11,13,11,12,10,13,13,14,13,14,14,12,13,15,14,13,12,11,13,9,9,12,8,5,5,2,1,0
2022-03-05 09:00:00,1,0,2,6,11,11,11,10,11,12,13,20,29,27,21,22,21,22,26,27,27,28,29,29,30,27,30,29,26,24,22,22,23,20,17,16,14,14,8,9,10,12,12,13,18,17,13,16,15,12,6,12,13,12,10,9,6,6,9,7,9,12,16,18,23,26,32,30,26,25,22,20,20,20,26,18,19,18,15,13,14,12,11,16,18,17,14,10,15,15,18,15,14,14,13,10,11,10,10,10,12,9,5,15,13,11,8,4,1,0,0
2022-03-05 10:00:00,0,1,2,6,9,10,13,16,14,18,17,24,23,23,18,21,24,28,30,31,29,27,34,38,37,36,34,35,34,31,28,25,22,22,19,17,16,17,16,13,12,12,9,10,11,9,13,14,11,8,7,10,9,6,8,8,4,6,5,5,8,9,13,16,23,25,26,25,15,19,18,18,16,19,18,17,21,18,18,18,15,14,14,19,17,10,4,12,10,9,10,14,12,13,12,8,15,13,10,8,9,10,11,18,20,16,18,15,2,0,0
2022-03-05 11:00:00,0,0,1,13,14,15,13,14,15,20,22,28,29,25,20,25,24,24,25,29,31,31,39,42,44,43,42,47,50,50,46,44,41,39,31,24,17,17,17,16,15,13,9,13,19,18,19,17,15,10,8,9,5,8,4,7,9,8,10,7,10,12,17,20,22,25,25,22,20,22,21,20,18,20,23,25,29,29,31,19,19,21,24,26,27,25,23,24,30,25,23,26,27,33,26,25,15,15,14,14,12,16,17,31,32,27,24,23,17,1,0
2022-03-05 12:00:00,0,2,4,35,40,38,28,18,15,15,18,19,17,20,21,25,27,28,28,27,28,28,33,37,37,22,33,34,31,34,34,32,30,24,24,23,24,28,25,20,20,20,17,18,24,14,23,22,18,16,12,11,11,10,11,9,7,10,11,10,11,13,17,22,23,26,26,27,22,22,20,21,20,21,23,23,22,22,32,33,35,36,37,35,36,33,32,30,31,35,36,35,35,36,31,26,34,35,34,29,28,27,19,20,11,19,15,9,2,0,0
2022-03-05 13:00:00,2,0,2,11,16,17,19,20,20,19,15,20,22,20,15,15,18,24,27,25,25,34,42,41,42,30,44,49,49,47,47,44,38,34,33,29,23,23,21,23,19,16,19,18,17,14,16,16,13,12,7,12,11,11,8,5,7,10,10,6,14,15,19,22,28,26,24,24,21,25,25,25,26,29,32,31,29,27,31,33,33,32,31,26,22,20,21,20,21,20,16,20,25,23,21,11,17,19,17,13,7,11,12,17,19,18,12,9,2,0,0
