Unnamed: 0,1_서부운수기점,2_북가좌2동주민센터,3_DMC래미안e.편한세상2.4단지,4_북가좌삼호.DMC아이파크아파트,5_DMC파크뷰자이별동상가,6_DMC파크뷰자이,7_모래내삼거리,8_모래내시장.가좌역,9_사천교,10_연희104고지앞.구성산회관,11_연남동,12_동교동삼거리,13_신촌오거리.현대백화점,14_신촌오거리.2호선신촌역,15_이대역,16_웨딩타운,17_아현역,18_충정로역,19_서대문역사거리,20_서울역사박물관.경희궁앞,21_광화문,22_종로1가,23_종로2가,24_종로3가.탑골공원,25_종로4가.종묘,26_종로5가.광장시장,27_종로6가.동대문종합시장,28_동대문역.흥인지문,29_숭인동,30_동대문우체국.서울풍물시장,31_용두동신동아아파트,32_용두역,33_동대문구청,34_신답초등학교.청계한신휴플러스,35_답십리역사거리,36_청년회의소.서울새활용플라자,37_장한평역,38_군자교입구,39_능동사거리.군자역,40_능동교회앞,41_어린이대공원앞.세종대학교,42_어린이대공원역.화양천주교회,43_서울화양초등학교,44_건대입구역사거리.건대병원,45_건대로데오거리입구,46_대동아파트앞,47_뚝도변전소앞,48_광진문화예술회관,49_건대입구(가상),50_건대입구역사거리.건대병원,51_어린이대공원역.화양천주교회,52_어린이대공원앞,53_능동사거리.군자역,54_군자교입구,55_장한평역,56_청년회의소,57_답십리역사거리,58_신답초등학교.청계한신휴플러스,59_동대문구청,60_서울시동부병원,61_신설동역.서울풍물시장,62_동묘앞,63_동대문(흥인지문),64_종로6가.동대문종합시장,65_종로5가.광장시장,66_종로4가.종묘,67_종로3가.탑골공원,68_종로2가,69_종로1가,70_광화문,71_서울역사박물관.경희궁앞,72_서대문역사거리,73_충정로역,74_아현역,75_웨딩타운,76_이대역,77_신촌오거리.2호선신촌역,78_신촌오거리.현대백화점,79_동교동삼거리,80_연희동대우아파트,81_연희104고지앞.구성산회관,82_사천교,83_모래내시장.가좌역,84_삼성래미안2차아파트,85_DMC파크뷰자이,86_동부센트레빌아파트,87_북가좌삼호.DMC아이파크아파트,88_모래내우체국.증가교회,89_북가좌초교사거리,90_북가좌2동주민센터,91_서부운수기점(가상)
2022-03-05 04:00:00,4,6,7,8,5,6,5,9,0,0,4,11,9,0,6,0,10,10,9,12,7,9,8,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,2,3,5,5,7,6,6,6,5,7,8,8,6,7,5,7,6,7,8,8,7,8,4,3,5,7,19,21,22,25,25,25,8,22,23,18,16,11,5,0,9,8,4,2,1,1,1,0,2,3,0,2,4,6,5,6,8,7,6,0,4,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,3,4,5,4,6,8,7,8,7,5,7,9,7,5,9,7,5,6,5,6,8,7,6,5,4,5,4,9,9,10,8,7,10,6,7,7,7,6,6,3,7,6,4,3,4,2,3,5,0,7,9,4,10,13,12,7,8,7,7,9,9,7,10,5,7,4,3,8,8,7,4,0,0,7,8,2,2,2,0,6,2,5,4,4,2,3,0,2,0,0,0
2022-03-05 07:00:00,2,5,6,10,11,13,12,14,12,12,11,10,4,6,6,7,8,9,6,7,5,6,4,5,5,5,5,7,6,8,7,6,5,6,8,3,8,6,4,4,3,3,2,0,1,3,2,5,4,4,4,5,4,7,6,8,7,8,7,9,10,8,9,7,6,6,5,3,4,2,1,3,4,2,3,4,3,4,3,2,1,3,0,2,0,1,2,1,0,0,0
2022-03-05 08:00:00,3,7,12,14,18,20,18,17,16,16,17,20,13,14,12,13,15,14,11,15,13,12,11,12,10,13,12,13,12,15,13,11,10,9,12,11,10,11,8,6,6,7,4,5,4,3,4,3,0,6,7,8,10,11,15,16,17,20,17,19,19,18,14,11,12,8,7,4,6,5,3,4,7,5,6,7,8,9,11,8,9,11,11,10,7,6,4,4,3,2,0
2022-03-05 09:00:00,5,10,15,22,28,23,25,30,33,32,32,28,20,15,24,22,26,22,23,24,22,19,17,14,15,14,14,13,12,8,9,8,10,10,11,12,11,9,11,9,8,8,5,2,5,4,4,7,2,7,8,10,16,20,19,21,24,24,26,26,25,20,18,15,13,12,10,12,6,6,5,6,5,7,8,7,5,6,5,5,7,8,6,7,4,6,4,3,2,0,0
2022-03-05 10:00:00,4,8,13,16,23,24,27,29,36,38,38,32,20,17,20,23,25,26,24,22,18,19,18,17,15,14,15,19,15,14,13,12,13,14,12,13,18,14,14,10,6,8,6,4,2,2,3,7,5,7,8,11,14,18,23,25,26,24,26,24,21,20,17,18,15,12,10,11,7,10,10,15,14,12,6,12,11,12,11,9,8,8,11,10,5,7,4,4,2,0,0
2022-03-05 11:00:00,3,7,11,16,24,25,22,24,26,25,23,24,22,22,21,22,28,29,28,27,24,19,19,22,16,17,12,16,18,20,20,19,21,24,27,25,24,25,25,26,21,17,15,4,1,4,8,15,0,20,22,21,21,19,24,26,33,32,36,42,38,35,24,18,27,22,21,18,19,20,22,21,19,19,19,18,11,17,15,13,14,15,17,16,12,10,6,6,2,0,0
2022-03-05 12:00:00,2,6,9,12,18,21,24,21,19,20,20,21,15,16,18,15,18,17,17,19,23,22,18,19,16,17,21,14,17,21,22,21,18,19,20,22,21,19,23,21,19,15,13,13,9,8,9,11,10,11,13,16,16,18,22,22,23,23,24,26,21,19,25,21,19,19,19,21,16,19,19,20,19,18,17,17,18,21,20,20,17,18,17,15,15,15,14,13,10,1,0
2022-03-05 13:00:00,1,7,11,16,19,22,26,25,24,22,23,27,21,24,23,21,20,19,18,19,22,19,21,23,23,21,20,25,25,28,27,22,22,27,26,25,25,23,20,20,19,14,11,6,5,5,3,7,0,12,15,14,18,22,23,22,24,24,23,26,23,24,23,23,25,22,21,24,23,22,23,27,30,28,22,21,20,22,17,16,12,14,13,11,12,10,10,8,7,3,0
