Unnamed: 0,1_진관공영차고지,2_동산동능모퉁이.한국지역난방공사,3_은평뉴타운10단지,4_구파발역입구,5_구파발(가상),6_구파발역2번출구,7_롯데캐슬823동앞,8_진관중고교.약수사앞,9_아이파크714동앞,10_아이파크701동앞,11_푸르지오604동앞,12_푸르지오614동앞,13_삼천리골입구56사단북한산부대,14_입곡삼거리,15_하나고.삼천사.진관사입구,16_제각말5단지.은평뉴타운도서관,17_신도중학교,18_폭포동.은평노인종합복지관,19_은평경찰서,20_연신초등학교,21_불광지구대,22_새장골유래비,23_연서시장,24_연신내역,25_동명여고,26_불광역3.6호선,27_양광교회앞,28_불광역.불광1동주민센터,29_독박골.북한산래미안APT앞,30_구기터널입구,31_구기터널.삼성출판박물관,32_구기동,33_국민은행세검정지점,34_화정박물관,35_서울예술고등학교.평창동주민센터,36_예능교회,37_벽산평창힐스아파트,38_롯데아파트,39_평창동삼성아파트,40_국민대앞,41_청덕초등학교,42_북악중학교,43_봉국사,44_정릉2동주민센터,45_숭덕초교,46_정릉길음시장,47_돈암동삼성아파트입구,48_돈암1동주민센터,49_종암사거리,50_종암경찰서,51_종암동주민센터,52_숭례초교,53_고대앞,54_우신향병원,55_종암초등학교앞,56_용두시장앞,57_용두동한국의류시험연구원,58_신설동역,59_신설동역1번출구,60_대광고등학교앞,61_안암오거리,62_우신향병원,63_고려대학교앞,64_숭례초등학교,65_종암동주민센터,66_종암경찰서,67_돈암1동주민센터,68_길음역,69_길음뉴타운10단지.라온유아파트,70_숭덕초교,71_정릉2동주민센터,72_봉국사,73_고려대사범대학부속고등학교,74_청덕초교,75_국민대학교앞,76_롯데아파트,77_일성아파트,78_평창동주민센터,79_평창파출소,80_갑을씨티텔앞,81_국민은행세검정지점,82_구기동,83_구기터널.삼성출판박물관,84_구기터널입구,85_독박골.북한산래미안APT,86_불광역.불광1동주민센터,87_불광역1번출구,88_불광역3.6호선,89_동명여고,90_연신내역,91_연서시장,92_종로약국,93_불광지구대,94_북한산대창센시티아파트,95_은평경찰서,96_폭포동,97_은평노인종합복지관.신도중학교,98_기자촌11단지앞,99_제각말5단지.은평뉴타운도서관,100_하나고.삼천사.진관사입구,101_삼천리골입구56사단북한산부대,102_푸르지오621동앞,103_아이파크708동앞,104_진관중고교.약수사앞,105_래미안909동앞,106_구파발역.롯데몰,107_구파발역입구,108_은평뉴타운10단지,109_진관공영차고지,50_종암사거리입구,66_종암사거리입구
2022-03-05 04:00:00,0,0,1,0,0,2,0,0,1,0,1,2,0,0,0,1,0,0,0,2,0,3,0,2,0,3,4,5,0,4,0,0,6,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-03-05 05:00:00,0,0,1,0,0,1,0,0,1,3,2,0,0,1,0,2,1,3,2,4,6,4,4,5,5,0,4,6,0,3,4,7,11,14,13,13,5,15,0,2,14,15,3,7,15,14,11,0,10,9.0,8,8,6,5,1,4,4,4,5,1,3,4,5,7,4,9.0,0,9,11,14,18,0,17,4,5,1,18,0,19,18,0,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-03-05 06:00:00,0,0,0,1,0,4,1,3,2,1,1,3,0,0,2,3,4,0,3,6,6,4,3,4,5,6,8,12,8,2,6,4,11,9,6,7,6,6,3,5,4,9,0,5,6,3,4,4,2,3.0,4,5,4,3,1,2,1,0,6,5,1,2,3,4,5,6.0,3,8,8,8,9,8,8,9,8,7,5,6,7,6,10,11,5,3,9,14,8,7,5,4,6,5,3,7,3,2,5,2,3,2,0,5,9,5,9,2,1,0,0,,
2022-03-05 07:00:00,0,1,3,1,0,3,0,1,2,4,2,0,0,3,3,5,3,5,6,11,12,11,7,6,8,8,10,15,14,13,9,16,15,13,11,12,11,5,13,13,5,12,11,10,11,6,10,7,9,6.0,7,6,4,5,4,3,2,2,3,4,3,4,6,3,7,10.0,11,11,12,12,13,11,13,12,13,9,11,13,13,11,8,14,16,3,15,14,4,4,5,4,4,0,4,5,5,0,4,2,3,2,3,7,8,8,7,1,0,0,0,,
2022-03-05 08:00:00,2,1,2,1,0,13,11,8,5,5,6,6,4,7,8,8,8,9,12,17,19,18,8,10,8,7,9,16,16,15,16,18,15,16,14,12,12,11,10,10,12,14,6,13,15,21,14,16,14,16.0,13,11,9,8,7,6,3,3,2,3,2,2,3,7,8,15.0,13,15,17,18,16,18,17,17,17,15,10,17,20,21,23,21,14,13,19,16,10,9,8,9,11,13,11,11,11,6,10,9,9,4,4,7,12,15,8,1,0,0,0,,
2022-03-05 09:00:00,0,1,0,1,0,9,8,0,7,8,9,12,10,11,8,11,10,13,13,18,24,19,14,12,15,11,18,27,26,22,23,28,30,26,19,18,16,17,16,14,15,18,16,14,12,13,10,9,8,8.0,7,9,7,7,6,3,6,2,3,4,3,5,6,7,11,12.0,12,20,21,25,27,28,29,25,31,33,25,37,38,29,38,36,32,29,27,15,15,15,13,10,14,16,13,17,18,15,15,17,14,5,3,9,15,17,16,2,0,0,0,,
2022-03-05 10:00:00,0,1,1,0,0,13,8,7,7,9,5,12,13,12,8,13,14,13,12,19,20,18,9,12,12,10,13,28,36,26,28,32,34,33,32,30,29,27,20,17,19,18,7,17,17,15,10,10,8,7.0,10,6,5,3,4,3,3,2,3,2,1,4,7,6,9,10.0,9,13,17,19,19,17,18,16,17,18,19,19,21,23,24,26,20,0,27,22,15,13,12,18,34,29,33,33,33,22,33,30,25,5,6,9,14,13,11,2,1,0,0,,
2022-03-05 11:00:00,3,4,0,1,3,11,12,10,9,10,9,8,0,5,13,12,13,13,13,17,19,17,12,16,16,17,16,27,26,32,23,25,25,22,19,20,17,19,14,19,15,19,18,19,19,21,18,18,15,10.0,12,10,9,6,6,2,4,4,5,4,6,6,4,8,13,15.0,13,14,18,20,20,19,20,21,24,26,20,23,25,27,25,27,29,27,27,22,17,13,11,11,18,17,17,15,15,14,15,14,13,8,7,10,20,22,19,2,1,0,0,,
2022-03-05 12:00:00,0,1,1,0,0,13,12,11,13,10,9,7,7,9,12,21,22,20,14,21,20,19,17,13,13,12,19,24,24,20,26,30,31,28,25,24,23,20,19,23,25,26,26,24,25,25,19,17,17,11.0,12,10,7,6,6,3,5,3,4,7,10,11,12,14,11,17.0,10,22,20,21,21,17,18,19,22,22,29,32,36,29,37,37,40,28,40,29,28,28,23,21,33,33,29,27,25,20,18,11,10,10,6,12,18,21,20,2,1,0,0,,
2022-03-05 13:00:00,1,0,1,1,0,15,13,11,10,8,8,8,5,9,15,18,17,5,18,20,20,17,14,15,11,13,17,21,21,14,29,33,18,30,28,29,29,30,33,35,35,36,25,32,27,25,18,16,15,14.0,14,14,10,9,8,5,4,3,4,6,5,5,10,8,14,16.0,15,17,10,19,21,22,16,23,24,20,24,27,33,34,31,33,34,36,34,27,23,21,19,18,23,22,20,20,16,0,19,18,13,11,10,14,20,23,21,2,0,0,0,,
