Unnamed: 0,1_덕은동종점,2_덕은동입구,3_대덕동주민센터,4_월드컵파크9.10.11.12단지,5_DMC첨단산업센터,6_수색교,7_수색역앞,8_디지털미디어시티역,9_북가좌동삼거리,10_DMC래미안e.편한세상요진아파트,11_모래내시장.가좌역,12_사천교,13_연희104고지앞.구성산회관,14_서대문우체국,15_연세대앞,16_세브란스병원앞,17_이대후문,18_영천시장,19_서대문역,20_경찰청.동북아역사재단,21_서울역버스환승센터,22_갈월동,23_숙대입구역,24_삼각지역,25_KT용산지사,26_신용산역,27_한강대교북단.LG유플러스,28_노들섬,29_상도터널노량진동,30_상도터널상도동,31_상도시장,32_상도동중앙하이츠빌.상도전통시장,33_숭실대입구역,34_봉현초등학교,35_성현동동아아파트,36_봉원중학교.행운동우성아파트,37_봉천사거리.위버폴리스,38_관악구청,39_관악경찰서.관악소방서,40_서울여상.서울문영여중고앞,41_서울대학교치과병원.동물병원,42_서울대학교,43_서울대학교치과병원.동물병원,44_서울여상.서울문영여중고앞,45_관악구청,46_봉천사거리.봉천중앙시장,47_봉원중학교.행운동우성아파트,48_관악푸르지오아파트,49_봉천고개.관악현대아파트,50_숭실대입구역,51_상도동중앙하이츠빌.상도전통시장,52_상도시장,53_상도터널상도동,54_상도터널노량진동,55_노들섬,56_한강대교북단.LG유플러스,57_신용산역,58_KT용산지사,59_삼각지역,60_숙대입구역,61_갈월동,62_경찰청.동북아역사재단,63_서대문.서울시교육청,64_독립문(가상),65_독립문공원.극동아파트,66_이대후문,67_세브란스병원앞,68_연세대앞,69_서대문우체국,70_연희104고지앞.구성산회관,71_사천교,72_모래내시장.가좌역,73_DMC래미안e.편한세상요진아파트,74_북가좌동삼거리,75_디지털미디어시티역,76_수색역앞,77_수색교,78_DMC첨단산업센터,79_월드컵파크9.10.11.12단지,80_대덕동주민센터,81_덕은동입구,82_덕은동종점
2022-03-05 04:00:00,0,0,0,0,1,1,2,3,3,4,7,8,8,5,4,3,2,7,4,6,3,2,0,0,0,2,0,0,1,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,1,0,1,1,2,3,4,3,4,4,6,5,6,6,6,6,8,4,7,4,4,5,1,2,2,3,4,3,5,2,4,2,7,4,4,2,1,0,0,0,2,3,0,2,5,6,8,7,8,9,8,11,8,0,8,12,0,11,14,15,10,12,0,14,13,12,11,12,16,18,0,19,21,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,0,0,0,0,0,0,0,0,5,6,7,0,0,0,6,7,5,6,5,6,3,3,5,0,4,1,6,5,4,4,4,3,3,2,1,2,0,1,1,2,0,4,6,9,12,10,8,11,8,11,12,8,9,10,6,6,10,10,7,2,6,4,5,5,8,10,8,8,7,9,20,13,6,5,0,2,4,0,0
2022-03-05 07:00:00,0,2,6,7,10,11,12,2,3,7,6,5,6,9,12,11,8,9,15,12,9,9,10,12,11,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,7,8,0,0,4,5,4,5,6,10,6,4,3,4,3,3,1,0,2,0,1,1,2,3,2,0,1,0,0,0,0
2022-03-05 08:00:00,0,0,0,2,6,7,8,11,13,16,17,19,19,20,17,16,15,20,18,15,10,8,7,13,11,12,12,12,13,15,12,10,15,13,12,11,7,8,2,1,6,1,1,0,5,6,11,18,19,15,18,22,24,23,0,14,10,9,8,7,8,6,5,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 09:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,15,14,15,9,6,7,6,7,9,10,8,12,15,13,8,15,16,18,13,8,9,10,9,6,2,2,3,8,13,21,25,28,22,27,29,27,28,25,28,21,19,16,15,18,13,11,9,16,12,6,5,4,4,2,5,4,4,4,3,0,1,0,2,0,0
2022-03-05 10:00:00,1,0,2,4,6,11,13,12,13,14,11,12,13,14,15,16,18,15,19,19,15,6,4,5,4,5,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,16,17,18,17,21,13,20,18,17,17,19,18,13,9,10,9,9,2,4,5,4,3,5,3,4,7,4,2,1,0,0,0,0
2022-03-05 11:00:00,0,1,3,4,6,7,10,11,13,16,16,16,15,16,16,22,23,26,28,28,15,16,15,15,14,22,21,10,19,20,21,18,17,16,17,12,6,4,0,0,3,6,0,5,9,8,7,13,18,19,20,0,12,0,0,13,5,0,6,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022-03-05 12:00:00,0,0,0,0,0,0,7,6,7,10,10,12,10,12,11,18,25,28,27,26,22,22,22,25,25,23,25,11,26,22,17,16,17,17,14,11,8,7,2,2,1,3,2,2,8,17,20,27,29,25,25,31,38,39,38,34,30,28,21,21,21,15,15,13,22,23,21,21,13,10,7,11,7,8,6,4,3,2,1,0,0,0
2022-03-05 13:00:00,0,1,0,3,4,3,3,7,9,10,13,15,20,19,22,25,23,20,18,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,6,5,3,15,0,0,9,11,17,15,18,19,21,23,32,33,34,24,27,25,21,19,19,18,15,14,19,18,17,17,13,12,11,11,9,6,5,2,0,0,1,0,0,0
2022-03-05 14:00:00,0,3,0,6,5,6,8,11,10,10,10,7,12,14,19,20,22,24,23,23,19,19,13,18,15,26,26,18,19,14,18,20,20,17,9,15,8,4,3,1,1,3,4,2,1,7,8,5,8,7,9,9,15,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,4,3,3,2,1,1,2,0,0,0,0,0,0
2022-03-05 15:00:00,0,0,0,0,8,0,9,9,0,2,4,5,8,9,11,12,27,23,21,18,19,19,20,22,22,23,20,26,25,18,18,19,29,27,23,16,10,4,2,0,2,11,12,10,13,18,21,25,26,28,37,39,43,39,37,32,26,24,19,21,19,15,17,16,21,19,15,13,11,6,5,6,5,4,2,1,3,0,1,0,0,0
2022-03-05 16:00:00,0,9,1,10,0,5,11,9,10,9,6,10,12,8,14,15,17,13,12,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,3,1,1,0,0,6,7,7,11,16,19,22,21,25,26,30,29,23,28,26,23,19,17,14,16,17,16,14,17,16,17,21,11,16,13,12,10,9,8,5,4,3,2,0,0,0
2022-03-05 17:00:00,0,2,3,4,5,7,5,3,4,5,5,6,10,11,16,18,26,24,25,30,22,15,20,31,29,30,23,10,23,20,16,15,21,20,15,12,5,1,0,0,0,3,4,3,4,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,9,10,10,11,6,7,9,8,4,3,1,1,0,0,0,0
2022-03-05 18:00:00,1,2,0,5,4,2,6,8,9,9,9,5,7,11,14,17,29,21,21,24,20,19,20,23,17,30,29,31,31,31,27,25,27,22,19,10,10,3,1,2,0,4,5,3,6,15,14,13,11,12,14,16,23,23,10,24,18,18,20,17,17,14,15,14,15,12,5,13,15,15,10,11,10,0,8,8,9,3,2,0,0,0
2022-03-05 19:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,5,0,9,11,14,12,9,8,9,15,10,9,6,4,2,1,0,0,1,2,0,5,7,10,8,9,7,0,8,10,8,0,22,20,17,16,18,18,13,12,10,10,11,12,13,9,7,5,7,6,4,5,4,4,1,0,0,0,0
2022-03-05 20:00:00,0,0,0,2,0,0,0,4,5,4,4,5,5,5,6,6,9,7,8,7,8,7,8,4,0,11,14,0,14,11,10,4,8,6,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,4,5,0,0,7,9,0,8,9,8,6,7,9,9,10,6,12,10,6,8,6,7,4,5,3,2,1,0,0,0,0
2022-03-05 21:00:00,0,0,0,0,0,1,2,1,2,2,3,5,6,7,12,11,16,15,16,15,15,16,15,20,16,22,23,16,23,15,15,13,15,10,9,8,6,2,0,0,0,1,1,0,5,9,10,7,6,7,9,9,7,8,0,7,7,5,5,12,11,10,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,5,6,8,16,4,24,23,0,22,20,17,13,15,9,10,7,4,3,1,0,0,1,2,0,7,9,5,10,11,8,8,8,14,9,10,11,12,11,11,11,10,10,11,8,10,9,9,13,14,16,14,11,8,6,2,7,1,5,0,0,0,0
2022-03-05 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,4,6,7,7,6,3,6,6,9,9,8,4,3,0,2,3,3,0,0,2,0,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,0,0,0,0,2,3,2,2,3,2,0,8,7,3,2,6,7,8,8,7,0,8,9,0,8,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,0,0,1,0,2,3,5,2,4,8,9,10,0,8,5,6,7,4,3,3,0,3,4,3,4,0,3,5,6,5,5,6,5,6,5,3,2,0,1,0,0,0,0,1,4,1,3,4,3,1,2,4,4,0,3,0,3,4,5,6,2,1,0,1,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2022-03-06 06:00:00,0,0,0,1,0,0,0,2,0,2,3,4,5,2,6,6,0,9,6,8,5,4,4,8,7,2,3,2,0,3,9,10,10,1,4,3,2,0,2,0,0,1,0,0,1,2,3,4,6,3,2,5,6,6,0,5,3,0,7,9,9,4,0,5,2,4,3,3,2,3,3,2,1,1,8,7,0,0,0,4,0,0
