Unnamed: 0,1_은평공영차고지,2_덕은교.은평차고지앞,3_수색교,4_수색역앞,5_디지털미디어시티역,6_북가좌동삼거리,7_DMC래미안e.편한세상요진아파트,8_모래내시장.가좌역,9_사천교,10_연희104고지앞.구성산회관,11_서대문우체국,12_연세대앞,13_세브란스병원앞,14_이대후문,15_영천시장,16_서대문역,17_경찰청.동북아역사재단,18_서울역버스환승센터,19_갈월동,20_숙대입구역,21_삼각지역,22_KT용산지사,23_신용산역,24_한강대교북단.LG유플러스,25_노들섬,26_상도터널노량진동,27_상도터널상도동,28_상도시장,29_상도동중앙하이츠빌.상도전통시장,30_숭실대입구역,31_봉현초등학교,32_성현동동아아파트,33_봉원중학교.행운동우성아파트,34_봉천사거리.위버폴리스,35_관악구청,36_관악경찰서.관악소방서,37_서울여상.서울문영여중고앞,38_서울대학교치과병원.동물병원,39_서울대학교,40_서울대학교치과병원.동물병원,41_서울여상.서울문영여중고앞,42_관악구청,43_봉천사거리.봉천중앙시장,44_봉원중학교.행운동우성아파트,45_관악푸르지오아파트,46_봉천고개.관악현대아파트,47_숭실대입구역,48_상도동중앙하이츠빌.상도전통시장,49_상도시장,50_상도터널상도동,51_상도터널노량진동,52_노들섬,53_한강대교북단.LG유플러스,54_신용산역,55_KT용산지사,56_삼각지역,57_숙대입구역,58_갈월동,59_경찰청.동북아역사재단,60_서대문.서울시교육청,61_독립문(가상),62_독립문공원.극동아파트,63_이대후문,64_세브란스병원앞,65_연세대앞,66_서대문우체국,67_연희104고지앞.구성산회관,68_사천교,69_모래내시장.가좌역,70_DMC래미안e.편한세상요진아파트,71_북가좌동삼거리,72_디지털미디어시티역,73_수색역앞,74_수색교,75_덕은교.은평차고지앞,76_은평공영차고지(가상)
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,2,1,2,3,5,6,7,7,6,7,4,4,8,6,7,6,4,2,3,4,0,5,0,0,5,4,4,5,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,0,2,0,3,4,6,7,9,6,8,7,5,8,11,13,15,6,4,3,4,3,5,4,0,5,5,6,6,7,3,3,7,6,3,0,0,1,2,1,1,3,3,4,5,7,6,8,9,11,11,0,11,7,6,5,7,8,7,8,0,8,7,5,0,3,1,3,2,0,0,2,0,0,0,0
2022-03-05 08:00:00,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,4,3,1,0,1,0,1,0,1,2,4,6,5,8,12,14,15,14,9,5,13,14,11,9,10,14,11,9,5,11,8,7,6,6,4,3,3,4,1,0,1,0,0,0
2022-03-05 09:00:00,2,4,4,5,8,9,12,9,15,14,16,13,15,17,20,19,18,11,13,15,23,22,22,0,0,22,14,13,13,15,15,14,11,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,3,0,1,1,0,0,0,0
2022-03-05 10:00:00,1,3,2,2,4,6,9,9,10,10,10,9,11,12,17,16,13,12,11,13,15,14,16,16,15,16,12,15,16,19,18,17,13,15,18,17,2,16,1,2,1,7,10,20,24,25,24,26,29,28,28,29,26,25,18,13,15,12,12,7,0,9,8,6,5,4,3,0,0,0,0,0,0,0,0,0
2022-03-05 11:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,19,18,14,11,11,13,10,4,2,3,0,1,1,0,1,4,9,16,20,29,24,26,25,28,25,28,24,21,17,16,19,20,17,9,16,12,13,11,9,6,5,4,4,5,4,3,1,1,0,0
2022-03-05 12:00:00,1,3,2,5,6,6,3,9,11,13,14,15,18,25,25,18,18,12,12,13,12,15,15,15,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,4,5,1,7,9,6,9,8,8,7,6,7,6,7,4,5,4,0
2022-03-05 13:00:00,0,1,4,0,3,1,0,7,6,6,4,8,14,17,19,21,19,14,14,14,21,23,28,22,19,27,12,12,11,11,10,9,9,8,4,3,0,1,3,2,0,8,11,13,15,19,11,12,14,12,10,11,14,13,8,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
