Unnamed: 0,1_구산동사거리,2_한솔아파트입구선정중학교후문,3_갈현동미미아파트,4_선일여고입구,5_갈현동성당앞,6_갈현1동주민센터,7_갈현중앙시장,8_연신내역.로데오거리,9_은평연세병원,10_구산역4번출구,11_구산역3번출구.예일여고,12_역말사거리,13_역촌초등학교,14_응암역2번출구,15_응암역.신사오거리,16_신흥시장,17_새절역.숭실고입구,18_와산교,19_연서중학교입구,20_증산역.증산동주민센터,21_증산종합시장.증산중학교입구,22_북가좌동삼거리,23_DMC래미안e.편한세상요진아파트,24_모래내시장.가좌역,25_사천교,26_연희104고지앞.구성산회관,27_연남동,28_동교동삼거리,29_신촌역,30_신촌로터리,31_창전현대홈타운,32_광흥창역.서강동주민센터,33_여의도순복음교회,34_여의도공원,35_여의나루역,36_여의도공작아파트,37_한국거래소,38_여의도역,39_샛강역4번출구.여의도자이,40_공군호텔,41_서울지방병무청,42_서울공업고등학교,43_대림초등학교,44_성대시장,45_상도초등학교입구,46_동작문화복지센터.동작보건소,47_상도노빌리티아파트,48_상도시장,49_상도동중앙하이츠빌.상도전통시장,50_숭실대입구역,51_숭실대정문앞,52_숭실대정문앞,53_숭실대입구역,54_상도동중앙하이츠빌.상도전통시장,55_상도시장,56_상도노빌리티아파트,57_동작문화복지센터.동작보건소,58_장승배기역,59_상도초등학교입구,60_성대시장,61_대림초등학교,62_서울공업고등학교,63_강남중학교,64_서울지방병무청앞,65_공군호텔,66_샛강역1번출구.여의도자이,67_여의도역,68_한국거래소,69_삼부아파트,70_여의나루역,71_여의도순복음교회,72_광흥창역,73_마포세무서,74_광성중고등학교,75_서강대학교,76_신촌로터리,77_현대백화점,78_동교동삼거리연희동방면,79_연희동대우아파트,80_연희104고지앞.구성산회관,81_사천교,82_모래내시장.가좌역,83_DMC래미안e.편한세상요진아파트,84_북가좌동삼거리,85_증산종합시장.증산중학교입구,86_증산역.증산동주민센터,87_연서중학교입구,88_와산교,89_새절역.숭실고입구,90_신흥시장,91_응암역.신사오거리,92_역촌초등학교,93_역말사거리,94_구산역2번출구.예일여고,95_구산역1번출구,96_대조동주민센터,97_연신내역.로데오거리,98_갈현중앙시장,99_갈현동성당앞,100_선일여고입구,101_갈현동미미아파트,102_한솔아파트입구선정중학교후문,103_구산동사거리,104_선진운수종점
2022-03-05 04:00:00,0,1,1,2,0,3,4,9,11,4,10,13,14,16,15,16,16,17,16,15,15,17,0,18,17,0,16,15,15,16,15,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,1,2,1,0,5,6,5,6,4,5,7,11,10,9,9,10,12,8,13,16,16,13,10,11,8,5,8,7,8,9,10,9,6,4,5,6,4,1,2,2,0,2,1,5,0,4,2,0,1,0,0,2,3,0,0,4,6,5,5,8,9,11,12,12,11,9,9,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,2,0,0,3,3,2,6,0,2,5,8,6,9,9,11,10,10,11,11,12,13,17,0,15,5,10,14,10,9,8,9,6,0,0,5,2,2,0,3,3,0,2,2,2,3,4,2,0,0,0,2,2,0,3,4,5,6,8,9,3,4,11,5,10,8,5,5,4,8,8,5,0,0,6,4,3,3,4,3,4,2,3,4,2,0,0,0,0,5,4,3,5,6,5,5,2,1,0,0,0,0,0,0
2022-03-05 07:00:00,0,1,1,2,3,0,1,3,3,0,2,6,6,7,6,6,6,9,7,10,11,13,13,10,10,9,9,8,4,11,4,5,17,3,16,13,11,11,10,8,4,3,3,2,3,0,1,0,1,0,0,1,2,3,0,5,2,4,7,9,11,13,11,9,8,6,3,2,0,2,4,3,1,5,0,4,5,0,5,6,0,0,7,0,6,1,8,9,10,8,7,6,8,9,8,5,1,2,1,0,0,1,0,0
2022-03-05 08:00:00,1,2,0,3,4,6,5,12,10,11,15,18,18,16,15,16,12,15,13,14,15,14,11,10,12,10,13,12,12,13,14,16,12,8,7,5,4,10,8,5,5,4,8,18,20,16,18,3,17,14,1,2,5,8,10,12,12,10,12,12,13,14,13,10,14,11,10,8,6,7,12,10,5,10,8,4,7,4,6,6,7,8,10,11,3,9,7,11,12,12,11,13,14,12,13,12,5,2,3,2,0,1,0,0
2022-03-05 09:00:00,2,1,0,1,3,4,2,10,12,7,8,14,15,15,17,19,18,20,21,17,20,20,21,19,15,14,16,16,12,12,13,14,12,11,9,7,7,8,14,13,12,13,15,15,12,11,13,6,4,2,1,3,6,9,10,9,2,7,12,11,9,10,15,15,16,15,12,9,10,6,12,10,3,12,10,10,8,5,7,4,6,9,6,8,9,11,12,13,14,13,10,10,14,12,12,10,4,3,1,0,1,2,1,0
2022-03-05 10:00:00,2,0,1,2,3,3,4,8,9,12,14,18,19,18,21,20,18,18,16,20,17,22,23,25,24,12,21,18,15,13,14,17,13,12,11,9,11,11,12,12,13,8,10,15,13,10,8,6,11,4,5,7,6,12,14,16,19,19,15,15,16,22,23,21,22,18,13,12,7,8,7,6,5,7,4,6,5,5,7,4,4,7,8,9,8,8,7,9,13,14,13,14,15,9,15,13,5,1,0,1,2,1,0,0
2022-03-05 11:00:00,2,1,2,2,3,4,5,8,11,10,11,13,14,13,17,22,20,19,17,19,13,21,21,22,22,20,18,16,12,15,16,20,22,19,15,9,9,10,12,15,17,21,18,23,23,15,10,10,9,4,2,6,12,19,23,21,27,29,23,23,19,21,22,25,25,22,17,17,15,11,11,10,9,8,7,5,10,6,8,8,6,8,9,10,11,13,16,14,18,19,15,17,21,17,21,18,4,4,3,5,0,3,0,0
2022-03-05 12:00:00,3,2,4,3,5,4,7,15,16,16,18,21,21,22,28,28,19,21,19,20,22,22,23,25,24,21,19,16,15,17,14,17,18,14,13,11,12,15,17,15,17,15,18,17,18,18,18,15,13,11,2,8,9,13,14,22,28,31,30,26,31,35,33,27,36,27,26,23,20,22,22,21,21,6,0,20,20,14,12,11,6,10,9,11,9,13,15,14,17,18,21,25,42,35,31,20,7,5,1,3,2,2,0,0
2022-03-05 13:00:00,1,2,0,4,4,7,8,16,17,19,20,24,25,23,25,15,30,29,27,25,26,20,22,23,20,21,22,26,21,20,17,22,20,17,17,10,11,13,0,14,14,14,14,19,19,20,15,10,6,2,1,10,10,14,16,23,28,26,26,24,24,27,28,29,31,32,31,22,22,23,24,19,18,20,19,17,16,13,14,12,11,10,10,11,11,13,9,14,15,16,14,18,24,23,21,21,5,1,0,0,3,0,1,0
