Unnamed: 0,1_진관공영차고지,2_동산동능모퉁이.한국지역난방공사,3_은평뉴타운10단지,4_구파발역입구,5_박석고개.신도고등학교,6_세명컴퓨터고등학교,7_연신내역.로데오거리,8_은평연세병원,9_구산역2번출구.예일여고,10_하나은행역촌동지점,11_역촌역.역촌오거리,12_서부경찰서후문,13_신진과학기술고등학교,14_응암시장,15_응암3동주민센터,16_대림시장,17_동도하이츠아파트,18_KT가좌지사,19_북가좌2동주민센터,20_DMC래미안e.편한세상2.4단지,21_북가좌삼호.DMC아이파크아파트,22_DMC파크뷰자이별동상가,23_DMC파크뷰자이,24_모래내삼거리,25_모래내시장.가좌역,26_사천교,27_연희104고지앞.구성산회관,28_연남동,29_홍대입구역(가상),30_홍대입구역,31_서교동,32_합정역(가상),33_합정역,34_선유도공원,35_당산역,36_당산역삼성래미안아파트,37_삼환아파트,38_신화병원,39_영등포시장,40_영등포시장,41_영등포시장로터리방면,42_경방타임스퀘어.신세계백화점,43_영등포시장,44_신화병원,45_당산푸르지오아파트,46_당산역삼성래미안아파트,47_당산역,48_선유도공원,49_합정역(가상),50_합정역,51_서교동,52_홍대입구역(가상),53_홍대입구역,54_연희동대우아파트,55_연희104고지앞.구성산회관,56_사천교,57_모래내시장.가좌역,58_삼성래미안2차아파트,59_DMC파크뷰자이,60_동부센트레빌아파트,61_북가좌삼호.DMC아이파크아파트,62_모래내우체국.증가교회,63_북가좌초교사거리,64_북가좌2동주민센터,65_KT가좌지사,66_동도하이츠아파트,67_대림시장,68_응암3동주민센터,69_서서울농협본점,70_백련산SK뷰아이파크아파트,71_신진과학기술고등학교,72_서부경찰서후문,73_역촌역.역촌오거리,74_삼성타운,75_구산역1번출구.예일여고,76_구산역1번출구,77_대조동주민센터,78_연신내역.로데오거리,79_세명컴퓨터고등학교,80_박석고개.신도고등학교,81_구파발역입구,82_은평뉴타운10단지,83_진관공영차고지
2022-03-05 04:00:00,0,1,0,2,2,4,6,7,6,3,9,11,13,13,15,17,0,16,17,14,14,15,14,13,12,11,13,14,12,14,14,0,18,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,2,1,5,6,7,4,4,8,10,9,7,7,7,6,5,6,6,18,8,17,9,13,7,14,12,11,10,10,9,7,10,0,12,11,10,6,8,0,6,3,4,0,4,5,6,0,5,3,0,4,7,8,8,2,6,6,0,6,0,0,3,1,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,1,1,1,4,6,8,5,8,7,8,6,8,8,7,7,5,7,6,5,6,6,6,5,7,6,5,6,5,6,5,4,5,0,3,4,5,1,2,2,2,3,3,3,0,0,3,0,2,3,4,3,5,5,6,6,7,8,4,2,1,3,2,3,4,4,4,6,7,8,9,10,9,5,7,2,5,4,3,2,2,0,0
2022-03-05 07:00:00,0,0,3,1,5,8,12,16,14,12,12,11,11,11,2,10,9,7,8,8,11,13,13,12,11,10,9,11,9,6,4,3,6,0,3,3,3,2,3,0,5,4,2,3,7,7,8,0,0,7,6,0,4,4,4,4,2,3,6,7,6,7,6,7,7,9,11,13,14,10,13,5,8,8,7,10,8,4,3,2,1,1,0
2022-03-05 08:00:00,0,1,4,4,7,13,15,18,19,16,15,12,10,12,13,15,15,15,14,16,15,19,20,19,16,15,14,15,12,9,7,4,7,5,8,6,7,4,3,1,2,3,3,4,8,5,5,0,4,5,5,0,7,6,6,5,6,5,5,6,6,6,9,9,13,14,17,18,19,17,17,16,15,16,14,14,11,6,5,4,2,1,0
2022-03-05 09:00:00,0,2,4,1,5,9,13,15,17,19,19,17,20,19,20,24,27,21,22,24,23,31,32,31,28,28,30,35,34,19,15,10,19,0,16,18,15,14,7,2,3,5,5,6,6,8,9,0,7,9,9,8,8,7,6,9,10,3,10,11,6,7,10,10,11,12,16,16,21,19,29,28,25,24,22,23,21,11,10,7,1,0,0
2022-03-05 10:00:00,0,1,2,3,6,5,15,17,21,18,18,17,16,18,18,16,15,13,15,17,20,20,22,23,23,21,18,25,19,16,11,11,12,0,19,20,18,19,13,6,3,12,9,10,15,12,15,8,14,11,10,8,6,8,6,9,14,15,14,14,12,13,12,16,18,12,17,13,19,24,24,28,31,28,25,22,20,10,10,7,1,0,0
2022-03-05 11:00:00,3,1,2,6,7,10,16,16,24,25,26,26,19,19,22,22,26,23,24,29,32,37,40,36,32,30,34,34,31,23,17,16,20,0,18,19,17,15,10,6,8,9,13,12,15,15,21,19,0,19,19,10,18,15,16,14,19,18,22,17,18,18,18,17,21,20,30,30,29,17,22,20,20,20,19,27,21,8,5,2,1,0,0
2022-03-05 12:00:00,0,6,7,7,9,11,21,21,23,24,25,23,23,25,24,29,32,33,29,34,35,36,36,37,36,31,29,33,32,22,16,19,18,0,16,15,19,18,14,6,7,18,24,24,29,25,27,22,25,22,18,17,17,17,17,16,16,15,14,15,17,17,20,20,25,23,27,26,31,30,31,33,32,29,25,23,22,11,6,4,3,2,0
2022-03-05 13:00:00,0,1,1,7,5,8,16,19,22,23,23,24,27,25,21,22,24,32,29,29,28,31,33,33,32,32,33,32,30,23,22,21,30,11,28,29,22,19,17,8,8,17,22,19,20,20,25,26,24,26,21,18,20,15,16,16,20,20,22,21,20,19,17,19,19,16,21,21,20,20,21,24,29,30,26,28,22,12,8,7,2,0,0
