Unnamed: 0,1_홍연2교(기점가상),2_연희파크푸르지오앞,3_홍연시장,4_홍연2교현대교통종점,5_명지대입구.신원지벤스타,6_명지대삼거리,7_명지대,8_DMC센트럴아이파크아파트,9_명지대사거리제일은행앞,10_백련시장,11_홍남교.서대문두바퀴환경센터,12_연희A지구아파트,13_연희동자치회관,14_연희3거리,15_연희교차로,16_연남동,17_홍대입구역(가상),18_홍대입구역,19_서교동,20_합정역(가상),21_합정역,22_선유도공원,23_선유고등학교,24_선유중학교,25_당중초등학교,26_오산당요양병원,27_교보앞,28_영등포구청,29_당중초등학교,30_선유중학교,31_선유고등학교,32_선유도공원,33_합정역(가상),34_합정역,35_서교동,36_홍대입구역(가상),37_홍대입구역,38_연희동대우아파트,39_연희교차로,40_연희동자치회관,41_연희A지구아파트,42_홍남교.자전거대여소앞,43_백련시장,44_명지대사거리국민은행앞,45_명지대,46_명지대삼거리,47_명지대입구.서울무용센터,48_홍연2교현대교통종점
2022-03-05 04:00:00,0,0,1,4,1,4,5,0,6,8,10,0,0,0,7,1,3,2,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,3,2,4,8,9,7,11,14,15,14,14,13,12,7,2,0,0,3,2,2,0,1,1,2,3,1,2,5,0,4,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,1,2,2,5,5,5,6,10,11,13,9,14,13,12,9,5,3,2,3,0,2,2,1,1,1,1,1,2,3,1,0,5,1,3,11,9,7,6,4,0,3,2,1,1,0,0
2022-03-05 07:00:00,0,0,2,3,4,6,8,10,14,18,9,12,20,23,27,24,22,7,5,5,5,3,3,3,2,1,2,0,4,5,5,4,3,5,1,3,10,11,10,8,7,7,6,3,2,0,0,0
2022-03-05 08:00:00,0,0,1,2,5,7,9,13,18,23,24,23,22,22,26,27,23,17,12,5,9,9,3,3,4,6,5,6,9,6,9,8,8,10,8,6,19,16,14,11,13,11,9,6,3,1,0,0
2022-03-05 09:00:00,0,0,2,4,5,14,25,28,31,36,38,41,39,43,46,40,33,17,13,9,7,0,7,4,3,1,4,5,5,6,8,7,6,8,7,4,24,22,16,16,16,13,9,6,2,0,0,0
2022-03-05 10:00:00,0,0,2,3,5,10,18,25,22,24,27,35,31,37,45,47,39,21,16,15,7,4,7,6,4,2,6,8,15,17,17,18,17,13,11,9,26,22,15,16,15,12,10,6,2,1,0,0
2022-03-05 11:00:00,0,1,3,5,8,12,18,29,25,32,37,38,39,51,56,54,48,35,21,16,11,8,12,9,7,6,9,7,9,13,17,13,15,16,16,15,25,25,23,21,18,16,13,7,4,3,1,0
2022-03-05 12:00:00,0,0,1,3,4,9,17,22,28,38,43,42,43,47,56,52,48,28,24,19,15,14,10,12,6,3,6,7,14,17,20,0,17,22,18,16,25,25,22,23,22,17,13,11,5,2,0,0
2022-03-05 13:00:00,0,0,2,6,8,11,18,21,30,35,28,39,47,50,55,54,47,22,16,14,18,0,14,11,5,7,5,6,11,13,22,19,19,26,26,24,31,29,24,19,13,12,4,7,6,2,2,0
2022-03-05 14:00:00,0,0,4,9,10,14,17,22,25,31,31,32,36,36,55,50,35,28,18,16,13,4,13,12,9,8,5,8,11,14,16,17,16,18,17,17,33,29,24,19,13,19,15,8,5,3,1,0
2022-03-05 15:00:00,0,0,2,3,4,12,23,25,30,37,41,45,47,55,62,56,52,30,21,19,22,8,21,19,6,6,6,7,16,13,22,22,16,28,31,25,42,34,29,23,22,17,16,13,5,1,1,0
2022-03-05 16:00:00,0,0,4,7,10,12,21,25,29,32,35,37,41,45,61,55,50,29,22,21,18,13,12,8,5,4,9,6,13,14,18,18,16,31,29,26,41,36,30,23,22,21,15,9,4,3,1,1
2022-03-05 17:00:00,0,0,2,6,7,17,24,26,29,32,33,34,33,36,47,45,40,40,26,24,19,21,17,11,6,5,4,4,8,10,13,0,12,33,35,31,43,26,23,21,20,17,15,12,7,3,2,0
2022-03-05 18:00:00,0,0,3,4,4,6,10,12,15,21,22,22,24,32,45,46,40,22,17,15,14,0,14,9,5,4,5,8,18,19,23,0,21,23,26,25,48,37,32,32,31,26,23,16,8,2,2,0
2022-03-05 19:00:00,0,1,0,3,2,7,11,14,16,17,19,16,21,32,33,31,26,11,9,7,13,12,9,8,6,5,5,6,13,7,14,8,13,24,25,24,47,39,29,28,26,25,19,16,10,5,2,0
2022-03-05 20:00:00,0,0,0,2,3,7,10,8,12,13,10,13,13,16,22,25,21,17,14,10,13,0,9,6,6,5,2,3,4,5,8,10,7,16,18,11,31,25,25,24,19,20,15,14,8,2,0,0
2022-03-05 21:00:00,0,0,1,2,3,4,8,7,8,13,9,12,11,17,22,21,19,10,9,7,9,0,7,4,4,2,4,5,8,5,4,4,3,17,21,12,43,40,36,32,30,27,23,17,11,4,2,0
2022-03-05 22:00:00,0,0,2,0,0,3,4,5,6,3,2,3,4,7,12,10,8,12,12,7,14,0,10,7,5,2,3,2,4,5,5,0,4,19,25,14,53,47,44,31,29,24,19,14,6,4,1,0
2022-03-05 23:00:00,0,0,0,1,1,0,2,0,5,7,6,3,0,8,7,7,5,8,9,1,15,0,11,9,5,5,3,4,5,2,10,0,9,24,34,0,55,50,40,39,37,34,32,27,10,7,4,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,1,0,0,2,2,3,5,3,0,2,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
