Unnamed: 0,1_덕은동종점,2_덕은동입구,3_대덕동주민센터,4_월드컵파크9.10.11.12단지,5_상암고등학교,6_월드컵파크5단지,7_상암DMC홍보관.YTN,8_상암초등학교,9_상암휴먼시아아파트,10_월드컵경기장북측,11_성산아파트,12_성산119안전센터,13_성산2동주민센터,14_중동초등학교,15_성산2교,16_성미약수터,17_경성중고.홍대부속여중고입구,18_서울도시가스마포사옥,19_서서울농협홍대역점,20_홍대입구역,21_홍대입구역,22_동교로사거리,23_서울도시가스마포사옥,24_경성중고.홍대부속여중고입구,25_성미약수터,26_성산2교,27_중동초등학교,28_성산2동주민센터,29_성산119안전센터,30_성산아파트,31_월드컵경기장북측,32_디지털미디어시티역2번출구,33_상암휴먼시아아파트,34_상암초등학교,35_상암DMC홍보관.YTN,36_누리꿈스퀘어.MBC,37_월드컵파크5단지.상암중고등학교입구,38_월드컵파크9.10.11.12단지,39_대덕동주민센터,40_덕은동입구,41_덕은동종점
2022-03-05 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-05 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,3.0,5.0,7.0,6.0,7.0,2.0,5.0,1.0,8.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-03-05 06:00:00,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,5.0,0.0,0.0,2.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,11.0,10.0,11.0,10.0,9.0,8.0,0.0,0.0
2022-03-05 07:00:00,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-03-05 08:00:00,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,4.0,4.0,5.0,5.0,9.0,0.0,4.0,8.0,0.0,2.0,4.0,0.0,5.0,2.0,4.0,1.0,3.0,2.0,0.0,0.0,10.0,9.0,7.0,6.0,3.0,2.0,0.0,1.0,0.0,0.0
2022-03-05 09:00:00,0.0,1.0,0.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,7.0,10.0,12.0,15.0,16.0,16.0,15.0,7.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,2.0,5.0,4.0,8.0,7.0,6.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0
2022-03-05 10:00:00,0.0,0.0,0.0,4.0,6.0,4.0,4.0,5.0,6.0,0.0,7.0,7.0,11.0,12.0,12.0,11.0,12.0,14.0,13.0,1.0,6.0,7.0,8.0,6.0,6.0,5.0,5.0,0.0,2.0,3.0,2.0,12.0,11.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
2022-03-05 11:00:00,0.0,1.0,2.0,2.0,2.0,3.0,5.0,7.0,9.0,11.0,0.0,14.0,15.0,13.0,15.0,19.0,20.0,18.0,16.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,2.0,4.0,0.0,8.0,7.0,8.0,5.0,1.0,0.0,0.0,0.0
2022-03-05 12:00:00,0.0,1.0,0.0,3.0,5.0,4.0,5.0,6.0,6.0,8.0,9.0,9.0,8.0,8.0,7.0,8.0,9.0,7.0,15.0,1.0,5.0,5.0,0.0,5.0,4.0,4.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-03-05 13:00:00,0.0,1.0,0.0,10.0,11.0,14.0,15.0,7.0,4.0,14.0,13.0,12.0,12.0,11.0,14.0,18.0,19.0,17.0,13.0,0.0,4.0,5.0,1.0,0.0,6.0,7.0,3.0,5.0,6.0,5.0,4.0,6.0,2.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
2022-03-05 14:00:00,0.0,0.0,0.0,5.0,0.0,4.0,5.0,6.0,8.0,0.0,11.0,14.0,15.0,17.0,11.0,7.0,10.0,16.0,15.0,0.0,8.0,9.0,10.0,11.0,4.0,9.0,8.0,6.0,0.0,0.0,4.0,7.0,5.0,10.0,9.0,7.0,5.0,0.0,0.0,0.0,0.0
2022-03-05 15:00:00,0.0,3.0,0.0,6.0,5.0,6.0,8.0,9.0,11.0,9.0,6.0,8.0,9.0,10.0,9.0,8.0,8.0,5.0,5.0,0.0,9.0,9.0,11.0,10.0,3.0,0.0,8.0,4.0,7.0,2.0,5.0,6.0,5.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0
2022-03-05 16:00:00,0.0,9.0,0.0,13.0,0.0,12.0,11.0,15.0,18.0,17.0,18.0,19.0,22.0,18.0,19.0,18.0,20.0,16.0,18.0,0.0,10.0,10.0,8.0,9.0,10.0,9.0,7.0,7.0,5.0,0.0,0.0,13.0,6.0,5.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0
2022-03-05 17:00:00,0.0,1.0,0.0,3.0,4.0,2.0,0.0,6.0,0.0,7.0,7.0,10.0,8.0,21.0,22.0,24.0,23.0,20.0,17.0,0.0,3.0,11.0,0.0,12.0,10.0,9.0,7.0,3.0,2.0,3.0,0.0,4.0,0.0,9.0,8.0,9.0,7.0,2.0,0.0,0.0,0.0
2022-03-05 18:00:00,0.0,0.0,0.0,2.0,3.0,3.0,2.0,4.0,5.0,0.0,2.0,2.0,0.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,13.0,16.0,19.0,0.0,18.0,16.0,11.0,10.0,8.0,9.0,0.0,11.0,10.0,6.0,5.0,5.0,6.0,1.0,0.0,0.0,0.0
2022-03-05 19:00:00,0.0,0.0,0.0,5.0,5.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,5.0,3.0,0.0,7.0,12.0,5.0,0.0,13.0,11.0,10.0,7.0,8.0,7.0,0.0,9.0,8.0,8.0,6.0,2.0,8.0,0.0,0.0,0.0,0.0
2022-03-05 20:00:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,6.0,4.0,6.0,4.0,4.0,4.0,0.0,6.0,10.0,6.0,8.0,8.0,9.0,6.0,0.0,0.0,0.0,0.0
2022-03-05 21:00:00,0.0,0.0,0.0,3.0,4.0,7.0,3.0,4.0,2.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,8.0,5.0,7.0,8.0,6.0,5.0,4.0,1.0,3.0,3.0,4.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0
2022-03-05 22:00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,9.0,9.0,0.0,9.0,7.0,6.0,5.0,3.0,0.0,0.0,6.0,7.0,9.0,10.0,7.0,6.0,0.0,0.0,0.0,0.0
2022-03-05 23:00:00,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,7.0,6.0,5.0,0.0,0.0,0.0,13.0,15.0,15.0,13.0,14.0,13.0,8.0,9.0,5.0,5.0,3.0,10.0,0.0,3.0,11.0,3.0,10.0,2.0,0.0,0.0,0.0
