Unnamed: 0,1_서부운수기점,2_KT가좌지사,3_동도하이츠아파트,4_응암정보도서관,5_서울중앙교회앞,6_은가어린이공원구150번종점,7_우성공인중개사,8_응암정보도서관,9_대림시장,10_응암3동주민센터,11_서서울농협본점,12_백련산SK뷰아이파크아파트,13_신진과학기술고등학교,14_본서부병원,15_은평세무서,16_은평구청,17_녹번역,18_녹번동대림JR아파트앞,19_녹번역,20_은평구청,21_은평세무서,22_본서부병원,23_신진과학기술고등학교,24_응암시장,25_응암3동주민센터,26_응암정보도서관,27_서울중앙교회앞,28_은가어린이공원구150번종점,29_우성공인중개사,30_응암정보도서관,31_대림시장,32_동도하이츠아파트,33_KT가좌지사,34_서부운수기점(가상)
2022-03-05 04:00:00,0,0,0,0,0,3,0,0,4,4,6,7,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,1,1,2,4,3,4,0,6,5,0,0,2,1,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,1,1,4,2,1,3,6,0,7,8,7,6,1,0,0,1,0,1,0,0,2,1,1,0,0,1,0,0,0,0,0
2022-03-05 07:00:00,0,0,0,0,0,2,3,0,2,5,7,8,10,4,7,6,0,0,2,0,3,0,0,0,2,0,3,2,0,1,0,0,0,0
2022-03-05 08:00:00,0,0,0,0,4,5,6,4,6,5,6,4,8,9,9,9,5,1,5,1,1,2,1,0,0,0,0,3,0,1,0,0,0,0
2022-03-05 09:00:00,0,0,0,0,5,11,12,13,12,14,15,0,14,13,15,13,1,1,3,6,5,6,2,3,2,0,2,3,0,0,2,0,0,0
2022-03-05 10:00:00,0,0,0,2,1,3,0,0,4,5,10,9,11,14,13,11,1,1,2,4,0,6,7,0,6,3,2,2,2,1,1,2,1,0
2022-03-05 11:00:00,0,0,0,3,1,3,5,5,8,0,11,12,5,11,11,11,0,3,8,5,5,4,5,4,2,5,6,3,0,2,1,0,0,0
2022-03-05 12:00:00,0,0,0,3,2,3,4,0,7,5,7,9,11,8,3,6,0,1,7,9,2,8,11,7,9,4,3,3,0,2,0,0,0,0
2022-03-05 13:00:00,0,0,1,2,1,4,7,2,6,6,7,4,6,8,6,3,2,0,1,0,2,4,6,7,7,7,5,2,0,1,1,0,0,0
2022-03-05 14:00:00,0,0,1,2,2,6,0,9,10,10,9,11,9,11,10,6,0,0,5,2,6,7,7,6,3,5,4,0,0,0,1,0,0,0
2022-03-05 15:00:00,0,2,0,1,2,4,0,1,7,9,9,7,6,3,5,5,1,0,3,0,5,7,6,6,5,6,5,1,0,0,1,0,0,0
2022-03-05 16:00:00,0,0,1,2,1,7,0,6,5,3,4,0,5,4,0,4,1,0,7,8,9,5,8,5,3,3,1,2,0,1,1,1,0,0
2022-03-05 17:00:00,0,3,0,4,3,5,0,3,6,8,7,6,1,12,15,13,2,0,7,4,9,10,12,11,9,6,2,1,0,0,0,0,0,0
2022-03-05 18:00:00,1,0,2,3,3,3,0,0,7,5,6,8,8,4,3,2,0,1,8,12,11,10,9,8,0,4,2,1,1,0,0,0,0,0
2022-03-05 19:00:00,0,3,2,4,0,0,1,0,3,4,5,0,4,5,7,5,3,0,3,0,4,6,6,7,4,6,4,1,0,0,0,0,0,0
2022-03-05 20:00:00,0,0,0,3,4,5,0,2,0,3,0,2,0,1,1,0,0,0,7,7,7,7,8,9,10,4,2,0,0,0,0,0,0,0
2022-03-05 21:00:00,0,1,0,0,0,0,0,5,5,0,6,0,5,3,5,4,2,0,4,5,0,6,4,3,2,8,6,0,0,0,0,0,0,0
2022-03-05 22:00:00,0,0,0,0,0,2,0,0,2,0,0,1,1,0,0,0,0,0,4,5,0,3,6,0,0,5,2,1,0,0,0,0,0,0
2022-03-05 23:00:00,0,2,0,0,0,0,0,0,5,7,0,7,6,5,3,0,0,0,3,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,0,0,1,0,2,0,2,3,1,4,0,0,0,0,3,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 06:00:00,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 07:00:00,0,0,1,0,0,3,5,0,0,6,7,8,7,3,0,4,0,2,2,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0
2022-03-06 08:00:00,1,2,1,0,2,4,5,5,6,8,9,13,17,19,17,9,1,1,4,6,5,2,0,0,1,0,0,1,0,0,0,0,0,0
2022-03-06 09:00:00,0,0,0,0,0,3,5,7,7,4,5,6,8,8,9,6,1,2,3,1,0,6,5,3,1,1,2,1,0,0,0,0,0,0
2022-03-06 10:00:00,0,1,0,1,0,4,0,5,6,0,7,4,0,6,5,3,1,1,2,0,5,6,6,5,2,3,0,1,1,0,2,0,0,0
2022-03-06 11:00:00,0,0,0,0,1,5,0,0,5,0,0,6,0,7,0,5,1,0,1,2,2,3,0,1,2,1,0,2,0,0,0,0,0,0
2022-03-06 12:00:00,0,2,0,2,3,3,0,6,5,1,5,5,7,0,3,6,1,0,1,2,0,1,1,0,2,4,3,1,0,0,4,0,0,0
2022-03-06 13:00:00,0,0,1,0,2,5,7,6,12,12,11,0,13,13,11,7,1,1,3,3,5,6,10,11,9,7,8,2,0,1,0,0,0,0
2022-03-06 14:00:00,0,1,4,2,1,3,2,0,8,7,10,11,6,0,5,4,0,1,2,3,0,6,5,4,1,0,1,0,0,0,0,0,0,0
2022-03-06 15:00:00,0,0,0,0,0,2,0,3,4,5,0,0,6,6,3,2,1,2,5,0,0,4,7,6,5,3,4,1,0,0,0,0,0,0
2022-03-06 16:00:00,0,0,2,4,2,3,2,0,6,5,0,0,6,5,0,3,2,1,7,0,8,10,11,12,8,5,5,1,0,0,0,0,0,0
2022-03-06 17:00:00,0,0,0,0,0,3,0,5,6,8,12,3,12,10,7,6,0,0,3,4,5,4,6,3,4,2,0,1,0,1,0,0,0,0
2022-03-06 18:00:00,0,0,1,0,5,5,0,7,3,0,0,5,2,12,13,8,2,0,6,8,10,11,11,11,9,8,5,0,0,0,0,0,0,0
2022-03-06 19:00:00,0,0,0,0,0,2,0,0,1,0,0,1,2,0,0,0,0,1,4,5,0,4,5,1,4,3,2,0,0,0,0,0,0,0
