Unnamed: 0,1_선진운수종점,2_구산사거리,3_역촌중앙시장,4_구산역1번출구,5_대조동주민센터,6_연신내역.로데오거리,7_선일하이츠빌라,8_세명컴퓨터고등학교,9_은진초교입구.은뜨락도서관,10_은평구민체육센터앞,11_신도초중교입구.한국고전번역원,12_은평경찰서,13_연신초등학교.연신내성당,14_북한산대창센시티아파트,15_불광중학교,16_북한산수자인아파트,17_수리초등학교입구,18_불광1치안센터.독바위역,19_불광1동공동주차장앞,20_불광대호아파트,21_불광초등학교,22_불광역3호선.서울혁신파크,23_한전성서지사.북한산푸르지오,24_녹번역,25_홍은동동부센트레빌,26_산골고개,27_홍은현대아파트,28_정원여중.스위스그랜드호텔,29_동신병원,30_서대문구청.서대문구의회,31_서대문자연사박물관입구,32_한성화교중고교.서대문소방서,33_연희3거리,34_연희교차로,35_서대문우체국,36_연세대학교앞,37_연세로.스타광장,38_현대백화점,39_동교동삼거리연희동방면,40_연희동대우아파트,41_연희교차로,42_연희3거리,43_한성화교중고교.서대문소방서,44_서대문자연사박물관입구,45_서대문구청.보건소.구의회,46_서대문구보건소별관,47_정원여중,48_홍은현대아파트.스위스그랜드호텔,49_홍은사거리.북한산더샵아파트앞,50_산골고개,51_녹번동대림JR아파트앞,52_녹번역,53_한전성서지사.북한산푸르지오,54_불광역3호선.서울혁신파크,55_불광역9번출구.불광초등학교,56_불광롯데캐슬아파트,57_불광대호아파트,58_불광1동공동주차장앞,59_불광1치안센터.독바위역,60_수리초등학교입구,61_북한산수자인아파트,62_불광중학교,63_북한산대창센시티아파트,64_연신초등학교,65_은평경찰서,66_신도초중교입구.한국고전번역원,67_은평구민체육센터앞,68_은진초교입구.은뜨락도서관,69_박석고개,70_신한은행갈현지점,71_연신내역.로데오거리,72_은평연세병원,73_구산역4번출구,74_역촌중앙시장,75_구산사거리,76_선진운수종점
2022-03-05 04:00:00,1,0,0,2,2,2,1,2,1,0,0,3,4,4,5,0,7,8,9,0,0,12,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,4,5,5,6,6,4,2,2,1,0,2,0,2,6,4,4,5,7,4,6,7,13,17,4,19,22,23,4,22,21,3,20,20,22,18,4,0,2,3,4,5,3,0,0,2,5,5,6,7,0,6,3,4,2,0,0,0,0,0,3,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,3,3,4,5,6,2,0,2,1,1,3,3,4,5,5,5,5,6,7,7,7,9,9,12,4,10,9,9,8,9,10,10,9,7,5,3,0,2,3,1,4,2,5,6,2,1,1,8,2,7,6,4,5,5,2,2,1,3,2,1,0,0,0,1,1,3,2,2,2,1,2,3,2,1,0,0
2022-03-05 07:00:00,7,8,10,8,9,6,3,2,3,3,3,4,0,5,7,7,10,10,8,11,8,6,4,6,5,8,13,12,13,10,11,8,6,4,5,5,0,3,5,3,3,6,2,7,2,5,6,4,6,3,2,4,4,3,5,6,5,5,4,4,3,2,0,3,0,0,4,4,3,0,3,0,2,1,0,0
2022-03-05 08:00:00,5,11,12,11,10,4,3,6,1,5,8,8,9,9,11,13,9,11,10,10,10,16,13,17,15,19,18,20,21,17,17,15,12,13,12,3,0,0,3,6,7,8,9,10,8,9,10,13,12,11,9,12,14,11,16,8,15,6,14,13,11,7,2,5,4,3,5,6,6,5,9,7,5,2,2,0
2022-03-05 09:00:00,10,13,13,14,13,12,9,10,11,10,4,5,5,7,10,12,14,19,20,21,17,13,15,20,20,20,19,19,18,16,16,15,10,11,10,5,1,2,4,5,4,4,4,8,7,9,10,11,12,9,11,9,8,8,12,0,11,11,11,12,5,5,3,4,4,4,5,6,8,8,8,6,3,2,1,0
2022-03-05 10:00:00,7,8,9,13,14,5,4,4,4,4,7,2,7,10,14,8,17,27,30,29,23,18,18,20,21,20,18,20,20,17,16,17,12,12,13,3,0,3,7,9,11,11,12,13,8,13,2,12,11,10,10,9,7,3,6,6,7,9,7,8,5,7,0,6,6,7,9,6,0,4,10,7,5,3,0,0
2022-03-05 11:00:00,9,15,15,13,11,6,6,6,7,6,8,9,9,10,16,17,18,23,23,22,19,19,22,24,21,25,24,27,23,22,19,18,11,9,8,4,0,9,10,10,11,14,8,13,17,14,14,16,15,14,13,11,10,7,6,7,5,8,7,8,7,10,9,7,4,18,17,16,13,12,11,12,9,8,6,0
2022-03-05 12:00:00,7,11,16,14,14,7,10,12,11,9,8,9,12,14,9,13,14,19,20,21,15,14,15,18,19,21,21,21,20,23,23,27,20,17,16,11,8,5,7,8,15,12,10,12,11,12,10,14,17,17,16,18,15,17,27,29,28,26,24,21,16,11,6,9,8,8,9,10,10,6,12,8,4,3,3,0
2022-03-05 13:00:00,10,13,10,16,17,12,12,9,8,9,8,9,9,11,18,13,13,14,14,16,14,12,14,16,17,16,15,19,22,15,23,24,17,16,13,8,0,7,15,16,22,20,18,17,18,16,16,13,14,14,8,12,10,8,9,18,17,16,15,15,12,12,13,10,7,9,8,8,10,9,12,7,9,8,1,0
