Unnamed: 0,1_진관공영차고지,2_동산동능모퉁이.한국지역난방공사,3_지축교앞,4_진관중고교약수사입구,5_진관초교입구,6_푸르지오625동앞.관음사입구,7_삼천리골입구56사단북한산부대,8_입곡삼거리,9_하나고.삼천사.진관사입구,10_제각말5단지.은평뉴타운도서관,11_기자촌사거리,12_신도초교.은평메디텍고등학교,13_두산위브205동앞,14_두산위브253동앞,15_진관동주민센터.은평우체국,16_구파발(가상),17_구파발역2번출구,18_롯데캐슬823동앞,19_진관중고교.약수사앞,20_아이파크714동앞,21_아이파크701동앞,22_진관초교앞,23_생태공원앞,24_아이파크709동앞,25_진관중고교.약수사앞,26_래미안909동앞,27_구파발역.롯데몰,28_진관동주민센터.은평우체국,29_동부센트레빌324동앞,30_동부센트레빌320동앞,31_신도초교.은평메디텍고등학교,32_기자촌11단지앞,33_제각말5단지.은평뉴타운도서관,34_하나고.삼천사.진관사입구,35_삼천리골입구56사단북한산부대,36_푸르지오618동앞.관음사입구,37_진관초교관음사입구,38_진관중고교약수사입구,39_지축교앞,40_진관공영차고지
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,0,0,0,0,0,0,0,2,0,2,3,2,1,1,1,0,0,0,2,0,2,2,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 07:00:00,0,0,0,0,0,2,0,0,4,5,2,7,6,5,2,2,1,0,0,0,0,4,5,6,1,5,4,4,0,3,0,2,1,0,0,0,0,0,0,0
2022-03-05 08:00:00,0,1,2,0,0,2,3,4,7,7,5,5,6,3,6,5,12,11,7,2,1,3,6,9,14,15,14,12,4,8,4,5,2,1,0,0,0,0,0,0
2022-03-05 09:00:00,0,0,0,0,1,1,0,0,2,6,9,9,11,10,10,8,9,2,1,1,2,1,8,12,14,14,6,4,4,0,2,0,0,0,1,0,0,0,0,0
2022-03-05 10:00:00,0,0,0,0,0,0,1,0,2,8,9,25,31,29,9,6,4,8,5,4,9,8,9,11,15,13,6,6,0,0,3,2,3,0,0,0,0,0,0,0
2022-03-05 11:00:00,0,0,0,0,0,0,2,0,5,11,11,13,16,27,20,17,8,6,7,4,7,6,13,16,20,20,13,11,12,10,5,4,2,0,0,0,0,0,0,0
2022-03-05 12:00:00,0,1,0,0,0,0,0,0,2,4,5,10,8,7,8,7,7,9,0,8,9,7,11,11,13,13,12,14,13,11,8,4,2,0,0,0,0,0,0,0
2022-03-05 13:00:00,0,0,0,0,0,1,0,0,4,6,7,7,11,10,8,4,8,9,0,7,5,8,8,9,9,12,14,11,9,10,7,4,5,1,0,0,0,0,0,0
2022-03-05 14:00:00,0,2,0,0,0,0,0,1,6,7,7,17,12,10,8,7,15,6,14,8,7,7,7,9,9,8,15,16,5,15,11,8,4,1,0,0,0,0,0,0
2022-03-05 15:00:00,0,0,0,0,0,1,0,2,3,7,8,18,21,20,17,13,8,9,8,6,7,4,9,10,14,10,12,13,13,7,5,4,3,1,0,0,0,2,1,0
2022-03-05 16:00:00,1,0,0,1,0,1,2,0,6,7,8,13,18,17,14,11,13,11,9,6,6,2,8,9,9,6,10,13,5,11,11,7,4,5,0,4,0,0,0,0
2022-03-05 17:00:00,0,0,0,0,0,1,0,0,7,8,0,9,9,8,7,5,13,7,12,8,5,6,6,5,7,10,12,10,0,8,7,5,2,3,1,0,0,0,0,0
2022-03-05 18:00:00,0,1,0,0,0,3,0,0,2,4,4,6,7,2,11,10,12,11,10,9,2,5,3,5,8,7,13,14,10,11,11,9,4,3,2,0,0,0,0,0
2022-03-05 19:00:00,0,0,0,0,0,0,0,0,7,5,6,13,8,0,12,8,7,6,7,5,3,5,5,4,0,4,15,16,12,10,6,3,2,1,0,0,1,0,0,0
2022-03-05 20:00:00,1,0,0,0,0,0,0,0,0,1,0,0,3,0,5,0,11,14,13,9,6,3,1,4,2,0,5,6,5,1,2,1,0,0,0,0,0,0,0,0
2022-03-05 21:00:00,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,0,12,14,11,7,6,4,3,0,3,1,6,7,0,4,2,3,2,1,0,0,0,0,0,0
2022-03-05 22:00:00,0,0,0,0,0,0,0,0,1,1,0,3,2,0,0,2,11,8,6,5,2,1,0,1,0,0,6,5,4,4,3,2,1,1,0,0,0,0,0,0
2022-03-05 23:00:00,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,8,7,0,5,3,2,2,0,0,2,5,9,8,7,6,0,1,0,0,0,0,0,0,0
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 05:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 06:00:00,0,0,0,0,0,1,0,0,0,0,0,3,2,0,3,2,1,0,0,0,0,0,2,3,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 07:00:00,0,1,0,0,0,3,0,0,4,1,0,2,3,5,1,3,1,0,0,0,0,1,3,3,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2022-03-06 08:00:00,0,1,0,0,0,0,0,0,1,3,4,6,7,0,4,3,2,0,0,0,2,0,5,6,4,2,3,4,3,4,2,1,0,0,0,0,1,0,0,0
2022-03-06 09:00:00,0,1,0,1,0,1,2,0,2,4,6,7,9,8,8,0,3,0,1,1,0,0,6,7,10,9,3,3,2,2,0,0,0,0,0,0,0,0,0,0
2022-03-06 10:00:00,0,1,0,1,0,0,0,0,3,4,5,7,8,7,5,6,4,2,3,2,5,5,8,9,11,12,10,11,2,3,9,1,1,1,0,0,0,0,0,0
