Unnamed: 0,1_교하차고지,2_오도삼거리(가상),3_산내마을6.8단지,4_산내마을8.12단지,5_운정광역보건지소,6_해솔마을4단지,7_지산중학교,8_해솔마을6.7단지,9_한빛마을1단지,10_한빛마을3.6단지,11_한빛마을4.8단지,12_한소망교회,13_앵골.광성교회,14_일산가구공단,15_철산아파트.탄현역앞,16_서울도시가스,17_성저초등학교,18_농수산물센터,19_장성중학교.대진고등학교,20_연세프라자,21_문촌마을6.7단지.쌍용아파트.기산아파트,22_유화프라자,23_강선초등학교,24_강선마을(중),25_일산동부경찰서,26_일산동구청(중),27_강촌마을8단지,28_우방아파트.강촌마을8단지,29_강촌한신아파트,30_백석초등학교,31_백송마을1.2단지,32_백석1동주민센터,33_백석도서관.일산병원,34_백석역.고양종합터미널,35_백석동.요진와이시티,36_대곡역(중),37_고양경찰서앞.고양어린이박물관앞,38_화정역.롯데마트,39_덕양구청,40_단독주택단지,41_명지병원.은빛마을5단지,42_화정1동주민센터,43_고양어울림누리.달빛동부아파트,44_성사2동주민센터,45_신원당마을7단지,46_신원당마을입구,47_원당역,48_흥도동주민센터,49_훼릭스,50_가시골,51_원흥동,52_달걀부리마을,53_삼송교,54_동산고등학교,55_동산마을22단지,56_스타필드고양,57_창릉동주민센터.용사촌입구,58_큰골입구,59_동산동능모퉁이.한국지역난방공사,60_은평뉴타운10단지,61_구파발역입구,62_박석고개.신도고등학교,63_세명컴퓨터고등학교,64_연신내역.연서시장,65_동명여고.천주교불광동성당,66_불광역3.6호선,67_불광역3호선.서울혁신파크,68_한전성서지사.북한산푸르지오,69_한전성서지사.북한산푸르지오,70_불광역3호선.서울혁신파크,71_불광역3.6호선,72_동명여고.천주교불광동성당,73_연신내역.연서시장,74_세명컴퓨터고등학교,75_박석고개.신도고등학교,76_구파발역입구,77_은평뉴타운10단지,78_동산동능모퉁이.한국지역난방공사,79_창릉동주민센터.용사촌입구,80_스타필드고양,81_동산마을22단지,82_동산고등학교,83_삼송교,84_달걀부리마을,85_원흥동,86_가시골,87_훼릭스,88_흥도동주민센터,89_원당역,90_신원당마을입구,91_신원당마을7단지,92_성사2동주민센터,93_고양어울림누리.달빛동부아파트,94_화정1동주민센터,95_달빛신안아파트.명지병원,96_단독주택단지,97_화정역.덕양구청,98_별빛마을8단지.롯데마트,99_고양경찰서앞.고양어린이박물관앞,100_대곡역(중),101_백석동.요진와이시티,102_백석역.고양종합터미널,103_백석도서관.일산병원,104_백석1동주민센터,105_백송마을8.9단지,106_백석고등학교,107_강촌한신아파트,108_동아아파트.강촌마을1단지,109_강촌마을8단지,110_일산동구청(중),111_일산동부경찰서,112_강선마을(중),113_강선초등학교,114_유화프라자,115_문촌마을.라이프아파트,116_연세프라자,117_장성중학교,118_농수산물센타,119_성저초등학교,120_서울도시가스,121_철산아파트.탄현역앞,122_일산가구공단,123_앵골.광성교회,124_송학동,125_한빛마을4.8단지,126_한빛마을3.6단지,127_한빛마을1단지,128_해솔마을6.7단지,129_지산중학교,130_가람마을9단지,131_운정광역보건지소,132_산내마을8.12단지,133_산내마을6.8단지,134_교하차고지,57_용사촌입구,79_용사촌입구.밥할머니공원앞,134_해오름마을중심상가,135_교하차고지
2022-03-05 04:00:00,0,0,2,4,5,7,0,8,0,10,14,15,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
2022-03-05 05:00:00,1,1,4,5,2,0,3,3,0,0,4,5,0,6,7,0,3,2,0,14,15,6,0,12,10,5,0,0,1,4,5,3,0,7,6,0,0,6,5,0,0,0,1,4,4,7,6,0,0,0,5,0,0,4,2,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
2022-03-05 06:00:00,0,0,1,0,0,6,2,3,4,7,8,9,8,0,9,6,8,7,8,10,11,12,0,13,11,7,0,8,0,6,8,3,0,8,2,8,7,7,6,4,5,0,0,3,6,7,4,3,2,3,0,0,1,2,0,1,2.0,3,0,4,0,0,4,3,2,0,0,0,1,0,4,3,4,5,4,0,5,4,4.0,0,3,3,4,0,0,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
2022-03-05 07:00:00,1,1,4,0,3,4,5,6,7,9,8,6,9,0,7,0,6,6,4,5,6,3,0,5,4,6,0,0,5,8,9,8,7,6,6,5,5,0,0,4,4,6,8,9,0,9,8,10,4,4,0,9,0,9,12,11,11.0,0,9,3,7,2,6,1,0,0,0,0,0,0,0,2,4,6,7,7,4,6,6.0,6,8,9,0,3,8,3,0,0,7,8,9,0,10,9,8,0,4,7,7,0,7,6,4,5,2,3,0,0,0,1,4,5,0,7,8,4,0,3,4,0,5,5,0,0,0,5,6,0,4,0,0,3,2,0.0,,,,
2022-03-05 08:00:00,0,0,4,3,7,6,9,11,11,14,17,23,25,24,24,21,19,17,16,15,9,15,15,11,11,8,7,2,0,3,8,2,8,9,10,4,11,7,6,7,7,11,11,7,13,14,14,13,0,14,13,14,12,14,16,17,15.0,15,11,13,11,10,11,4,3,2,0,0,1,3,3,4,8,9,6,8,0,7,6.0,6,2,3,0,2,1,7,0,2,3,6,5,6,0,4,7,8,7,6,5,3,5,0,4,5,4,0,1,3,2,2,5,4,3,5,2,7,0,2,0,5,5,6,6,7,6,7,6,0,5,0,6,1,2,0.0,,,,
2022-03-05 09:00:00,1,1,6,8,6,9,10,13,11,15,14,11,12,11,11,8,15,9,14,12,15,12,14,10,13,8,7,7,0,0,11,0,10,11,7,0,8,7,6,8,6,11,10,11,11,14,12,10,9,12,11,13,11,7,11,9,11.0,5,0,10,8,0,3,4,2,1,1,0,3,6,7,7,9,9,7,8,8,8,5.0,4,6,7,7,6,0,9,0,6,6,7,8,3,4,10,10,12,9,6,7,6,6,5,6,2,7,1,6,7,6,2,3,5,6,5,4,7,3,3,5,5,7,8,7,6,9,8,4,3,0,3,0,0,1,0.0,,,,
2022-03-05 10:00:00,1,1,5,6,5,9,10,7,8,10,8,11,11,10,11,10,13,12,13,14,14,14,12,13,8,7,0,8,9,10,11,9,11,10,9,7,11,12,12,10,8,13,0,13,12,19,21,0,9,0,0,20,14,16,12,7,0.0,5,0,12,10,12,10,5,4,3,0,0,0,0,5,0,6,2,7,10,9,8,8.0,5,3,4,4,4,6,7,0,0,6,5,6,7,7,11,0,11,8,8,10,8,10,8,3,7,7,8,9,8,7,9,3,7,10,9,9,6,7,0,0,9,10,9,8,9,8,7,6,4,6,4,2,3,0,0.0,,,,
2022-03-05 11:00:00,0,0,4,0,7,8,9,10,4,8,9,10,9,6,8,7,0,8,8,9,13,14,13,13,9,8,8,3,4,7,10,11,7,9,10,11,13,13,14,7,15,17,20,8,21,22,22,23,19,24,15,26,28,23,23,15,0.0,11,0,8,11,12,10,7,4,1,0,0,3,5,6,8,14,15,0,15,17,16,16.0,5,18,16,0,3,14,15,13,0,12,14,15,18,20,17,20,17,15,9,7,0,3,4,3,0,4,3,4,6,0,6,7,5,7,9,9,8,0,5,6,7,9,8,6,0,5,7,7,7,8,3,6,5,0,0.0,,,,
2022-03-05 12:00:00,0,0,4,1,0,5,6,8,10,12,14,8,8,12,13,11,7,10,9,8,6,7,8,7,9,5,3,0,0,6,9,9,0,10,11,13,10,10,6,11,16,13,13,13,13,18,17,0,15,19,0,20,17,19,22,18,7.0,19,17,8,15,13,15,10,9,6,2,0,4,10,13,16,19,22,25,13,21,22,19.0,12,13,14,16,9,12,14,15,14,10,10,10,11,14,17,17,15,15,13,12,11,8,9,9,7,7,6,8,9,10,9,2,0,0,8,5,4,0,0,5,0,6,7,9,8,8,7,6,7,0,3,4,1,0,0.0,,,,
2022-03-05 13:00:00,0,0,5,2,7,4,6,9,8,15,10,17,19,17,13,12,13,13,14,17,20,10,18,15,17,7,9,7,8,5,8,7,8,12,17,18,16,17,16,15,14,20,21,0,22,22,21,21,10,22,24,25,15,24,21,14,13.0,0,0,0,12,8,5,2,0,0,1,0,3,7,9,8,19,24,33,39,16,37,29.0,20,17,15,13,14,15,14,0,0,12,19,4,12,0,21,20,17,12,14,13,0,12,10,6,11,10,7,9,4,8,9,7,7,6,8,0,7,0,8,9,8,12,13,13,14,15,10,6,5,8,9,0,7,3,0.0,,,,
2022-03-05 14:00:00,1,1,3,3,5,4,4,7,6,11,13,17,19,18,15,11,14,13,11,12,11,9,12,10,14,9,0,11,6,8,14,5,7,15,14,12,9,12,11,11,11,12,15,13,14,21,20,0,0,21,20,20,18,14,18,18,20.0,17,0,18,17,18,14,8,8,6,1,0,2,6,8,5,13,12,14,17,18,17,15.0,17,17,19,17,18,17,14,0,0,10,10,0,0,7,8,10,7,8,12,7,6,4,6,6,7,0,8,7,9,10,13,12,12,13,13,6,11,12,13,0,16,15,0,0,16,16,14,11,10,8,10,6,6,1,0.0,,,,
2022-03-05 15:00:00,4,4,6,0,4,6,4,6,9,10,11,13,14,12,10,11,10,13,17,19,17,0,18,0,15,10,12,13,0,4,0,14,14,14,16,11,16,13,9,12,15,10,9,13,8,16,15,15,17,17,0,18,18,18,17,15,17.0,0,21,0,18,13,10,9,11,8,2,0,4,5,8,7,15,16,15,17,18,21,17.0,18,13,19,13,17,13,14,0,15,15,18,17,13,15,21,22,17,16,13,13,6,12,11,10,9,10,9,5,8,9,19,7,19,19,20,21,21,23,23,13,22,26,22,20,18,17,17,18,5,7,6,5,0,1,0.0,,,,
2022-03-05 16:00:00,0,0,7,5,0,5,7,13,15,9,11,10,11,10,9,10,8,10,12,13,11,13,14,10,6,9,0,5,8,10,13,5,15,13,22,11,8,14,15,14,16,16,15,17,15,18,17,13,0,19,20,13,21,22,10,17,21.0,22,21,22,19,17,9,7,0,6,1,0,0,2,4,6,13,14,0,17,16,16,15.0,24,21,20,19,18,15,16,0,10,15,13,12,15,16,14,13,12,10,11,10,9,9,9,8,8,7,8,7,6,8,13,11,12,9,10,8,8,6,8,0,12,14,15,16,18,16,12,11,15,14,12,9,7,1,0.0,,,,
2022-03-05 17:00:00,0,0,5,6,7,12,12,13,12,13,12,14,15,14,11,12,10,6,10,11,10,12,13,14,12,9,0,7,9,0,11,12,11,10,21,24,21,16,17,16,14,15,9,10,11,13,14,13,0,12,15,19,0,19,15,35,42.0,42,43,41,31,28,17,9,8,4,2,0,2,4,12,11,16,18,19,20,19,13,22.0,27,28,27,26,15,0,16,0,24,20,21,18,0,16,15,12,16,12,13,13,11,9,9,8,6,6,4,5,6,0,12,13,12,9,9,10,12,11,11,0,12,14,13,14,12,8,12,12,10,9,7,6,4,0,0.0,,,,
2022-03-05 18:00:00,2,2,12,13,0,16,0,0,14,14,13,14,14,12,14,13,0,14,0,12,14,14,12,10,5,6,3,3,7,8,16,19,18,15,18,0,18,15,17,16,13,13,15,15,14,15,14,0,0,16,0,14,13,16,16,22,25.0,26,14,25,23,23,20,12,8,4,2,0,0,4,7,8,23,19,21,25,25,21,19.0,31,28,27,25,24,0,0,0,0,21,16,15,0,15,18,21,23,22,19,18,19,11,12,12,11,8,6,5,0,5,11,12,10,13,20,16,18,0,18,20,19,18,19,6,17,13,12,10,0,8,5,4,4,2,0.0,,,,
2022-03-05 19:00:00,0,0,4,6,5,4,5,6,0,6,7,8,0,12,13,15,5,18,16,15,15,16,7,15,11,9,0,3,10,6,4,5,3,4,6,7,5,14,13,12,11,9,8,8,5,4,8,3,5,5,2,10,9,4,7,28,31.0,30,29,16,26,22,18,9,5,4,1,1,1,2,6,8,17,13,15,17,16,0,15.0,20,22,21,20,18,13,10,0,11,15,12,7,12,10,10,9,7,10,7,6,5,8,8,0,9,8,6,3,5,0,9,5,7,0,0,8,9,10,13,0,0,15,16,14,13,7,9,7,4,0,3,2,1,0,0.0,,,,
2022-03-05 20:00:00,1,1,6,3,0,7,8,4,4,5,5,5,7,5,4,5,0,4,0,5,6,6,5,4,5,8,0,7,7,0,8,10,9,7,13,0,13,11,10,10,8,4,0,3,4,6,7,0,2,0,3,4,0,3,3,16,20.0,24,23,0,19,6,16,4,1,0,2,0,0,3,6,7,13,13,9,16,15,0,16.0,23,23,18,21,11,9,8,18,0,17,17,9,8,15,7,13,14,16,17,16,5,15,12,10,8,7,3,3,8,8,16,17,17,16,16,13,14,8,5,0,13,14,15,6,13,10,8,6,5,5,5,4,3,0,0.0,,,,
2022-03-05 21:00:00,0,0,3,4,0,2,3,6,4,8,7,5,6,4,5,3,0,0,3,5,0,6,3,8,7,12,0,0,13,12,9,0,0,6,11,7,10,10,9,12,8,9,0,2,11,9,10,9,6,8,3,10,6,6,9,11,16.0,12,12,13,12,9,11,11,8,5,2,0,1,2,4,4,8,8,7,8,4,0,10.0,17,18,15,17,15,17,16,0,16,20,17,14,0,18,14,13,8,11,10,9,8,8,6,7,10,9,8,9,7,0,21,23,24,10,23,22,21,0,22,11,21,18,17,10,16,14,14,16,14,11,6,4,5,1,0.0,,,,
2022-03-05 22:00:00,0,0,1,4,5,6,0,7,8,9,7,7,5,3,4,0,2,1,3,6,0,8,0,6,8,6,0,5,6,0,11,10,0,12,10,0,10,10,11,10,9,8,7,7,6,4,3,4,0,2,3,3,3,2,8,28,36.0,35,10,32,28,19,13,5,5,3,2,0,3,6,7,0,12,10,12,15,7,13,13.0,40,40,21,39,20,40,39,0,36,32,32,31,30,26,20,11,13,11,13,9,11,10,12,10,10,8,7,6,4,5,10,16,20,0,21,20,15,4,15,8,13,13,12,11,9,7,8,6,9,6,4,8,6,0,0.0,,,,
2022-03-05 23:00:00,0,0,5,5,0,7,9,12,8,10,18,0,14,14,13,11,0,2,0,13,0,4,11,10,13,19,18,19,18,14,14,10,0,16,17,20,17,15,14,10,9,8,6,8,7,6,7,0,0,6,5,0,0,1,0,2,4.0,0,0,0,3,0,5,1,4,1,0,0,0,4,5,4,16,16,15,21,22,14,15.0,17,16,22,20,18,13,13,0,0,7,11,4,5,10,9,3,7,5,5,5,6,6,11,10,8,6,9,8,6,0,15,16,14,0,15,13,11,10,12,0,11,12,12,11,10,9,8,0,6,3,2,4,0,0,0.0,,,,
2022-03-06 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
2022-03-06 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
2022-03-06 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
2022-03-06 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
2022-03-06 04:00:00,0,0,1,0,1,0,4,5,0,0,11,12,14,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
2022-03-06 05:00:00,0,0,2,0,0,0,2,2,2,3,4,0,1,0,3,0,0,0,13,3,0,4,0,10,8,6,0,0,0,5,8,11,0,9,6,0,6,7,7,0,0,8,9,0,7,11,9,0,0,10,9,0,0,7,6,0,7.0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
2022-03-06 06:00:00,0,0,3,4,0,5,6,8,0,9,10,9,0,0,8,3,6,4,0,4,5,3,0,2,3,2,0,0,0,0,5,4,3,2,0,0,1,2,0,1,2,0,3,3,4,2,6,7,0,8,7,0,0,4,0,4,4.0,0,4,4,0,3,5,4,2,1,1,0,1,1,2,3,6,8,7,1,6,5,0.0,0,1,0,5,4,0,4,0,3,0,0,0,0,0,0,0,1,0,0,2,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,
2022-03-06 07:00:00,0,0,1,2,0,3,0,1,2,3,0,2,3,4,1,3,2,0,3,0,5,0,2,0,2,2,0,0,0,0,3,4,0,6,4,0,2,0,0,3,4,6,3,8,4,9,9,0,0,10,9,6,5,5,6,5,1.0,0,0,0,4,0,4,2,1,0,0,0,1,1,2,3,4,7,0,0,6,4,3.0,1,5,6,0,0,0,0,0,0,0,0,2,4,0,5,0,3,5,4,0,0,3,3,5,3,0,2,4,0,0,0,3,4,0,3,0,4,0,5,0,6,8,7,6,0,5,2,3,0,0,0,0,0,1,0.0,,,,
