Unnamed: 0,1_은평공영차고지,2_덕은교.은평차고지앞,3_수색교,4_월드컵파크11.12단지,5_월드컵파크9.10.11.12단지,6_상암고등학교,7_월드컵파크5단지,8_상암DMC홍보관.YTN,9_상암초등학교,10_상암휴먼시아아파트,11_증산종합시장.증산중학교입구,12_증산역.증산동주민센터,13_연서중학교입구,14_와산교,15_새절역.숭실고입구,16_응암오거리,17_응암3동주민센터,18_서서울농협본점,19_백련산SK뷰아이파크아파트,20_신진과학기술고등학교,21_본서부병원,22_은평세무서,23_은평구청,24_녹번역,25_산골고개,26_유진상가,27_문화촌현대아파트,28_서울여자간호대학,29_유원하나아파트,30_홍지문.옥천암,31_세검정.상명대,32_세검정초등학교,33_국민은행세검정지점,34_구기동,35_구기동현대빌라,36_승가사입구,37_이북오도청,38_승가사입구,39_구기동현대빌라,40_구기동,41_국민은행세검정지점,42_세검정초등학교,43_세검정.상명대,44_홍지문,45_유원하나아파트,46_서울여자간호대학,47_문화촌현대아파트,48_유진상가,49_홍은사거리.북한산더샵아파트앞,50_산골고개,51_녹번역,52_은평구청,53_은평세무서,54_본서부병원,55_신진과학기술고등학교,56_응암시장,57_응암3동주민센터,58_응암오거리,59_새절역.숭실고입구,60_와산교,61_연서중학교입구,62_증산역.증산동주민센터,63_증산종합시장.증산중학교입구,64_월드컵경기장북측,65_디지털미디어시티역2번출구,66_상암휴먼시아아파트,67_상암초등학교,68_상암DMC홍보관.YTN,69_누리꿈스퀘어.MBC,70_월드컵파크5단지.상암중고등학교입구,71_하늘초등학교,72_월드컵파크10단지,73_수색교,74_덕은교.은평차고지앞,75_은평공영차고지(가상)
2022-03-05 04:00:00,0,0,0,1,1,0,0,1,3,0,2,0,1,2,2,3,5,6,0,5,4,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,1,0,3,2,2,2,1,3,2,1,2,2,3,4,7,8,9,11,14,14,12,6,8,7,1,6,0,0,4,2,4,1,3,0,1,0,0,2,0,3,0,1,6,8,8,6,6,4,5,3,6,5,7,10,6,11,5,12,11,12,0,0,14,0,13,8,5,4,1,0,0,0,0
2022-03-05 06:00:00,0,1,0,2,3,3,0,4,2,2,2,3,0,2,5,5,6,9,11,14,14,16,14,10,9,8,7,4,2,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,2,4,4,0,3,3,3,2,2,2,3,3,0,4,2,3,0,4,7,6,4,3,2,3,3,3,0,0,0,0,0
2022-03-05 07:00:00,0,1,3,4,4,6,4,5,5,6,6,4,4,4,6,5,6,11,12,15,17,17,12,6,6,4,4,4,5,0,2,3,2,0,1,0,1,0,1,3,2,2,0,1,3,5,6,8,6,6,7,7,7,9,8,8,9,10,7,7,7,7,8,6,12,10,8,7,5,3,2,1,1,0,0
2022-03-05 08:00:00,0,0,0,7,8,5,7,7,8,9,7,9,6,8,11,13,16,18,17,18,19,23,18,9,11,8,5,4,3,3,3,5,3,2,1,0,1,0,1,2,2,0,0,3,4,6,7,7,8,8,9,10,10,11,13,16,17,10,13,12,10,10,8,6,12,10,11,9,6,3,3,2,1,0,0
2022-03-05 09:00:00,0,0,1,7,11,13,16,14,14,15,8,8,8,9,10,9,13,17,19,21,22,23,19,10,7,5,7,3,5,0,4,5,1,3,2,0,2,1,4,5,3,4,0,0,5,5,8,9,9,11,13,15,10,9,8,13,11,12,10,10,6,14,16,15,19,19,16,13,10,5,3,2,0,0,0
2022-03-05 10:00:00,0,0,2,7,10,11,12,8,11,10,9,12,12,13,14,13,16,17,19,21,19,17,14,9,11,13,6,9,6,7,6,7,6,4,1,0,1,2,3,4,6,6,3,5,3,7,10,11,12,13,10,10,11,9,8,9,11,7,7,8,7,9,8,7,7,5,8,7,6,4,2,3,0,1,0
2022-03-05 11:00:00,0,0,1,6,8,9,10,11,16,17,15,17,19,8,18,20,19,24,22,20,21,25,23,16,14,8,7,5,5,3,9,4,6,4,4,3,2,0,2,7,7,8,11,10,9,12,14,12,19,16,12,14,10,11,14,14,13,13,12,13,12,11,14,11,13,11,12,11,9,11,3,1,0,0,0
2022-03-05 12:00:00,1,2,4,9,12,12,13,16,16,17,14,14,12,13,12,11,13,13,14,16,15,19,16,7,10,8,7,6,1,5,4,4,3,4,2,0,2,3,6,7,7,7,4,4,8,8,10,10,10,9,14,19,21,19,18,14,16,15,12,10,9,11,11,7,16,12,10,11,9,8,2,1,1,0,0
2022-03-05 13:00:00,0,1,0,5,8,5,9,5,9,8,10,13,15,15,16,15,16,18,19,20,29,30,24,14,15,14,12,10,9,8,8,7,1,6,0,0,3,6,1,8,6,8,10,0,11,11,16,14,15,15,15,11,18,16,15,14,11,13,12,13,14,12,13,8,16,16,18,16,13,8,2,0,1,0,0
2022-03-05 14:00:00,0,1,4,8,9,9,10,15,17,18,10,8,10,8,10,10,11,16,16,12,14,13,10,10,12,14,8,6,1,1,7,6,3,5,4,3,4,6,6,9,9,11,10,10,12,13,11,18,19,18,16,18,18,18,15,19,18,15,11,10,12,10,19,17,22,19,19,17,15,13,5,1,0,0,0
2022-03-05 15:00:00,0,0,0,3,5,5,8,9,13,16,17,15,13,14,17,16,16,18,19,19,21,22,20,13,14,9,7,7,7,6,4,5,3,2,0,0,2,2,8,9,9,8,11,0,12,16,22,25,25,26,18,18,19,22,18,16,12,10,10,8,7,9,9,8,15,12,15,14,13,11,6,2,2,1,0
2022-03-05 16:00:00,1,0,0,3,7,9,10,6,8,9,7,7,8,10,14,19,20,18,19,19,22,22,21,12,13,11,9,10,6,5,2,5,3,2,1,0,2,1,4,5,0,5,4,6,8,12,13,15,17,17,21,19,18,18,19,22,22,15,14,15,8,14,11,8,12,10,10,13,11,12,7,1,1,0,0
2022-03-05 17:00:00,0,1,1,3,8,9,11,14,11,14,12,10,7,7,13,17,15,13,13,12,16,16,15,15,15,12,12,9,8,4,5,5,2,3,2,0,1,0,1,3,6,5,7,3,4,10,12,15,15,14,23,25,22,17,14,12,10,13,12,13,12,15,14,6,15,16,13,14,17,13,6,2,1,0,0
2022-03-05 18:00:00,0,0,3,4,5,4,6,7,8,9,7,9,7,6,9,9,10,10,10,13,11,12,13,10,11,12,9,11,10,0,9,9,12,8,2,0,2,3,4,2,0,8,10,9,11,12,11,12,15,17,19,21,18,15,20,14,11,12,8,8,11,10,13,12,13,12,14,14,16,18,14,3,0,0,0
2022-03-05 19:00:00,0,0,0,2,4,4,7,11,12,12,9,6,8,8,10,9,10,10,11,9,8,9,10,6,9,10,9,9,8,3,6,6,4,1,2,1,0,0,0,6,0,5,5,6,6,6,7,8,11,12,18,17,16,15,13,13,13,12,11,9,9,7,3,8,12,11,9,10,7,10,7,3,0,0,0
