Unnamed: 0,1_진관공영차고지,2_지축교앞,3_래미안922동앞,4_래미안909동앞,5_구파발역.롯데몰,6_은진초교입구.은뜨락도서관,7_은평구민체육센터앞,8_신도초중교입구.한국고전번역원,9_은평경찰서,10_연신초등학교.연신내성당,11_북한산대창센시티아파트,12_불광중학교,13_북한산수자인아파트,14_수리초등학교입구,15_불광1치안센터.독바위역,16_불광1동공동주차장앞,17_불광대호아파트,18_불광초등학교,19_불광역3호선.서울혁신파크,20_한전성서지사.북한산푸르지오,21_녹번전철역,22_녹번역,23_은평구청,24_응암1동주민센터,25_녹번센트레빌아파트,26_영락중학교입구,27_시립은평병원,28_백련산힐스테이트4차,29_응암초교.백련산힐스테이트3차,30_충암고교앞.대주피오레아파트,31_명지전문대.충암중고등학교,32_명지중고등학교,33_명지대삼거리,34_명지대,35_DMC센트럴아이파크아파트,36_명지대사거리제일은행앞,37_백련시장,38_홍남교.서대문두바퀴환경센터,39_연희A지구아파트,40_연희동자치회관,41_연희3거리,42_연희교차로,43_연남동,44_홍대입구역(가상),45_홍대입구역,46_서교동주민센터.마포신문사,47_동교로사거리,48_홍대입구역(가상),49_홍대입구역,50_연희동대우아파트,51_연희교차로,52_연희동자치회관,53_연희A지구아파트,54_홍남교.자전거대여소앞,55_백련시장,56_명지대사거리국민은행앞,57_명지대,58_명지대삼거리,59_명지중고등학교,60_명지전문대.충암중고등학교,61_충암고교앞.대주피오레아파트,62_응암초교.백련산힐스테이트3차,63_백련산힐스테이트2차,64_시립은평병원,65_영락중학교입구,66_녹번센트레빌아파트,67_응암1동주민센터,68_은평구청,69_녹번역,70_녹번동대림JR아파트앞,71_녹번역,72_한전성서지사.북한산푸르지오,73_불광역3호선.서울혁신파크,74_불광역9번출구.불광초등학교,75_불광롯데캐슬아파트,76_불광대호아파트,77_불광1동공동주차장앞,78_불광1치안센터.독바위역,79_수리초등학교입구,80_북한산수자인아파트,81_불광중학교,82_북한산대창센시티아파트,83_연신초등학교,84_은평경찰서,85_신도초중교입구.한국고전번역원,86_은평구민체육센터앞,87_은진초교입구.은뜨락도서관,88_구파발(가상),89_구파발역2번출구,90_롯데캐슬823동앞,91_롯데캐슬820동앞,92_지축교앞,93_진관공영차고지
2022-03-05 04:00:00,0,0,0,0,1,0,0,0,0,1,3,4,4,6,7,0,0,6,1,1,1,1,2,0,2,0,2,0,0,0,1,0,4,5,8,0,0,3,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,1,1,0,1,0,0,1,0,3,3,4,0,4,6,3,5,3,3,2,3,3,2,0,3,1,1,2,2,2,3,6,7,5,10,13,16,16,5,14,13,9,6,0,2,0,0,4,3,4,4,3,4,0,2,2,1,3,4,5,8,9,9,5,0,4,3,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,1,1,1,0,1,2,1,0,3,3,4,6,8,9,10,7,5,0,4,4,3,5,3,3,5,3,4,3,2,3,3,5,4,7,8,11,12,11,10,11,10,9,1,1,0,0,6,3,5,1,0,6,6,3,4,6,5,3,4,4,5,4,5,8,3,4,2,1,0,2,2,2,1,1,0,0,0,1,2,3,2,2,0,1,0,0,1,0,0,0,0
2022-03-05 07:00:00,0,1,1,2,1,1,0,0,2,2,5,6,2,3,6,8,13,7,7,6,9,9,10,9,9,7,9,2,3,7,8,5,12,17,17,9,11,12,15,14,14,12,10,7,0,1,0,0,5,6,7,6,8,7,1,5,0,6,1,0,8,3,5,10,9,11,12,8,4,0,4,2,5,4,0,4,5,2,4,3,4,2,3,2,3,4,3,2,0,0,0,0,0
2022-03-05 08:00:00,0,0,4,3,2,2,2,1,0,4,7,9,8,10,15,17,20,13,9,10,10,9,10,9,9,8,9,10,11,12,14,3,14,15,18,23,25,31,31,33,35,39,31,27,1,4,0,0,10,10,8,8,7,5,6,6,5,3,6,7,8,10,11,18,19,22,19,13,6,7,6,9,9,13,7,12,4,11,12,11,8,8,5,6,7,5,5,3,2,0,1,0,0
2022-03-05 09:00:00,0,0,3,6,3,3,2,3,3,3,5,7,5,11,8,10,12,7,6,0,7,8,9,11,14,11,12,11,13,14,15,18,17,20,24,24,28,31,33,34,35,37,29,27,4,3,2,3,6,7,8,4,0,6,7,9,8,9,6,9,8,12,11,23,27,27,26,19,10,10,8,6,7,8,6,10,12,11,12,11,14,3,12,10,6,5,3,3,2,0,0,0,0
2022-03-05 10:00:00,0,2,5,7,3,0,2,5,5,4,8,11,12,14,16,15,17,14,11,13,14,12,15,18,15,16,16,16,18,19,16,15,13,19,20,22,24,24,26,27,34,35,28,20,3,2,1,0,12,11,7,5,8,6,10,5,9,8,12,11,10,14,17,17,15,19,18,18,11,13,11,10,8,13,14,12,7,5,7,9,10,4,8,7,4,2,5,3,2,1,0,0,0
2022-03-05 11:00:00,0,0,3,4,5,1,4,14,17,10,22,28,20,28,31,32,31,22,17,15,18,20,18,19,17,13,18,19,18,19,21,22,25,28,28,31,35,37,38,35,35,32,31,24,4,3,5,0,16,15,13,13,14,15,3,17,21,21,22,21,18,20,15,24,26,25,22,16,12,9,7,11,12,18,17,16,14,12,11,9,7,6,4,5,7,5,5,4,3,2,1,0,0
2022-03-05 12:00:00,0,0,2,4,7,1,4,7,9,11,9,15,14,13,14,18,18,17,18,18,22,20,22,21,19,20,26,22,25,23,26,26,29,34,34,31,37,42,43,40,42,45,39,35,3,2,3,1,22,24,22,12,12,11,10,9,11,13,14,16,18,17,19,22,23,24,24,23,20,10,17,18,16,20,21,23,23,25,27,20,16,16,12,13,5,4,4,11,2,1,0,0,0
2022-03-05 13:00:00,0,1,3,3,5,7,4,8,9,8,10,13,12,13,14,9,16,12,12,11,14,15,16,17,14,17,17,18,19,18,19,20,25,30,30,36,39,41,42,44,49,54,49,41,5,9,10,0,23,20,14,12,11,11,12,14,17,19,21,24,26,25,22,26,27,28,27,27,20,16,24,23,12,11,12,14,13,14,12,9,12,8,7,8,11,10,5,9,2,0,0,0,0
