Unnamed: 0,1_은평공영차고지,2_덕은교.은평차고지앞,3_수색교,4_월드컵파크11.12단지,5_월드컵파크9.10.11.12단지,6_DMC첨단산업센터,7_MBC,8_SBS.YTN,9_공항철도디지털미디어시티역,10_디지털미디어시티역,11_청구아파트.참누리아파트,12_중동현대아파트,13_가좌행복주택.건영월드컵아파트,14_가좌역,15_월드컵아이파크,16_성산2교,17_성미약수터,18_경성중고.홍대부속여중고입구,19_서울도시가스마포사옥,20_서서울농협홍대역점,21_홍대입구역(가상),22_홍대입구역,23_연희동대우아파트,24_서대문우체국,25_연세대앞,26_세브란스병원앞,27_이대후문,28_이대부고,29_삼호아파트,30_독립문역.서대문형무소역사관,31_독립문공원,32_국립대한민국임시정부기념관,33_독립문파크빌,34_독립문역.서대문형무소역사관,35_독립문역,36_독립문(가상),37_독립문공원.극동아파트,38_이대부고,39_이대후문,40_세브란스병원앞,41_연세대학교앞,42_연세로.스타광장,43_신촌오거리.현대백화점,44_동교동삼거리,45_홍대입구역,46_동교로사거리,47_서울도시가스마포사옥,48_경성중고.홍대부속여중고입구,49_성미약수터,50_성산2교,51_월드컵아이파크,52_가좌역1번출구,53_가좌행복주택.건영월드컵아파트,54_중동현대아파트,55_청구아파트.참누리아파트,56_디지털미디어시티역,57_공항철도디지털미디어시티역,58_SBS.YTN,59_MBC,60_DMC첨단산업센터,61_하늘초등학교,62_월드컵파크10단지,63_수색교,64_덕은교.은평차고지앞,65_은평공영차고지(가상)
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,0,0,0,2,4,0,1,0,3,1,0,0,0,0,1,0,2,2,0,0,1,3,4,4,0,3,2,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,2,4,7,8,10,9,6,2,0,4,0,2,0,3,5,2,3,1,2,3,1,0,2,2,0,0,1,1,1,0,1,0,0,0,1,2,0,5,5,5,4,1,2,0,0,2,1,0,0,2,1,3,3,0,4,3,2,1,0,1,0,0,0
2022-03-05 07:00:00,0,0,1,7,9,8,9,8,6,3,4,3,2,0,4,6,7,3,8,0,7,7,6,4,6,3,5,3,3,1,1,0,3,2,3,0,5,4,3,4,3,3,3,3,4,5,4,3,2,2,0,2,3,5,4,3,5,3,2,0,1,1,1,0,0
2022-03-05 08:00:00,1,2,2,7,15,3,14,10,7,4,4,4,3,3,6,7,10,9,10,7,8,9,8,10,9,9,7,6,4,2,1,0,4,2,5,0,9,8,6,5,5,5,2,0,3,4,0,3,0,4,3,1,2,2,3,3,5,4,2,3,0,0,0,0,0
2022-03-05 09:00:00,0,0,3,11,15,17,20,16,7,5,6,9,5,7,7,9,11,11,12,10,8,7,7,9,8,8,7,7,6,3,1,2,4,0,3,2,12,11,13,11,13,13,8,5,5,3,6,2,5,6,2,6,5,0,0,5,8,7,5,4,2,1,0,0,0
2022-03-05 10:00:00,0,1,3,15,23,24,23,16,7,3,4,5,7,8,7,8,11,14,13,14,13,7,9,10,11,13,14,15,8,2,2,0,3,0,7,1,10,15,14,15,10,10,10,6,9,9,3,4,10,7,2,8,3,6,3,4,7,6,3,2,1,1,0,0,0
2022-03-05 11:00:00,0,0,3,16,20,21,21,20,13,10,0,9,11,10,7,19,14,24,23,19,12,11,13,13,14,14,14,6,12,8,6,0,10,9,14,7,19,26,25,24,15,15,12,10,19,9,14,11,9,8,6,7,7,8,5,5,6,6,5,5,4,3,0,0,0
2022-03-05 12:00:00,0,0,3,17,19,10,21,20,11,4,8,12,10,10,8,12,13,15,17,17,14,15,13,11,11,15,14,11,10,11,7,2,4,5,8,5,15,20,23,21,18,18,14,11,12,10,10,8,7,8,0,8,10,12,10,10,12,8,5,0,2,2,2,0,0
2022-03-05 13:00:00,1,0,1,5,7,7,16,14,10,9,11,14,17,0,4,19,20,21,19,18,16,11,12,14,16,17,15,14,9,5,6,5,2,3,8,0,16,22,22,21,14,14,16,15,13,13,10,11,11,9,5,10,9,5,8,7,9,8,9,7,3,2,1,0,0
2022-03-05 14:00:00,0,0,1,6,10,5,13,10,10,8,6,7,9,10,11,13,15,10,14,11,11,10,9,10,10,12,13,14,11,5,2,3,3,3,6,0,13,18,18,15,12,12,13,10,11,7,7,8,5,7,6,4,4,3,4,6,7,4,5,0,1,0,0,0,0
2022-03-05 15:00:00,1,1,5,8,13,14,15,15,11,10,9,12,9,10,0,11,10,11,11,12,10,17,18,17,19,5,16,13,8,12,13,2,3,1,7,6,13,25,28,25,20,20,17,12,16,16,15,17,16,15,7,10,10,9,6,8,10,8,6,5,4,2,0,0,0
2022-03-05 16:00:00,0,0,4,8,12,13,17,14,9,9,8,6,8,5,10,12,13,16,15,17,11,17,13,14,16,15,16,14,8,6,5,0,6,2,11,1,27,29,32,30,15,15,13,15,16,18,15,11,14,12,7,8,10,6,5,13,16,14,0,0,6,3,0,0,0
2022-03-05 17:00:00,0,0,2,9,14,15,16,15,11,9,8,9,10,7,8,11,12,11,12,14,13,15,18,18,18,17,14,11,7,6,5,4,2,2,6,5,20,19,23,20,18,18,15,7,13,12,11,11,7,12,11,9,11,12,10,14,16,14,13,5,6,4,1,0,0
