Unnamed: 0,1_선진운수종점,2_구산사거리,3_역촌중앙시장,4_구산역1번출구,5_대조동주민센터,6_연신내역.로데오거리,7_갈현중앙시장,8_갈현동성당앞,9_선일여고입구,10_갈현동미미아파트,11_한솔아파트입구선정중학교후문,12_구산동사거리,13_구산동주민센터.구산치안센터,14_구산중학교.구산교회,15_시립서북병원세현교회앞,16_역촌동주민센터,17_충북슈퍼앞,18_하나은행역촌동지점,19_역촌역.역촌오거리,20_서부경찰서후문,21_신진과학기술고등학교,22_응암시장,23_응암3동주민센터,24_은평문화예술정보학교,25_응암초등학교,26_명지전문대.충암중고등학교,27_명지중고등학교,28_명지대입구.서울무용센터,29_홍연2교현대교통종점,30_연희지하차도,31_서대문구청.보건소.구의회,32_서대문문화체육회관입구,33_홍연2교두산아파트앞,34_명지대입구.신원지벤스타,35_명지중고등학교,36_명지전문대.충암중고등학교,37_응암초등학교,38_은평문화예술정보학교,39_응암오거리,40_신사초등학교,41_신사동고개사거리,42_신사동고개.은평지역자활센터,43_서울기독대학교입구,44_시립서북병원세현교회앞,45_구산중학교.구산교회,46_구산동주민센터.구산치안센터,47_구산동사거리,48_한솔아파트입구선정중학교후문,49_갈현동미미아파트,50_선일여고입구,51_갈현동성당앞,52_갈현1동주민센터,53_갈현중앙시장,54_연신내역.로데오거리,55_은평연세병원,56_구산역4번출구,57_역촌중앙시장,58_구산사거리,59_선진운수종점
2022-03-05 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05 05:00:00,4,5,5,4,5,1,2,2,0,3,2,0,1,2,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,2,0,0,0,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2022-03-05 06:00:00,0,0,1,2,3,0,1,0,0,2,0,0,2,3,0,0,0,0,0,0,4,3,2,0,2,1,0,0,0,0,0,0,2,0,2,3,0,3,2,2,0,4,2,3,2,0,1,1,2,0,0,0,1,1,0,0,0,0,0
2022-03-05 07:00:00,3,4,3,3,0,0,1,2,0,1,2,0,4,1,4,5,6,3,7,0,3,2,5,4,4,4,2,3,0,0,1,1,2,0,1,0,0,2,2,0,1,4,2,3,1,0,1,0,0,0,0,0,0,2,3,0,1,0,0
2022-03-05 08:00:00,2,4,5,5,4,0,1,4,5,6,8,3,6,5,4,6,2,0,7,6,7,7,0,4,7,6,3,5,4,4,0,3,0,4,2,2,0,0,5,5,2,2,4,4,5,6,5,4,0,0,2,1,2,2,0,1,0,0,0
2022-03-05 09:00:00,3,4,2,4,2,1,3,4,4,5,5,6,10,12,14,16,6,13,14,13,9,8,7,6,4,6,5,4,3,0,3,1,2,0,0,4,1,1,3,3,2,2,0,6,5,5,6,3,7,4,3,2,1,4,2,0,0,1,0
2022-03-05 10:00:00,4,0,3,6,6,0,2,3,0,4,3,5,5,6,6,7,3,6,6,7,7,7,8,9,8,6,4,3,1,4,3,2,1,0,0,0,0,0,5,8,9,10,11,9,6,4,6,3,5,3,1,2,1,2,1,0,0,0,0
2022-03-05 11:00:00,5,8,1,9,6,1,3,5,7,3,5,3,3,8,7,9,0,4,5,3,3,6,4,3,4,3,3,2,1,0,1,4,0,1,4,5,0,3,6,7,7,6,7,5,5,0,4,6,0,2,6,5,2,2,0,1,0,0,0
2022-03-05 12:00:00,2,5,6,5,5,3,6,8,0,0,0,0,9,5,3,7,0,6,4,5,6,7,9,7,9,4,3,3,2,4,7,7,2,0,0,7,10,10,9,8,7,9,6,9,11,4,10,9,0,8,5,3,0,7,0,3,0,2,0
2022-03-05 13:00:00,4,0,0,3,0,1,4,6,6,5,5,4,3,5,4,6,8,0,5,8,9,7,8,10,6,3,1,0,3,3,1,3,2,3,4,4,3,4,5,6,4,4,5,6,7,0,7,7,6,5,6,5,3,3,0,0,0,0,0
